id,priority,owner,gap,current_evidence,required_input_or_action,acceptance,scope
PA01,P0,ADCS/系统,轮组型号与轴线,本地4×RW40030mNms候选，真实轴/能力未绑定；研究默认3×100mNms不同,冻结4个实物ID/修订版、轮轴S、扭矩—轮速—功耗、动量上下界与当前轮速,轴线矩阵、动量多面体、每轮失效及真实能力通过独立复算,地面先惰性/电子模拟；飞行不得迁移0.3Nms
PA02,P0,推进/OEM/机械,喷口位置/方向/通道,实装数量r/d/T/command_map为null,逐喷口ID、孔系、喷口位置S、航天器受力方向、喷流方向、安装T、通道与控制版本,实物/CAD/通道唯一绑定；矩阵秩、正推力纯轴能力和任务裕量均通过,先建立输入；不从包络猜喷口
PA03,P0,系统/动力学/硬件,组合体质量与COM,R1全质量COM惯量null；捕后改变,空星与150kg/22kg目标各任务姿态的质量COM惯量及可信区间；不混旧URDF,捕前/后状态账本与外部作用参考点一致；任务角冲量独立重算,当前仅允许带未知的离线研究
PA04,P0,推进/控制/电气,阀脉冲与并发,MIB等效时长不是命令宽度；CPOD并发未知,最小/最大命令宽度、延迟、重复率、on/off推力曲线、压力/温度范围及通道并发矩阵,所需序列经OEM模型/实测验证，电源/流量/热并发均满足,连续LP只是凸包外界
PA05,P0,电源/ADCS,轮组5V支路,RW400公开4.5–5.25V，最大15W/轮，峰值持续时间未定,确版DC/DC、稳态/启动/峰值/回灌、支路保护、返回线、线规与端子针号,最坏并发电压/电流/热与保护选择性验证；不可直接接24V,样机先限能负载验证
PA06,P0,电源/推进,推进阀点火预热负载,推进型号未冻，连接器/针号未知,独立驱动/电源、ARM/INHIBIT、通信/健康反馈、瞬态/预热/点火/回流电气合同,逐针和状态时序核验；无未知上电安全额定项,先用惰性模拟负载，绝不接气/点火
PA07,P1,机械/推进/热控,喷流与安装共存,现有B、喷口/阀/管路/储箱尺寸与喷流均未闭合,OEM全尺寸、禁喷角/污染/温度/冲击域、阀管路布局、支架与隔热接口,三态+任务路径+捕后目标无不允许几何/喷流/视场干扰,公开照片/箭头不计制造几何
PA08,P1,系统/任务/推进,全任务冲量预算,消旋单项与RPO/撤退/离轨未合账，2Fl与Fl不同口径,明确每喷口/合计F和力臂；逐阶段Δv/角冲量/重试/撤退/卸载/结束处置,压力/EOL/duty约束后仍有预注册余量，不合并0.085与0.17m假设,保持旧Gate不变，另建版本
PA09,P0,控制/可靠性/系统,故障检测隔离与退避,六维满秩不保证单阀故障双向可达；卡开未评估,卡关/卡开/轮失效/通信陈旧/欠压的检测与隔离、剩余能力、被动安全走廊,每种故障离线/电子模拟注入，阀卡开上游隔离与退避有效,当前代码仅卡关静态对照
PA10,P1,结构/热控/推进,供给系统和储箱,没有选型绑定压力/流量/温度/晃动,OEM工作压力/温度、容器与阀管路合格资料、干湿质量、固定/热与晃动合同,接口/载荷/热/流量及压力系统专门验收,地面惰性替身无受压功能，不能继承推进信用
PA11,P1,GNC/具身/导航,状态与模式合同,9模式33项证据待核验，阈值null,姿态/相对位姿/轮速/质量状态时间戳、阈值与滞回、抓捕静默窗口/撤退规则,未知/陈旧不放行；各模式转换和失败状态有可复现实验,本轮分类器不发执行命令
PA12,P1,系统试验,地面与飞行分层验收,数字文件通过不等于可上电/在轨,被动装配→逐针→限能负载→电子模拟故障→受限运动；飞行另环境/任务资格,每级同版源与仪器证据、预注册限值、独立复验,不把地面自然对流/标准气压测试当真空或飞行资格
