parameter_group,value_or_pointer,source_path,authority_status,notes
arm_topology_joints_links,自动提取(6R+1F+2P/10links),20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,ACCEPTED,提取器 dh_v1.urdf_extract；禁止手工重录
arm_link_inertials,自动提取(全10 link 完整张量),同上,ACCEPTED_BUDGETED,HYBRID 模型(D-5-final)：惯量集 reBot-DevArm_fixend；实秤 pending
arm_joint_limits_efforts,自动提取,同上,ACCEPTED_MODEL_LIMIT,gripper P 关节 velocity=15.0 m/s 为 UNVALIDATED_AUTO_EXPORTED_MODEL_LIMIT
arm_total_mass_kg,4.695555949342986(账本口径),SYSTEM_MASS_PROPERTIES_AUTHORITY_V2.yaml,BUDGETED,与提取合计 4.6956 一致(±5e-4 校验于 S01)
servicer_bus_mass_inertia,24.0 kg + I_diag(0.227567/0.353651/0.386162),20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/mass_inertia_budget_v1.csv,STAGE1_SSOT_LOW_CONFIDENCE,CDR 权威 bus=null HOLD；frame S、参考点 CoM
mount_T_SM,xyz=[0.18525,0,0]m rpy=[0,pi/2,0],UNIFIED_R2_SYSTEM_FRAME_TREE_V2.yaml + ODR-01,NOMINAL_FROZEN_V1,设计名义未实测；PROVISIONAL 级消费；物理轨禁止别名
arm_base_to_M,identity nominal,accepted URDF 头注(T_MA0 SSOT sec3.1),NOMINAL,
target_satellite_22kg,22.0 kg + I_diag(0.231629/0.422149/0.489336),target_satellite_v0.urdf + 账本,PROVISIONAL_RA003,CoM 自定义未实测；CDR 未放行
target_debris_150kg,150.0 kg + I_diag(74.805599/74.829903/26.592617),target_debris_v0.urdf + 账本,PROVISIONAL_D8,密度 60.9 kg/m^3 非物理占位
solar_panel_mass,0.3483933 kg/块,20_engineering/config/geometry/flexible_appendage_v1.yaml,PLACEHOLDER_D7,真实 2-5 kg/m^2 差 5-10 倍；本 plant 不注入
contact_T_c,20 ms 名义,20_engineering/config/coupled_scene/scene_A2_capture.yaml,PROVISIONAL,待 B601 夹爪实测(sim_11 待办2)；本增量不消费接触
wheel_capacity_Nms,{small:0.045,large:0.300},20_engineering/config/mission_feasibility/scan_v0.yaml,FROZEN_SIM10_INPUT,本增量仅登记不消费
mission_anchor_rates,22kg@0.5dps / 150kg@3dps,30_simulation/sim_14_m4_digital_prototype_grasping/config/SIM14_DIAGNOSTIC_FIXTURE_V1.json,DIAGNOSTIC_FIXTURE_ONLY,"scope=ALGEBRA_AND_STATE_MACHINE_TEST_FIXTURE,非工程预测"
