work_package,part_number,quantity,material,volume_mm3,provisional_mass_g,release_scope,status,holds
M-FINAL-01,V4_B601_STAGE_A_INTERFACE_RING_REVB,1,AL6061-T6,127784.800333,345.018961,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,LIVE_LOAD_BRIDGE_INTERFACE_HOLD;FASTENER_PRELOAD_AND_MOS_HOLD;PHYSICAL_FITUP_HOLD;SOLIDWORKS_NATIVE_RELEASE_HOLD
M-FINAL-01,V4_B601_STAGE_B_LOAD_ADAPTER_REVB2,1,AL6061-T6,161966.032228,437.308287,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,LIVE_LOAD_BRIDGE_INTERFACE_HOLD;FASTENER_PRELOAD_AND_MOS_HOLD;PHYSICAL_FITUP_HOLD;SOLIDWORKS_NATIVE_RELEASE_HOLD
M-FINAL-02,V4_WING_ROOT_THREE_WEB_CLEVIS_LEFT,1,AL6061-T6,11324.885737,30.577191,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,WING_PANEL_NATIVE_BOOLEAN_INTEGRATION_HOLD;HINGE_LOAD_AND_FIT_TOLERANCE_HOLD;NATIVE_MOTION_AND_INTERFERENCE_HOLD;TRANSPORT_POSE_AUTHORITY_HOLD
M-FINAL-02,V4_WING_ROOT_THREE_WEB_CLEVIS_RIGHT,1,AL6061-T6,11324.885737,30.577191,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,WING_PANEL_NATIVE_BOOLEAN_INTEGRATION_HOLD;HINGE_LOAD_AND_FIT_TOLERANCE_HOLD;NATIVE_MOTION_AND_INTERFERENCE_HOLD;TRANSPORT_POSE_AUTHORITY_HOLD
M-FINAL-02,V4_HINGE_AXIAL_SPACER,1,PTFE-FILLED-BRONZE,98.190478,0.864076,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,WING_PANEL_NATIVE_BOOLEAN_INTEGRATION_HOLD;HINGE_LOAD_AND_FIT_TOLERANCE_HOLD;NATIVE_MOTION_AND_INTERFERENCE_HOLD;TRANSPORT_POSE_AUTHORITY_HOLD
M-FINAL-02,V4_WING_HARNESS_GROMMET,1,VMQ-60A,659.734457,0.824668,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,WING_PANEL_NATIVE_BOOLEAN_INTEGRATION_HOLD;HINGE_LOAD_AND_FIT_TOLERANCE_HOLD;NATIVE_MOTION_AND_INTERFERENCE_HOLD;TRANSPORT_POSE_AUTHORITY_HOLD
M-FINAL-02,V4_WING_STOP_PAD,1,AL6061-T6,336.0,0.9072,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,WING_PANEL_NATIVE_BOOLEAN_INTEGRATION_HOLD;HINGE_LOAD_AND_FIT_TOLERANCE_HOLD;NATIVE_MOTION_AND_INTERFERENCE_HOLD;TRANSPORT_POSE_AUTHORITY_HOLD
M-FINAL-03,V4_G07_PRIMARY_SUPPORT,1,AL7075-T6,60229.440196,169.244727,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,EXACT_NATIVE_FOOT_HOLE_COORDINATE_MEASUREMENT_HOLD;PAD_PRELOAD_BENCH_CALIBRATION_HOLD;NATIVE_STOW_CONTACT_AND_INTERFERENCE_HOLD;STRUCTURAL_LOAD_CASE_HOLD
M-FINAL-03,V4_G07_PAD_CARRIER,1,AL6061-T6,11664.0,31.4928,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,EXACT_NATIVE_FOOT_HOLE_COORDINATE_MEASUREMENT_HOLD;PAD_PRELOAD_BENCH_CALIBRATION_HOLD;NATIVE_STOW_CONTACT_AND_INTERFERENCE_HOLD;STRUCTURAL_LOAD_CASE_HOLD
M-FINAL-03,V4_G07_CONTACT_PAD,1,PTFE-25GF,7500.0,16.5,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,NEUTRAL_GEOMETRY_BUILT,EXACT_NATIVE_FOOT_HOLE_COORDINATE_MEASUREMENT_HOLD;PAD_PRELOAD_BENCH_CALIBRATION_HOLD;NATIVE_STOW_CONTACT_AND_INTERFERENCE_HOLD;STRUCTURAL_LOAD_CASE_HOLD
