"module_id","functional_module","execution_state","actual_execution","remaining_boundary","next_task_ids","target_entities","required_inputs","acceptance","evidence","whole_module_integrated_and_verified","engineering_design_complete","electrical_interface_complete","manufacturing_release"
"M01","总体与发射接口","THREE_FIXED_POSES_NATIVE_CHECKED","SERVICE/PARKING/RELEASED 每态625实例、1006实体已保存、冷读并独立检查；591保留、6替换、28新增保持器，鞍座各保留一次。","固定姿态不含运动配合；完整STEP、整星装入、连续动作和发射环境验证未完成。","T03;T09","后肋差量整机633实例候选；整机定位和装入/维护支承","发射器ICD；实物整机尺寸/质量/重心；环境载荷和允许外界","新版本逐实例冷读、保留对象不变、输入哈希；装入与维护路径独立检查，不能由数量正确推断整机完成。","results/NATIVE_CHECK_SERVICE.json;results/NATIVE_CHECK_PARKING.json;results/NATIVE_CHECK_RELEASED.json","False","False","False","False"
"M02","主次结构与盖板","SIDE_JOINTS_INTEGRATED_REAR_RIB_LOCAL_CHECKED","继承WP06侧连接；新增+Y后竖肋/后板2改件、8目录硬件、1端框上下文：179局部检查PASS，本地11实例原生冷读及V3逐体回导等价PASS。","后肋包尚未集成625实例三态；其余三肋、后板到端框、盖板到垫块及垫块到主结构链未关闭。","T03;T05","后肋两替换八新增三态集成；其余接头逐个紧固/定位实体","当前STEP和实例变换；后肋实际回执；实际紧固件材料/公差/载荷；装配顺序","后肋目标633实例/1014实体须实际执行证明；原623实例不变、端框一次；所有新接头验孔轴/接触/工具/邻域；下肋工具AABB命中电池须单独处理。","results/rear_rib/CHECK.json;results/REAR_RIB_NATIVE.json;results/REAR_RIB_NATIVE_ROUNDTRIP_CHECK_V3.json;inputs/REAR_RIB_DESIGN_CONTRACT.json","False","False","False","False"
"M03","B601与夹爪","NATIVE_REPRESENTATION_PRESENT_WITH_INHERITED_HOLDS","B601现有聚合实体随三态625实例原生装配实际回读；根部接口沿当前清单保留。","原十项几何HOLD继承；实际臂/夹爪版本、允许夹持区、负载和末端基准未确认；三态实体读回不解除HOLD。","T01;T02;T07;T09","保持/释放对臂实际界面；驱动安装；机械臂卸载工装","实际B601与夹爪版本；实测接口/支承区；驱动器图纸及实际电流；卸载载荷","源模型到实装版本注册和逐项HOLD处理；不得用局部后肋回导或显示模型替代B601几何等价。","results/NATIVE_CHECK_SERVICE.json;results/NATIVE_CHECK_PARKING.json;results/NATIVE_CHECK_RELEASED.json;../wp07_system_20260907_0610/results/MECHANICAL_MODULE_EXECUTION_STATUS.csv","False","False","False","False"
"M04","保持与释放","RETENTION_INTEGRATED_ONE_WAY_STOP_MEASURED","两站保持器已集成三态，6替换+28新增；已有足座M4连接；90°各约109.361mm²单向止挡实际确认。","主枢轴/盖轴轴向防脱、锁销退出捕获、折叠保持锁扣和反馈靶标仍缺；导杆端部捕获不等于80mm工作行程两端止挡。","T01;T02;T04","两站轴端保持；销到拉拔器连接与退出捕获；折叠反向保持锁扣及传感器座","当前轴/叉座/盖/锁销STEP；三态邻域；真实驱动行程/力和传感器接口；载荷与制造公差","逐处轴向防脱和装拆证据；实际止挡/保持面及释放状态；仅三局部角探针不授连续轨迹；mast_park_locked维持null直到实体与实际反馈绑定。","results/NATIVE_CHECK_SERVICE.json;results/NATIVE_CHECK_PARKING.json;results/NATIVE_CHECK_RELEASED.json;results/EXISTING_FOLD_STOP_CHECK.json","False","False","False","False"
"M05","太阳翼","INHERITED_GEOMETRY_NOT_COMPLETE_MECHANISM","叶片代理、边框、叉耳和单端带头铰链销随三态回读；WP07太阳板仅机械参考。","铰链另一端保持、叶片到框连接、HDRM、展开保持及活动线束未关闭；真实质量与展开载荷未知。","T06","首个翼铰链另一端保持件及工具通道；后续逐销核对，叶框/HDRM实体","当前12个wing_hinge_pin实例及邻件；实际翼板材料/质量、机构和线缆资料","首处保持/旋转/拆卸检查后逐实例扩展；不可由单样件或三姿态继承全翼连续安全。","results/INTEGRATION_MANIFEST.json;../wp07_system_20260907_0610/results/PCB_REFERENCE_STEP_READBACK.json","False","False","False","False"
"M06","EPS供配电","BUDGET_AND_INTERFACE_DRAFT_OPEN","EPS预算箱、适配板和端口包络存在；WP07电气接口缺项已登记。","实际星载EPS未选定；实际臂驱动负载、母线转换/保护与端接数据未闭环。","T07","真实EPS安装载板/支柱、板到甲板紧固、连接器支撑和维修通道","实际EPS图纸及选型；工作电压范围、连续/峰值电流、连接器料号/针脚、接地回流","真实孔系/高度、板固定、插拔/工具和热接口核验；无数据不加工定版孔系、不授通电。","../wp07_system_20260907_0610/ecad/ELECTRICAL_INTERFACE_CONTRACT.json;../wp07_system_20260907_0610/ecad/ELECTRICAL_MODULE_MATRIX.csv","False","False","False","False"
"M07","电池组件","REFERENCE_BOARD_NOT_SELECTED","电池预算箱、适配板、热链代理存在；独立参考电池PCB已输出并读回，但未选型。","实际电芯/组件、夹持、绝缘、端接与热带固定未绑定。","T07","实际组件托架/压紧与绝缘件；端接防护、热带两端压板","电池实物型号/外形/质量/连接器；电气/热数据；允许夹持区","实际孔系和压紧界面、连接器空间、绝缘/热接触链；参考PCB不统计为已安装电池板。","../wp07_system_20260907_0610/results/PCB_REFERENCE_STEP_READBACK.json;../wp07_system_20260907_0610/ecad/ELECTRICAL_MODULE_MATRIX.csv","False","False","False","False"
"M08","任务计算与驱动","REFERENCE_AND_SHARED_BUDGET_OPEN","共享设备预算与独立参考主板已有模型和功能归属登记。","真实OBC/任务计算主板和B601驱动器未绑定，未形成真实载体及端接。","T07","真实主板/驱动载板与固定、端口支撑、绝缘导热界面","实际板卡/驱动器版本、厂家孔系/高度、连接器与热/电流输入","安装孔和高度读回、装拆/插拔通道、完整固定链；共享预算不复制为多套设备或质量。","../wp07_system_20260907_0610/ecad/ELECTRICAL_MODULE_MATRIX.csv;../wp07_system_20260907_0610/results/PCB_REFERENCE_STEP_READBACK.json","False","False","False","False"
"M09","背板与卡笼","REFERENCE_BACKPLANE_NO_INSTALLED_CAGE","独立未选型背板STEP已有；WP07做过相对预算箱的尺寸筛查。","未形成实装卡笼；板卡集合、连接器堆叠、导轨/支柱、压紧、导热和接地未绑定。","T07","实际板卡集合的导轨/支柱、压紧件、连接器定位与背板固定","选用板卡与背板图纸；插拔方向/空间、连接器公差和维护要求","逐板定位和插拔包络、背板紧固、压紧与热/地接口；尺寸能放入不等于装配成立。","../wp07_system_20260907_0610/results/ELECTRICAL_MECHANICAL_FIT_SCREEN.json;../wp07_system_20260907_0610/ecad/ELECTRICAL_MODULE_MATRIX.csv","False","False","False","False"
"M10","ADCS","SHARED_FUNCTIONAL_BUDGET_ONLY","ADCS功能、电气端点与共享设备预算已登记。","真实轮组、星敏和IMU安装实体/轴线基准未绑定。","T07","实际轮组支架、星敏/IMU安装面与可校准轴线基准","真实设备图纸、质量/惯量、轴线定义、振动/热接口和电气端接","实物安装定位、光学/转动空间、维修路径及单一质量所有者；不从预算框制造假轮组实体。","../wp07_system_20260907_0610/ecad/ELECTRICAL_MODULE_MATRIX.csv;docs/STRUCTURAL_COMPLETENESS.md","False","False","False","False"
