configuration_family,configuration_name,joint_or_suppression_definition,native_configuration_exists,acceptance_semantics,status
COMMON,Q0,"joint1..joint6=0 rad; gripper_joint1=0 m; gripper_joint2=0 m; fixed joint exact URDF transform",NO,NUMERIC_URDF_Q0,CONTRACT_READY_CAD_BLOCKED
COMMON,STOWED,TBD_SOURCE_BOUND_JOINT_VECTOR_AND_RESTRAINT_SUPPRESSION_MATRIX,NO,LAUNCH_STOW_CANDIDATE_NOT_CLEARANCE_PASS,HOLD
COMMON,SOLAR_DEPLOY_ARM_LOCKED,TBD_SOLAR_DEPLOYMENT_WITH_ARM_RESTRAINTS_ACTIVE,NO,SEQUENCE_STATE_ONLY,HOLD
COMMON,ARM_RELEASE_START,TBD_HDRM_RELEASE_START_VALUES,NO,SEQUENCE_STATE_ONLY,HOLD
COMMON,ARM_CLEAR_OF_RESTRAINT,TBD_FIRST_PROVEN_CLEAR_STATE,NO,SEQUENCE_STATE_ONLY,HOLD
COMMON,DEPLOYED_NOMINAL,TBD_SOURCE_BOUND_JOINT_VECTOR,NO,NOMINAL_ENGINEERING_STATE_NOT_CONTINUOUS_CLEARANCE,HOLD
COMMON,SERVICE,TBD_SOURCE_BOUND_JOINT_VECTOR,NO,SERVICE_ENGINEERING_STATE,HOLD
COMMON,2P_MIN_NUMERIC,"gripper_joint1=0 m; gripper_joint2=0 m",NO,NUMERIC_LIMIT_NOT_PHYSICAL_CLOSED,CONTRACT_READY_CAD_BLOCKED
COMMON,2P_HALF_NUMERIC,"gripper_joint1=0.03575 m; gripper_joint2=0.03575 m",NO,NUMERIC_HALF_NOT_PHYSICAL_CALIBRATION,CONTRACT_READY_CAD_BLOCKED
COMMON,2P_MAX_NUMERIC,"gripper_joint1=0.0715 m; gripper_joint2=0.0715 m",NO,NUMERIC_LIMIT_NOT_PHYSICAL_OPEN,CONTRACT_READY_CAD_BLOCKED
REQUESTED_ALIAS,2P_OPEN,TBD_PHYSICAL_ZERO_AND_DIRECTION_CALIBRATION,NO,NAME_RESERVED_SEMANTICS_BLOCKED,HOLD
REQUESTED_ALIAS,2P_HALF,"alias may bind to 2P_HALF_NUMERIC only after calibration review",NO,NAME_RESERVED_SEMANTICS_BLOCKED,HOLD
REQUESTED_ALIAS,2P_CLOSED,TBD_PHYSICAL_ZERO_AND_DIRECTION_CALIBRATION,NO,NAME_RESERVED_SEMANTICS_BLOCKED,HOLD
MODE_A_EVALUATION,ALL_COMMON_STATES,"common states × Mode A packaging references",NO,H9_NOT_SELECTED,HOLD
MODE_B_EVALUATION,ALL_COMMON_STATES,"common states × Mode B packaging references",NO,H9_NOT_SELECTED,HOLD
