asset_id,asset_type,path,exists,units,frame,parent_frame,mesh_bounds,mass,com,confidence,git_commit,sha256,usable_for_render,blocking_issue
servicer_12U_v0_stl,mesh_stl,20_engineering/cad/spacecraft_layout/servicer_12U_v0/servicer_12U_v0.stl,yes,m (verified: bbox matches JSON primitives within 0.00 mm),S,-,"[-0.2303,-0.3131,-0.1132]..[0.2103,0.3131,0.1631]",24.0,"[-0.00242,-0.0,0.00057] m",low,ae87f34,8759bb8ddcd33021bcad4c83639e2bab75a4032deece123a9c95f7e033f0a1c3,yes,flange primitive spatially overlaps robot_mount_adapter_v0 when both are drawn (display-only interpenetration)
servicer_12U_v0_json,feature_spec_json,20_engineering/cad/spacecraft_layout/servicer_12U_v0/servicer_12U_v0.json,yes,mm,S,-,,24.0,"[-0.00242,-0.0,0.00057] m",low,ae87f34,014abf228f2c00a67b2e70b1515ae307a96e4153abf4298363bf80f273df64a1,yes,"camera_fov_cone present (apex [210,0,80] mm, half-angle 20 deg); grasp_points_mm empty by design (servicer)"
servicer_12U_v0_step,cad_step,20_engineering/cad/spacecraft_layout/servicer_12U_v0/servicer_12U_v0.step,yes,"mm (assumed, unconsumed)",S,-,,,,,ae87f34,f114d416abb0e7e125f5d23fb7bcc0e7affd90b7f454668acd72f16a66425616,no,not consumed by matplotlib pipeline (STL used instead)
servicer_12U_v0_urdf,urdf_stub,20_engineering/cad/spacecraft_layout/servicer_12U_v0/servicer_12U_v0.urdf,yes,m,S,-,,24.0,,low,ae87f34,2ecb4b1c778ca309632714d13cabf09033e424ee646ca85fdebc776e1d74e8da,no,single-body stub; not needed for VIZ-Gate 0 render
servicer_6U_v0_stl,mesh_stl,20_engineering/cad/spacecraft_layout/servicer_6U_v0/servicer_6U_v0.stl,yes,m (verified: bbox matches JSON primitives within 0.00 mm),S,-,"[-0.2130,-0.0560,-0.1132]..[0.2230,0.0560,0.1132]",9.0,"[0.00131,-0.0,0.00028] m",low,ae87f34,3b699d28d7facf3ca8026b01d4c0ea356b14e8e049cad7fb121b27531664e441,yes,
servicer_6U_v0_json,feature_spec_json,20_engineering/cad/spacecraft_layout/servicer_6U_v0/servicer_6U_v0.json,yes,mm,S,-,,9.0,"[0.00131,-0.0,0.00028] m",low,ae87f34,ab2d79c1bfb3e44871218ae86d8be2d8b2065f179fea176b9f6c492ea9a1ada0,yes,"camera FOV absent in JSON (only camera_boresight_S); must be annotated 'absent', never fabricated"
servicer_6U_v0_step,cad_step,20_engineering/cad/spacecraft_layout/servicer_6U_v0/servicer_6U_v0.step,yes,"mm (assumed, unconsumed)",S,-,,,,,ae87f34,1b1133b6ff4b8edb68e60b345e0a3b27c22d9888c75106f269959fce520cb927,no,not consumed by matplotlib pipeline (STL used instead)
servicer_6U_v0_urdf,urdf_stub,20_engineering/cad/spacecraft_layout/servicer_6U_v0/servicer_6U_v0.urdf,yes,m,S,-,,9.0,,low,ae87f34,5c2c38160d36eaa5d0b894d1a9232cb69fafa8b100fb127180a30573fdc023f0,no,single-body stub; not needed for VIZ-Gate 0 render
target_satellite_v0_stl,mesh_stl,20_engineering/cad/spacecraft_layout/target_satellite_v0/target_satellite_v0.stl,yes,m (verified: bbox matches JSON primitives within 0.00 mm),T,-,"[-0.1700,-0.3130,-0.1130]..[0.2900,0.3130,0.3130]",22.0,"[0.03827,-0.0,0.00021] m",low,ae87f34,dbd97a15f198318886208211d729eb9659d2cbf606c54c213b46f4a0ba2680f7,yes,
target_satellite_v0_json,feature_spec_json,20_engineering/cad/spacecraft_layout/target_satellite_v0/target_satellite_v0.json,yes,mm,T,-,,22.0,"[0.03827,-0.0,0.00021] m",low,ae87f34,ec57c05efee44b6a704369874420ee065f9a710a2cd18d7c3fd3ce35cd2edfdf,yes,
target_satellite_v0_step,cad_step,20_engineering/cad/spacecraft_layout/target_satellite_v0/target_satellite_v0.step,yes,"mm (assumed, unconsumed)",T,-,,,,,ae87f34,76418bcbdc14a3e04892a302c5e22d4f67f4f1821b65f7d2d4763d4c465dfd65,no,not consumed by matplotlib pipeline (STL used instead)
target_satellite_v0_urdf,urdf_stub,20_engineering/cad/spacecraft_layout/target_satellite_v0/target_satellite_v0.urdf,yes,m,T,-,,22.0,,low,ae87f34,c7c60910f0ef28d250ae789eeba92382c0563c5fbf0b4e70b1eb614c522b8e93,no,single-body stub; not needed for VIZ-Gate 0 render
target_debris_v0_stl,mesh_stl,20_engineering/cad/spacecraft_layout/target_debris_v0/target_debris_v0.stl,yes,m (verified: bbox matches JSON primitives within 0.21 mm),D,-,"[-0.6600,-0.6598,-1.5000]..[0.6600,0.6598,1.0000]",150.0,"[0.00027,0.0,-0.07054] m",low,ae87f34,1a6fe0c696aba92773408d73669fc5e88ca92ffddda1643bfcd2d728351ad294,yes,
target_debris_v0_json,feature_spec_json,20_engineering/cad/spacecraft_layout/target_debris_v0/target_debris_v0.json,yes,mm,D,-,,150.0,"[0.00027,0.0,-0.07054] m",low,ae87f34,6da57979ae1b34bf7e18733a256f7264d40cabec22d99598801f721ff4737270,yes,
target_debris_v0_step,cad_step,20_engineering/cad/spacecraft_layout/target_debris_v0/target_debris_v0.step,yes,"mm (assumed, unconsumed)",D,-,,,,,ae87f34,32e10a743e567fab29143422f53b2613488f5eadf08a95deafaa70fc206c78b5,no,not consumed by matplotlib pipeline (STL used instead)
target_debris_v0_urdf,urdf_stub,20_engineering/cad/spacecraft_layout/target_debris_v0/target_debris_v0.urdf,yes,m,D,-,,150.0,,low,ae87f34,4f89c6dbf2ce3bd4d120846555f41717c1ad9c21ded967f5cba354f44280b6d9,no,single-body stub; not needed for VIZ-Gate 0 render
robot_mount_adapter_v0_stl,mesh_stl,20_engineering/cad/spacecraft_layout/robot_mount_adapter_v0/robot_mount_adapter_v0.stl,yes,m (verified: bbox matches JSON primitives within 0.00 mm),M,-,"[-0.0800,-0.0800,-0.0270]..[0.0800,0.0800,0.0000]",1.2,"[-0.0,-0.0,-0.01726] m",low,ae87f34,ccfb82f92267c4e8d2a8ceaeb6cea66bf49e9625db31bda7d93284c7647b67e1,yes,
robot_mount_adapter_v0_json,feature_spec_json,20_engineering/cad/spacecraft_layout/robot_mount_adapter_v0/robot_mount_adapter_v0.json,yes,mm,M,-,,1.2,"[-0.0,-0.0,-0.01726] m",low,ae87f34,293052c047d34cf42a08f21f9fd370c4e3bb9c931caeacfb8b7541ec957ef2c7,yes,
robot_mount_adapter_v0_step,cad_step,20_engineering/cad/spacecraft_layout/robot_mount_adapter_v0/robot_mount_adapter_v0.step,yes,"mm (assumed, unconsumed)",M,-,,,,,ae87f34,6b1604afe66cd882ee8d3765b81fabfce02fc16f1e32d018cc5a10bda700a463,no,not consumed by matplotlib pipeline (STL used instead)
robot_mount_adapter_v0_urdf,urdf_stub,20_engineering/cad/spacecraft_layout/robot_mount_adapter_v0/robot_mount_adapter_v0.urdf,yes,m,M,-,,1.2,,low,ae87f34,f522481835897841d102f5fa666dcbc127b0aaec07fa5b0715a63375a25294ea,no,single-body stub; not needed for VIZ-Gate 0 render
model_specs_v0,feature_spec_json,20_engineering/cad/spacecraft_layout/model_specs_v0.json,yes,mm,-,-,,,,low,ae87f34,712f4b6411b241f37676eee3f45813c981ee5699238017cb0bc4bb5fa50d4666,yes,
arm_b601_v1_urdf,urdf,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,yes,m,A0(=M),M,,4.6956 kg total,per-link inertials,medium (vendor-consistent inertials; weighing pending),ae87f34,1bc2b7483cd8025d08ba6eadfd9e1f3b0477121714e7cf4ddc1794d9e471c164,yes,T_MA0 = identity nominal per header comment; gripper prismatic fingers locked at q=0 for display
b601_mesh_base_link,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/base_link.STL,yes,m (VERIFIED: bbox z_max 0.0826 vs joint1 z offset 0.0847; a mm mesh would be ~1000x off),base_link,URDF chain (parent per joint),"[-0.0700,-0.1000,-0.0000]..[0.0700,0.1000,0.0826]",0.8366 kg (URDF inertial),"[-7.849e-06, -1.1531e-06, 0.029841] (link frame)",medium,ae87f34,22641c079014fe968702393f61e7f7f1a8f80c6c1df45a61e31545f6eaff3b65,yes,"77972 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
b601_mesh_link1,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link1.STL,yes,m (VERIFIED: bbox z_max 0.0839 vs joint2 z offset 0.0556; a mm mesh would be ~1000x off),link1,URDF chain (parent per joint),"[-0.0384,-0.0386,-0.0071]..[0.0486,0.0386,0.0839]",0.1613 kg (URDF inertial),"[0.000113614552951627, -0.000616319527051323, 0.0236476372671394] (link frame)",medium,ae87f34,9db637a63d37bc2c6398ea5b8ba32fb54122c637d5d77dc134c8782839b654cd,yes,"9980 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
b601_mesh_link2,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link2.STL,yes,m (VERIFIED: bbox x_span 0.3210 vs joint3 |x| offset 0.2640; a mm mesh would be ~1000x off),link2,URDF chain (parent per joint),"[-0.2925,-0.0285,-0.0653]..[0.0285,0.0285,0.0021]",1.3266 kg (URDF inertial),"[-0.13225622308888, -0.0030617036386309, -0.0308306967030205] (link frame)",medium,ae87f34,def0d9d82343dccc1eff0d9d5572eca49b3c134db9807ca12302b99d153df65e,yes,"119842 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
b601_mesh_link3,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link3.STL,yes,m (VERIFIED: bbox x_span 0.2978 vs joint4 |x| offset 0.2426; a mm mesh would be ~1000x off),link3,URDF chain (parent per joint),"[-0.0267,-0.0825,-0.0712]..[0.2711,0.0225,0.0090]",0.8353 kg (URDF inertial),"[0.121040035791843, -0.0536211076627949, -0.0310137854608077] (link frame)",medium,ae87f34,ca14d73b5d63f352051f440f4cabc3989567f25ee9d19e7dd749f2d6f0d0561d,yes,"84198 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
b601_mesh_link4,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link4.STL,yes,m (VERIFIED: bbox x_span 0.1458 vs joint5 |x| offset 0.0783; a mm mesh would be ~1000x off),link4,URDF chain (parent per joint),"[-0.0280,-0.0880,-0.0634]..[0.1178,0.0279,0.0034]",0.52 kg (URDF inertial),"[0.0608200956293136, -0.0511711906613122, -0.030299458623927] (link frame)",medium,ae87f34,061909364f20bb387f9ff82cb80e506af959142f9fbb4a39dc86fc8244ee768a,yes,"51592 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
b601_mesh_link5,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link5.STL,yes,m (VERIFIED: bbox z_max 0.0780 vs joint6 z offset 0.0400; a mm mesh would be ~1000x off),link5,URDF chain (parent per joint),"[-0.0378,-0.0385,-0.0020]..[0.0322,0.0385,0.0780]",0.383 kg (URDF inertial),"[-0.00502802058982517, 1.73866206692364e-06, 0.0386233236326755] (link frame)",medium,ae87f34,3a32006227c1f9dbc70e77e07055c61e3f195f1054d4d2eb480262f0873bf001,yes,"42386 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
b601_mesh_link6,mesh_stl,20_engineering/cad/spacecraft_layout/arm_b601_v1/meshes_b601_gripper/link6.STL,yes,m (VERIFIED: bbox r 0.0809 vs gripper_joint z offset 0.1597; a mm mesh would be ~1000x off),link6,URDF chain (parent per joint),"[-0.0284,-0.0284,-0.0005]..[0.0284,0.0284,0.0090]",0.3663 kg (URDF inertial),"[3.76418727127126e-06, -0.000100908819946677, 0.0253308606425965] (link frame)",medium,ae87f34,c586a7d0b8345d2cd32eab7dfd2e334aba56e83f582a6298d41bbf718f2ebef1,yes,"24962 faces; display decimation to <=20000 faces (vertex clustering, display-only)"
