candidate_id,component_zone,candidate_material_family,candidate_process_family,screening_intent,approved_grade_or_spec,heat_treatment_or_condition,density_kg_per_m3,elastic_modulus_GPa,yield_or_proof_strength_MPa,cte_um_per_mK,temperature_range_C,coating_or_lubricant,coating_thickness_um,friction_coefficient,allowables_source,lot_traceability,compatibility_evidence,classification,status,next_evidence
GRP-MAT-001,Palm structural body,Aluminum alloy,Subtractive CNC machining,Low-mass structural candidate,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Select exact grade and condition then bind procurement specification allowables corrosion treatment cleanliness and thermal-vacuum compatibility.
GRP-MAT-002,Palm structural body,Titanium alloy,Subtractive CNC machining,Alternate stiffness strength and thermal-expansion candidate,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Trade mass machinability galling thermal distortion and approved allowables against GRP-MAT-001.
GRP-MAT-003,Moving finger structural body,Aluminum alloy,Subtractive CNC machining,Low-mass structural candidate,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Close exact grade condition section allowables fatigue surface treatment and inspection route.
GRP-MAT-004,Moving finger structural body,Titanium alloy,Subtractive CNC machining,Alternate stiffness strength and contact-damage candidate,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Close exact grade condition section allowables fatigue galling mitigation and inspection route.
GRP-MAT-005,Rail or guide wear surface,Precipitation-hardening stainless steel,Precision machining and finishing,Wear and contact-surface candidate,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Define mating pair hardness finish lubrication wear debris and thermal-vacuum evidence.
GRP-MAT-006,Rail or guide wear surface,Titanium alloy,Precision machining and finishing,Corrosion and mass alternate for guide member,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Define anti-galling coating or liner and demonstrate wear life in the operating environment.
GRP-MAT-007,Replaceable guide liner,Engineering polymer or dry-running composite,Machined or molded insert,Low-friction sacrificial guide candidate,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Screen vacuum outgassing radiation temperature creep wear debris and dimensional stability before selection.
GRP-MAT-008,Fasteners pins and hard stops,Corrosion-resistant steel or nickel alloy,Standard qualified hardware or precision machining,High local-load hardware candidate,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Define exact hardware standard preload locking traceability galvanic isolation and allowable load.
GRP-MAT-009,Contact pad or object interface,Compliant polymer elastomer or textured metallic insert,Replaceable insert process,Contact adaptation candidate,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Target-object geometry friction pressure contamination outgassing and temperature evidence are required before selection.
GRP-MAT-010,Guide surface coating and lubricant,Solid-lubricant or hard-coating family,Qualified surface treatment,Thermal-vacuum tribology candidate,null,null,null,null,null,null,null,null,null,null,null,null,null,CANDIDATE,HOLD,Select coating-lubricant mating system and qualify adhesion thickness friction wear life atomic-oxygen exposure if applicable and cleanliness.

