quantity,value,unit,scope,source,source_sha256,confidence,status,permitted_use,prohibited_use
joint position limits,per joint,rad / m,B601 arm,accepted URDF,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,HIGH,VERIFIED,L0 hardware truth; CTRL-03 position constraints,none
joint velocity limit,50 / 200,rad/s,URDF placeholder ceiling,accepted URDF,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NONE,UNKNOWN,record only,operational spacecraft control limit (2865 / 11459 deg/s)
prismatic velocity limit,15,m/s,URDF placeholder ceiling,accepted URDF,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,NONE,UNKNOWN,record only,operational limit (210 full strokes per second)
joint effort,27 / 7 / 100,N*m / N,URDF effort field,accepted URDF,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,LOW,PROVISIONAL,peak-indicative bound with 0.5 continuous derating,verified continuous torque rating
operational joint rate demand,7.5000,deg/s,frozen CTRL-02 Stage-A maneuvers,20_engineering/config/attitude_stab/attitude_stab_v0.yaml,184D34A70436902AE7971AE2B58593E7D91B009CF91A675EE919399128088A60,MEDIUM,VERIFIED_DEMAND,lower bound on required capability; basis of the velocity interval,hardware capability claim
reaction wheel max torque,0.002/0.01/0.02,N*m,CTRL-02 Stage-B provisional actuator model,20_engineering/config/attitude_stab/attitude_stab_v0.yaml,184D34A70436902AE7971AE2B58593E7D91B009CF91A675EE919399128088A60,LOW,PROVISIONAL,m_tauw evaluation and wheel-path stabilization time,hardware datasheet claim; closed-loop stability claim
reaction wheel capacity,0.1 per axis / 0.3 tier,N*m*s,per-axis and three-axis scalar,20_engineering/config/attitude_stab/attitude_stab_v0.yaml; 20_engineering/config/mission_feasibility/scan_v0.yaml,856F1E30DE47CA5B3F505F9FE5BD5CD22A75E448EC916B42D9C330F7A62E28EA,MEDIUM,FROZEN_PROVISIONAL_CLASS,SIM12 V2 m_Hw gate at 0.3 N*m*s,substitution with the 5.475 propellant momentum budget
e15 wheel_momentum_max_Nms,5.475,N*m*s,MISLABELLED propellant-removable momentum budget,20_engineering/config/grasp_evaluator/hard_constraints_v1.yaml,343FB0CF0F9C6B6FA773521373668BC374E6B765A5A2F21D26C7EA28AD7F46D1,HIGH_ON_PROVENANCE,HOLD_MISLABELLED,mission momentum budget reasoning only,any reaction-wheel capacity role
thruster minimum impulse bit,3.400e-04,N*m*s,angular impulse quantum,20_engineering/config/attitude_stab/attitude_stab_v0.yaml,184D34A70436902AE7971AE2B58593E7D91B009CF91A675EE919399128088A60,LOW,PROVISIONAL,terminal momentum residual floor,hardware pulse qualification
wheel peak duration / thermal duty,,s,all actuators,NONE,,NONE,UNKNOWN,none,any continuous-operation or thermal claim
