conflict_id,claimed_in,claim,local_evidence,resolution,severity
CL01,task_prompt,"V2 增量位于 R2数字样机_机械准入_时变刚体动力学增量闭环_20260827.md","该文档为第一增量 V1（28/28, 锁13/13, 审计5/5, 负控26/26, tests 19/19）；V2 八件套实际位于 20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/current_r2_mechanical_dynamics_control_increment_v2/ 且计数 38/38、27/27、7/7、28/28 逐一复核吻合","以本地机器 JSON 为准；快照绑定 V2 八件套真实路径与 SHA",INFO_RESOLVED
CL02,task_prompt,"control_metric_type = DIMENSIONLESS_STATIC_PROBE_ONLY","全库 grep 无该字面串；实际声明为 CTRL_R2_TASK_SPACE_METRIC_CANDIDATE_GATE_V1.json scope=SOURCE_DERIVED_DIMENSIONLESS_TASK_SPACE_METRIC_CANDIDATE_ONLY 及 V2 gate evidence_state.task_space_metric.scope=SOURCE_DERIVED_DIMENSIONLESS_STATIC_CANDIDATE_ONLY（time_domain_tracking_executed=false）","语义一致，术语映射记录在案；本增量引用本地字面串",INFO_RESOLVED
CL03,task_prompt,"D01_fixed_q0_recipe = READY_NOT_RUN","字面串 READY_NOT_RUN 仅存在于无关 B51R1 文件；实际状态为 verdict 含 D01_Q0_DIAGNOSTIC_RECIPE_READY 且 step_generation_executed=false、output.exists_now=false","语义等价（就绪未执行）；引用本地字面串",INFO_RESOLVED
CL04,task_prompt,"CAD run 使用 SolidWorks 会话","当前 C01-C09 生成链为 FreeCAD/OCP/build123d source_only_step_generator_v1.py（无顶层 CAD import，需命名 run + 内存准入后才 import OCP）；SolidWorks native reintegration 是终局 Gate A 的 external_only_hold；历史 SW 授权仅限 B5.1R1 臂返工范围","CAD_RUN_PLAN 以本地源只读生成链为准并记录 SolidWorks 为外部保留项；两条件（命名授权+内存）不变",MEDIUM_DOCUMENTED
CL05,task_prompt,"last_available_memory_GiB = 2.4176","2026-08-27 07:02:53 JST 记录确为 2.4176；本增量运行时实测 1.7628 → 1.8969 GiB（波动，均 < 6.0 门槛）","以运行时实测入 CAD_MEMORY_ADMISSION.json；准入结论不变（FAIL）",INFO_RESOLVED
CL06,repo,"30_simulation/common/rigid_body.py 的 CSV_V1 指向 ../../docs/stage1_spacecraft_layout/...","REORG04 后 docs/ 不存在；真实路径为 20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/mass_inertia_budget_v1.csv","本增量不 import 该模块（自带提取器）；缺陷登记待修复，不在本增量范围内动手",LOW_REGISTERED
CL07,repo,"14_COLLISION_ASSET_MANIFEST.json 为 JSON","文件扩展名 .json 但内容为 YAML 语法","作为 YAML 读取；登记命名缺陷，不修改冻结文件",LOW_REGISTERED
CL08,task_prompt,"sim_12 主结果具备哈希锁","sim_12_gate_check.json 无任何 sha256/hash 字段；strategy_results.csv 无存储哈希锚（sim_13 feasibility_evaluator 中另有 F5386760… pin）","source-only 回归登记以 sim_13 NC20 的 pin 为哈希锚补充；sim_12 树内无锁为已知观测",LOW_REGISTERED
CL09,task_prompt,"pytest 13/13 为机器回执","13/13 记载于裁决 md 且 test_increment_gate_v2.py 恰有 13 个测试函数；包内无 pytest 回执 JSON","快照按实际证据级别记录（声明+函数计数，无回执）",INFO_RESOLVED
CL10,task_prompt,"sim_05 具备机器 Gate","sim_05 results/ 仅 CSV+PNG，无 gate JSON；19.20° 锚点机器侧仅经 sim_11 G3b（peak_deg_sim05_ref=19.2）间接锁定","回归登记以 sim_11 G3b 为机器锚；sim_05 CSV 已入哈希清单",INFO_RESOLVED
CL11,task_prompt,"执行安装变换可按 URDF 注释 T_MA0=identity 使用","双轨已冻结：动力学轨 T_SM=[0.18525,0,0]m+Ry(+90°)（ODR-01 nominal_frozen_v1 唯一动力学安装权威）；物理轨 0.208m+Rx(25.000014°)Ry(90°)（EXECUTION_MOUNT_BINDING_V1 候选非发布）；两轨 NEVER_ALIASES","PREBIND_PLANT 组合体采用动力学轨 T_SM 并标 nominal_frozen_v1；物理轨仅登记不用于动力学",MEDIUM_DOCUMENTED
