requirement_id,requirement,verification_method,evidence,current_status,release_effect,next_closure
M4-REQ-001,M4 authority and claim ceiling shall be explicit,Document inspection,00_authority/M4_PHASE_AUTHORITY_AND_BOUNDARY.yaml,PASS,Digital prototype scope only,None
M4-REQ-002,Every consumed source shall be SHA-256 frozen,Manifest rehash,00_authority/M4_FROZEN_INPUT_MANIFEST_V1.json,PASS_137_FILES_ZERO_DRIFT,Artifact integrity,None
M4-REQ-003,The failed 6 GiB memory gate shall remain false and use a recorded Owner Override,Receipt comparison,00_authority/M4_OWNER_OVERRIDE_REGISTER_V1.csv;02_parameterized_cad/DIGITAL_PROTOTYPE_BUILD_RECEIPT_V1.json,PASS_OWNER_OVERRIDE_NOT_MEMORY_PASS,Execution authority,None
M4-REQ-004,M3 and Sim13 source baselines shall remain immutable,Frozen-manifest rehash,00_authority/M4_FROZEN_INPUT_MANIFEST_V1.json,PASS_ZERO_HASH_MISMATCH,Regression protection,None
M4-REQ-010,A real editable FreeCAD master and neutral STEP shall exist,Cold reopen and hash,02_parameterized_cad/SEI_DIGITAL_PROTOTYPE_V1.FCStd;02_parameterized_cad/SEI_DIGITAL_PROTOTYPE_V1.step,PASS_WITH_RELEASE_HOLDS,Scoped digital prototype,None
M4-REQ-011,All master assembly links shall resolve internally,Cold reopen object audit,02_parameterized_cad/DIGITAL_PROTOTYPE_INDEPENDENT_VALIDATION_V1.json,PASS,Scoped digital prototype,None
M4-REQ-012,The active composition shall separate bus panels M3R and gripper without silent physical claims,Narrow-phase and architecture audit,01_system_architecture/DIGITAL_PROTOTYPE_ASSEMBLY_ARCHITECTURE_V1.yaml;02_parameterized_cad/DIGITAL_PROTOTYPE_GEOMETRY_AUDIT_V1.json,PASS_WITH_TAGGED_LEGACY_GEOMETRY,Scoped digital prototype,None
M4-REQ-013,The absent spacecraft-to-M3R load bridge shall be an explicit unresolved slot,Frame-tree and slot inspection,01_system_architecture/DIGITAL_PROTOTYPE_FRAME_TREE_V1.yaml;02_parameterized_cad/DIGITAL_PROTOTYPE_BUILD_RECEIPT_V1.json,PASS_FAIL_CLOSED,Structural entry HOLD,Obtain controlled load-bridge geometry and mating datums
M4-REQ-014,B601 q0 witness shall not be used as physical or collision geometry,Collision-register inspection,02_parameterized_cad/DIGITAL_PROTOTYPE_COLLISION_ASSET_REGISTER_V1.yaml,PASS_FAIL_CLOSED,Production collision HOLD,Build link-level B601 physical collision assets
M4-REQ-015,Target scenario proxies shall remain separate until relative pose and contact geometry are controlled,Architecture inspection,01_system_architecture/DIGITAL_PROTOTYPE_ASSEMBLY_ARCHITECTURE_V1.yaml,PASS_FAIL_CLOSED,Capture/contact HOLD,Freeze target identity contact surfaces and transforms
