asset,reason,action
"20_engineering/cad/B5_*_V2_*/V2_3/B5_0..B5_1R1 native CAD lineage (~3,432 files / 4.2GB)","CAD lineage; keep as evidence, exit CURRENT view",ARCHIVE_CANDIDATE
20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/,F3R1 lineage (salvaged); KEEP_UNTIL_F3R2 disposition,ARCHIVE_CANDIDATE
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/,terminal closure lineage,ARCHIVE_CANDIDATE
20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/,CDR qualification closure,ARCHIVE_CANDIDATE
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/,V5R rapid closure (with PRE_EXECUTION hash evidence),ARCHIVE_CANDIDATE
01_project/competition/CURRENT_R2_*_V2..V7 delta/ledger/gap,append-only R2 history consumed by V8,ARCHIVE_CANDIDATE
30_simulation/sim_14_m4_digital_prototype_grasping/,diagnostic HOLD package,ARCHIVE_CANDIDATE
30_simulation/sim_15_m5_geometry_gated_grasping/,diagnostic HOLD package,ARCHIVE_CANDIDATE
30_simulation/e16-e20 branch diagnostics,mission branch diagnostics (HOLD),ARCHIVE_CANDIDATE
30_simulation/r2_mujoco_free_floating_precontact_v1/,cross-solver diagnostic (v1 immutable reuse baseline),ARCHIVE_AFTER_BINDING
Route-B CLOSED_NEGATIVE sets,negative design route; never delete,ARCHIVE_CANDIDATE
Round3 five-mode ROM (historical),superseded by Round4 V3 seven-mode ROM,ARCHIVE_CANDIDATE
