root_b_asset,upstream,root_a_runtime_reference,root_a_doc_or_paper_reference,usage_class,root_a_vendor_duplicate,notes
REFLIB1_EXUDYN/EXUDYN,https://github.com/jgerstmayr/EXUDYN,NONE (grep of *.py/*.m/*.yaml/*.json/*.xml/*.urdf/*.xacro/*.sh/*.bat/*.ps1 in ROOT A: zero ROOT B path hits),"Named in REFLIB2 crosswalk + TOP_12 as e15 cross-solver; 1628 name hits in ROOT A are 01_project reports/knowledge, not code",pure_reference,"YES - F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/EXUDYN @ b428cda7 (SAME commit as ROOT B copy; .git present; gitignored by ROOT A)",exact duplicate; keep one copy at consolidation
REFLIB1_SPART/SPART,https://github.com/NPS-SRL/SPART,"NONE (sim_03/sim_04 .py comments mention 'SPART future work' - comments only, no import/addpath)",crosswalk: sim_05/sim_11 cross-validation candidate; joint-mapping self-check pending,pure_reference,"YES - 80_third_party/vendor/SPART @ 1365c7e6 (SAME commit; .git present; gitignored)",exact duplicate
REFLIB1_SpaceDyn/SpaceDyn,https://github.com/Space-Robotics-Laboratory/SpaceDyn,NONE,133 doc hits (knowledge/reports); ETS-VII/GJM heritage reference,pure_reference,"YES - 80_third_party/vendor/SpaceDyn @ 57e5d608 (SAME commit; .git present; gitignored)",exact duplicate; license UNKNOWN on both copies
REFLIB1_SpaceDyn_python/SpaceDyn_python,https://github.com/gabrielegilardi/SpaceDyn,NONE,registered in REFERENCE_INDEX.json only,pure_reference,NO,
REFLIB1_MATLAB_space_debri_capturing_sim,https://github.com/Space-Robotics-Laboratory/MATLAB_space_debri_capturing_sim,NONE,crosswalk/TOP_12: V2 contact-capture method reference,pure_reference,NO,
REFLIB1_oresat_structure/oresat_structure,https://github.com/oresat/oresat-structure,NONE,"knowledge/B_cubesat_structure_practice.md (STALE PATH: cites retired F:/space_robotics_references/oresat_structure)",pure_reference,NO,license refined to CERN-OHL-S-v2 by PL1-D
REFLIB1_space_robotics_bench,https://github.com/AndrejOrsula/space_robotics_bench,NONE,"knowledge/B_assets_and_conventions.md (STALE PATH: cites retired F:/space_robotics_references/space_robotics_bench)",pure_reference,"YES - 80_third_party/vendor/space_robotics_bench @ 7528ff81 (SAME commit; .git present; gitignored)",exact duplicate
REFLIB1_spaceros_demos,https://github.com/space-ros/demos,NONE,"knowledge/B_assets_and_conventions.md (STALE PATH: cites retired F:/space_robotics_references/spaceros_demos; audit SHA c5e47842 recorded there)",pure_reference,NO,
REFLIB1_spacedyn_freefloating_demo,UNKNOWN (local),NONE,RUNTIME_STATUS logs self-contained,pure_reference,NO,locally authored 2026-07; no upstream
REFLIB2_01_nasa_mechanical (10 NTRS PDF),NASA NTRS,NONE,"TOP_20/crosswalk: paper intro, EE-V2, HDRM, F3-P3, G07/G08 citation sources",pure_reference (paper),NO,hash-verified (PUBLIC_REFERENCE_HASH_MANIFEST.json)
REFLIB2_02_esa_isam_2026 (7 ESA PDF),ESA Clean Space Days 2026,NONE,"TOP_20/crosswalk: VBN validation ladder, PNRR IOS architecture, EE-V2 trade space",pure_reference (paper),NO,cite as conference presentations
REFLIB2_03 papers+docs (arXiv x4 + tool docs),arXiv / readthedocs / Tohoku,NONE,crosswalk: discussion/future-work chapters only,pure_reference (paper),NO,preprints flagged not-peer-reviewed
