artifact_id,session,gate,relative_path_or_pattern,artifact_type,expected_count,current_count,current_status,acceptance_boundary
FINAL_MASTER_SKELETON,S01-S02,G2,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2.SLDPRT,SLDPRT,1,0,NOT_CREATED,"0 bodies; 0 external refs; three configurations; authorized datum and names; cold reopen"
CARRIER_BASE_LINK,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_base_link.SLDPRT,SLDPRT,1,0,NOT_CREATED,"reference-only; mass contribution zero; cold reopen"
CARRIER_LINK1,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_link1.SLDPRT,SLDPRT,1,0,NOT_CREATED,"reference-only; mass contribution zero; cold reopen"
CARRIER_LINK2,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_link2.SLDPRT,SLDPRT,1,0,NOT_CREATED,"reference-only; mass contribution zero; cold reopen"
CARRIER_LINK3,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_link3.SLDPRT,SLDPRT,1,0,NOT_CREATED,"reference-only; mass contribution zero; cold reopen"
CARRIER_LINK4,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_link4.SLDPRT,SLDPRT,1,0,NOT_CREATED,"reference-only; mass contribution zero; cold reopen"
CARRIER_LINK5,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_link5.SLDPRT,SLDPRT,1,0,NOT_CREATED,"reference-only; mass contribution zero; cold reopen"
CARRIER_LINK6,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_link6.SLDPRT,SLDPRT,1,0,NOT_CREATED,"reference-only; mass contribution zero; cold reopen"
CARRIER_GRIPPER_LINK,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_gripper_link.SLDPRT,SLDPRT,1,0,NOT_CREATED,"branch parent; two outgoing P frames; cold reopen"
CARRIER_GRIPPER_LEFT,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_gripper_left.SLDPRT,SLDPRT,1,0,NOT_CREATED,"independent P1 branch; mass contribution zero; cold reopen"
CARRIER_GRIPPER_RIGHT,S03-S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_gripper_right.SLDPRT,SLDPRT,1,0,NOT_CREATED,"independent P2 branch; mass contribution zero; cold reopen"
CARRIER_CHAIN_NATIVE,S05-S06,G4-G5,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_CHAIN_NATIVE.SLDASM,SLDASM,1,0,NOT_CREATED,"6R + 1 fixed + 2 independent P; native unique drivers only"
J00_BASELINE,S05,G4,07_VERIFICATION/PHASE2A/J00_BASELINE_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"immutable baseline before first joint"
J01_PASS,S05,G4,07_VERIFICATION/PHASE2A/J01_PASS_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"joint1 native mate save and readback"
J02_PASS,S05,G4,07_VERIFICATION/PHASE2A/J02_PASS_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"joint2 native mate save and readback"
J03_PASS,S05,G4,07_VERIFICATION/PHASE2A/J03_PASS_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"joint3 native mate save and readback"
J04_PASS,S05,G4,07_VERIFICATION/PHASE2A/J04_PASS_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"joint4 native mate save and readback"
J05_PASS,S05,G4,07_VERIFICATION/PHASE2A/J05_PASS_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"joint5 native mate save and readback"
J06_PASS,S05,G4,07_VERIFICATION/PHASE2A/J06_PASS_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"joint6 native mate save and readback"
J07_PASS,S05,G4,07_VERIFICATION/PHASE2A/J07_PASS_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"fixed gripper joint exact URDF transform; no Fix Component"
J08_PASS,S05,G4,07_VERIFICATION/PHASE2A/J08_PASS_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"gripper_joint1 independent native Limit Distance"
J09_PASS,S05,G4,07_VERIFICATION/PHASE2A/J09_PASS_CHECKPOINT.json,JSON_RECEIPT,1,0,NOT_CREATED,"gripper_joint2 independent native Limit Distance"
