datum,parent,definition,source,status
spacecraft_assembly_frame,,Neutral assembly root,F3R2_FRAME_MAPPING_V1,NEUTRAL_ROOT
M_FRAME,spacecraft_assembly_frame,Mechanical interface frame,M3R T_SM authority,ROOT_RELATION_HOLD
B601_AS_BUILT_PATTERN_DATUM,M_FRAME,"t=[25.155,0.015994151,-0.08636607] mm; Rx=25.000014 deg",M3R_TSM_FRAME_TO_FLANGE_TRANSFORM.json,MEASURED_COMPETITION_DATUM
arm_base_frame,spacecraft_assembly_frame,"translation [208,0,0] mm; matrix in SYSTEM_FRAME_TREE",F3R2_FRAME_MAPPING_V1,FROZEN_MAPPING
M3R_ARM_PATTERN,B601_AS_BUILT_PATTERN_DATUM,4xM4-class; 64x64 mm; PCD 90.509641772 mm,Owner frozen fact,COMPETITION_INTERFACE
M3R_CLOCKING,M_FRAME,25.000014 deg,M3R T_SM authority,MEASURED_DATUM
M3R_CONTINUOUS_MOUNTING_FACE,M3R_ARM_PATTERN,false,Owner frozen fact,NO_CONTINUOUS_FACE
left_wing_hinge_axis,spacecraft_assembly_frame,"point [-61,143.15,0] mm; axis +X",B-rep probe,MAPPED
right_wing_hinge_axis,spacecraft_assembly_frame,"point [-61,-143.15,0] mm; axis +X",B-rep probe,MAPPED
camera_optical_frame,link6_frame,TBD,camera envelope only,HOLD
