id,source,negative_result,preservation,effect
NR-01,mechanical_release_gate,Mechanical Gate A not passed; TMG-4/TMG-6 internal blockers remain.,VERBATIM_ACTIVE,PB_G0_HOLD
NR-02,mechanical_handoff_gate,Mechanical-to-embodied handoff 11/12; harness G12 fails.,VERBATIM_ACTIVE,NO_FORMAL_HANDOFF
NR-03,route_c_completed_gate_v1,FAIL_DOCUMENTED: 1/10 mandatory state unsafe and 3/8 trajectories unsafe.,VERBATIM_ACTIVE,ROUTE_C_EXCLUDED
NR-04,e15_legacy,Legacy ANCF certification remains REPEAT; E23 does not rewrite it.,VERBATIM_ACTIVE,FULL_MODEL_CERTIFICATION_LIMITED
NR-05,control_01_gate,CTRL-01 remains REPEAT under frozen gains and preregistered trajectories.,VERBATIM_ACTIVE,NO_TRACKING_CREDIT
NR-06,control_02_gate,L0 hardware-valid stabilization not evaluated; only 7/16 under provisional actuator/time-window scope.,VERBATIM_ACTIVE,NO_HARDWARE_STABILITY_CREDIT
NR-07,safe_00_gate,SAFE-00 is pending review with next_stage_authorized=false.,VERBATIM_ACTIVE,NO_EXECUTION_AUTHORITY
NR-08,sim13_20_of_20_gate,20/20 negative controls yield maximum operational state ABORT_ONLY; system binding false.,VERBATIM_ACTIVE,NO_RL_OR_CAPTURE_CREDIT
NR-09,mass_frame_contact_authority,"System/target authority, frame owner confirmation, actuator dynamics and contact speed ruling remain unresolved.",REGISTERED_NEW,PB_G0_AUTHORITY_SUFFICIENCY_HOLD
NR-10,repository_state,Dirty/untracked authorities lack Git retention credit.,REGISTERED_NEW,NO_RELEASE_CREDIT
