item_id,quantity,assembly_item,component_or_slot,geometry_source,geometry_status,material,supplier_or_vendor,mass,tolerance,finish,fasteners,procurement_status,release_hold
DP-001,1,12U bus core,INST_BUS_12U_CORE,model_specs_v0.json analytic primitives,block proxy with legacy flange,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,internal structure and load bridge unknown
DP-002,1,left solar array,INST_SOLAR_ARRAY_LEFT_DEPLOYED,model_specs_v0.json box primitive,deployed proxy only,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,stowed geometry and hinge kinematics unknown
DP-003,1,right solar array,INST_SOLAR_ARRAY_RIGHT_DEPLOYED,model_specs_v0.json box primitive,deployed proxy only,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,stowed geometry and hinge kinematics unknown
DP-004,1,B601 arm system,INST_B601_ARM_CORE_Q0,B601_KINEMATIC_ASSEMBLY_Q0_WITNESS.step,frame and axis witness only,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,physical arm B-rep and fitup unknown
DP-005,1,M3R Stage A ring,INST_M3R_INTERFACE_ASSEMBLY,M3R_INTERFACE_ASSEMBLY_V2_WORKING.step,working combined B-rep stage component,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_RELEASED,fitup material tolerance and fastener authority unknown
DP-006,1,M3R Stage B load diffusion plate,INST_M3R_INTERFACE_ASSEMBLY,M3R_INTERFACE_ASSEMBLY_V2_WORKING.step,working combined B-rep stage component,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_RELEASED,load bridge fitup material tolerance and fastener authority unknown
DP-007,1,spacecraft to M3R load bridge,SLOT_SPACECRAFT_LOAD_BRIDGE__UNRESOLVED,no authorized geometry,absent,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,structural load path discontinuity
DP-008,1,gripper R1 palm,INST_GRIPPER_R1_PALM,B601_GRIPPER_PALM_RAIL_SLOT_R1.step,palm-only working B-rep,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_RELEASED,finger contact structural and manufacturing clearance unknown
DP-009,1 set,gripper R1 separated fingers,SLOT_GRIPPER_R1_FINGERS__UNRESOLVED,no valid separated B-reps,absent,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,contact geometry and pregrasp state unknown
DP-010,1,sensor package,SLOT_SENSOR_PACKAGE__UNRESOLVED,model_specs_v0.json rejected camera placeholder,source available but not installed,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,source pose penetrates M3R and replacement pose is not authorized
DP-011,1,arm HDRM,SLOT_ARM_HDRM__UNRESOLVED,nonphysical skeleton reference only,not installed,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,global transform clocking product and functional evidence unknown
SCN-001,1 reference,target satellite 22 kg proxy,TARGET_SATELLITE_22KG,model_specs_v0.json millimetre primitives,scenario asset not installed,UNSPECIFIED_HOLD,NOT_APPLICABLE,ASSUMPTION_NOT_BREP_DERIVED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SCENARIO_REFERENCE_ONLY,relative pose and contact interface unknown
SCN-002,1 reference,target debris 150 kg proxy,TARGET_DEBRIS_150KG,model_specs_v0.json exact primitive compound,scenario asset not installed,UNSPECIFIED_HOLD,NOT_APPLICABLE,ASSUMPTION_NOT_BREP_DERIVED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SCENARIO_REFERENCE_ONLY,relative pose and tangent marker bracket boolean union unknown

