id,domain,severity,conflict,selected_prebind_disposition,state
PB-C01,mass,BLOCKING,V3_R2 design ledger and bridged dynamics candidate are both non-production; bridged values differ from stated values.,Use bridged lane for diagnostic only; no production mass authority claim.,HOLD
PB-C02,target,BLOCKING,"22 kg and 150 kg values exist, but formal target mass/inertia/capture-transform authority is absent.",Keep target plant disabled; values only in bounded sensitivity overlay.,HOLD
PB-C03,frames,BLOCKING,Legacy dynamics mount is 185.25 mm while physical installation is 208 mm with +25.000014 deg clocking.,Only consume hash-pinned physical-dynamics bridge; owner confirmation still required.,HOLD
PB-C04,contact,BLOCKING,Gripper first-contact maximum 0.005 m/s conflicts 10x with design-contact nominal 0.05 m/s (lower bound 0.01 m/s).,Contact disabled; UNKNOWN never ALLOW until owner ruling.,HOLD
PB-C05,actuators,BLOCKING,Joint/base/gripper actuator dynamics and hardware-qualified limits are provisional or null; URDF literals are not hardware qualification.,PB-00 generalized effort fixed at exact zero; no control performance credit.,HOLD
PB-C06,gate_freshness,MAJOR,Terminal release snapshots Sim13 at 15/20 while module-local latest gate is 20/20.,Record scope and generated source independently; no cross-file overwrite or inherited release credit.,LIMITED
PB-C07,route_c,BLOCKING,Route-C V2 mass delta is 1.5688 kg design candidate; RC5 propagation is forbidden and no V2 completed gate exists.,Exclude Route-C from all PB-00 matrices and assert contamination=false.,HOLD
PB-C08,configuration_management,BLOCKING,Repository is dirty and current Mechanical R2/E23/Sim13 authorities are not all retained by Git.,Use raw-byte SHA locators only; grant no configuration retention credit.,HOLD
PB-C09,governance,MAJOR,Historical project state says NO_NEW_SIMULATION while current owner instruction authorizes only PB-G0/PB-G1 prebind work.,Treat current authorization as narrow supersession only for isolated PB-G0/PB-00 diagnostic; all later stages remain HOLD.,LIMITED
PB-C10,path_migration,MAJOR,sim05/sim11 still resolve removed root cad/docs/config paths after REORG04.,Do not restore forbidden root directories or patch frozen modules; use current Unified R2 backend adapter.,LIMITED
PB-C11,schema,MAJOR,"Sim13 backend state lacks target, wheel, flex covariance, and full capture topology handoff fields.",Freeze extended state schema now; do not claim runtime binding.,HOLD
