hold_id,description,inherited_from,owner,blocking_scope,closure_evidence,status,close_reduce_accept_rationale,associated_files,verification_hash
HOLD-01,GUI interactive witness not performed,F3-P1,F3-P5C,competition_submission,13_reports/F3_P3_GUI_WITNESS.md,CLOSED,"closed_with_cmdequivalent_witness (FreeCADCmd same OCCT kernel, T005-C 10/10)",13_reports/F3_P3_GUI_WITNESS.md,
HOLD-02,T_SM single route not decided (dual track retained),F3-P3,F3-P5C,competition_submission,06_configuration_closure/F3_P5C_CONFIGURATION_HOLD_DISPOSITION.md,CLOSED,"tsm_single_route_decided: Mode B T_SM=185.25mm, Mode A NON_COMPLIANT_EXCLUDED",13_reports/F3_P3_T_SM_DUAL_TRACK.md,
HOLD-03,Mode B STOW_Z non-compliant (exceeds 132.72mm),F3-P3,F3-P5C,competition_submission,06_configuration_closure/F3_P5C_CONFIGURATION_HOLD_DISPOSITION.md,CLOSED,mode_b_stow_excluded_from_operational_baseline (negative result retained),15_f3_p3_top_assembly/F3_P3_STOW_Z_ENVELOPE_DECISION.json,
HOLD-04,G8b robust clearance margins all TBD,F3-P3,F3-P5A,structural_evidence,fea_execution,OPEN,g8b_margins_require_fea_and_authorized_load,15_f3_p3_top_assembly/F3_P3_ROBUST_CLEARANCE_BUDGET.csv,
HOLD-05,Camera occlusion in STOW state,F3-P3,F3-P5C,competition_submission,06_configuration_closure/F3_P5C_CONFIGURATION_HOLD_DISPOSITION.md,CLOSED,camera_occlusion_closed_by_acceptable_timing (release sequence all critical mechanisms visible),15_f3_p3_top_assembly/F3_P3_CAMERA_FOV_REPORT.md,
HOLD-06,Launch load spectrum undefined,F3-P2/F3-P3/F3-P4,F3-P5A,structural_evidence,authorized_launch_load_case,OPEN,no_al_source_launch_strength_buckling_g8b_margins_all_tbd,13_reports/F3_P4A_BASE_ADAPTER_LOAD_BRIDGE_FEA.md,
HOLD-07,Contact pad flight material not selected (candidate matrix only),F3-P4,F3-P5B_PAD,competition_submission,05_contact_pad/F3_P5B_PAD_GATE_STATUS.json,CLOSED_COMPETITION,competition_grade_closed (G07 disc spring + PTFE / G08 VMQ 60A); flight grade remains PROCUREMENT_TBD,13_reports/F3_P4C_CONTACT_PAD_DETAILED_DESIGN.md,
HOLD-08,HDRM specific model not determined (PROCUREMENT_TBD),F3-P4,F3-P5B_HDRM,competition_submission,06_hdrm/F3_P5B_HDRM_GATE_STATUS.json,CLOSED_COMPETITION,competition_demonstrator_closed (electromagnet + spring); flight specific model still PROCUREMENT_TBD,13_reports/F3_P4D_HDRM_STRUCTURAL_DEEPENING.md,
HOLD-09,FEA execution pending (framework defined),F3-P4,F3-P5A,structural_evidence,04_fea/16_gate/F3_P5A_GATE_STATUS.json,CLOSED,"fea_execution_completed (12 UL cases + modal, actual ccx runs)",13_reports/F3_P4A_BASE_ADAPTER_LOAD_BRIDGE_FEA.md,
HOLD-10,Engineering drawing not manufacturing release,F3-P4,F3-P5D,competition_submission,07_manufacturing_release/F3_P5D_GATE_STATUS.json,CLOSED,manufacturing_release_for_competition_prototype_only,13_reports/F3_P4E_INHERITANCE_MANUFACTURING_DEEPENING.md,
