item_id,owner_id,representation_group,source_value_kg,value_state,physical_status,cad_mass_authority,dynamics_authority,source_ref,notes
servicer_12U_bus_v1,servicer_split_owner,servicer_mass_representation,23.3032134,PROVISIONAL_SOURCE_BOUND,NOT_WEIGHED,false,false,20_engineering/config/geometry/service_spacecraft_v1.yaml,selected split-bus representation
solar_panel_left_v1,servicer_split_owner,servicer_mass_representation,0.3483933,PROVISIONAL_SOURCE_BOUND,NOT_WEIGHED,false,false,20_engineering/config/geometry/flexible_appendage_v1.yaml,left panel; do not add whole_sat_reference
solar_panel_right_v1,servicer_split_owner,servicer_mass_representation,0.3483933,PROVISIONAL_SOURCE_BOUND,NOT_WEIGHED,false,false,20_engineering/config/geometry/flexible_appendage_v1.yaml,right panel; do not add whole_sat_reference
robot_mount_adapter_v0,adapter_owner,adapter_plate_plus_boss_single_mass,1.2,PROVISIONAL_SOURCE_BOUND,NOT_WEIGHED,false,false,20_engineering/config/geometry/arm_mount_v1.yaml,plate and boss have one owner and may not be counted separately
B601_accepted_full_10link,b601_urdf_owner,accepted_urdf_full_10link,4.6955559493429862,PROVISIONAL_SOURCE_BOUND,DIGITAL_SOURCE_NOT_WEIGHED,false,false,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,exact per-link sum; rounded YAML subtotal excluded
OBC_CDH_placeholder,C_AND_DH_OWNER,subsystem_placeholder,,UNKNOWN_BLOCKED,NO_HARDWARE_SELECTED,false,false,,not included in current total
EPS_PMAD_placeholder,EPS_PMAD_OWNER,subsystem_placeholder,,UNKNOWN_BLOCKED,NO_HARDWARE_SELECTED,false,false,,not included in current total
battery_placeholder,BATTERY_OWNER,subsystem_placeholder,,UNKNOWN_BLOCKED,NO_HARDWARE_SELECTED,false,false,,not included in current total
reaction_wheel_IMU_placeholder,ADCS_OWNER,subsystem_placeholder,,UNKNOWN_BLOCKED,NO_HARDWARE_SELECTED,false,false,,not included in current total
perception_payload_placeholder,PERCEPTION_HARDWARE_OWNER,subsystem_placeholder,,UNKNOWN_BLOCKED,NO_HARDWARE_SELECTED,false,false,,zero-solid reserve only
propulsion_placeholder,PROPULSION_OWNER,subsystem_placeholder,,UNKNOWN_BLOCKED,NO_HARDWARE_SELECTED,false,false,,not included in current total
communication_placeholder,COMMUNICATIONS_OWNER,subsystem_placeholder,,UNKNOWN_BLOCKED,NO_HARDWARE_SELECTED,false,false,,not included in current total
thermal_placeholder,THERMAL_OWNER,subsystem_placeholder,,UNKNOWN_BLOCKED,NO_HARDWARE_SELECTED,false,false,,not included in current total
harness_placeholder,ELECTRICAL_INTEGRATION_OWNER,subsystem_placeholder,,UNKNOWN_BLOCKED,NO_HARDWARE_SELECTED,false,false,,not included in current total
target_satellite_v0,MISSION_TARGET_OWNER,target_scenario,22.0,SCENARIO_SOURCE_BOUND,LOW_CONFIDENCE_MODEL,false,false,20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/mass_inertia_budget_v1.csv,excluded from active servicer mass
target_debris_v0,MISSION_TARGET_OWNER,target_scenario,150.0,SCENARIO_SOURCE_BOUND,LOW_CONFIDENCE_MODEL,false,false,20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/mass_inertia_budget_v1.csv,excluded from active servicer mass
