role,manufacturer,MPN,quantity,status,source
battery,RRC,RRC3570-4,1,SELECTED_CANDIDATE,rrc3570_4.pdf
"proposed charger only, not connected",RRC,RRC-PMM35,1,PARALLEL_LOAD_INTERFACE_UNCONFIRMED,pmm35.pdf
single isolated converter,Cincon,CHB500W-24S24N,1,SELECTED_CANDIDATE,cincon_chb500w.pdf
local thermal carrier,PROJECT,WP10_MONOLITHIC_BOTTOM_PEDESTAL_DUAL_COLD_FINGERS_6061,1,CURRENT_SOURCE_GEOMETRY__NO_MANUFACTURING_RELEASE,mechanical/bottom_radiator.step.py;thermal/BOTTOM_RADIATOR_MOUNT.json
J200: Project adapter pads; not OEM pin numbers,see source,PROJECT_BATTERY_ADAPTER_OUTPUT,1,OEM_SIDE_UNBOUND,rrc3570_4.pdf D; mc35.pdf body RevB; OEM cavity and Sys Detect UNBOUND
F201: Main branch backup fuse: clearing/I2t unbound,see source,30A_DC_FUSE_MPN_UNBOUND,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
F202: Independent AUX branch; THN recommendation is not protection coordination,see source,6A_SLOW_DC_FUSE_MPN_UNBOUND,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
"U201: Latched hot swap, not auto-retry",see source,LM5069MM-1,1,SELECTED_CANDIDATE,"lm5069_rev_g.pdf pp3,5,6,20-24"
Q201: Linear-SOA candidate replacing low-Rds-only selection,see source,IXTH75N10L2,1,ADVANCE_DATASHEET_NOT_RELEASE_QUALIFIED,https://www.littelfuse.com/assetdocs/Littelfuse-Discrete-MOSFETs-N-Channel-Linear-IXT-75N10-Datasheet.PDF?assetguid=EA051E16-AAA9-4983-A975-8D0C07325D72 pp1-2; ADVANCE TECHNICAL INFORMATION
"R201: 2mOhm main sense, PCB Kelvin taps required",see source,WSLP27262L000FEA,1,SELECTED_CANDIDATE,wslp2726.pdf 29-Jun-2026 pp1-2
"R202: 0.2mOhm series sense, PCB Kelvin taps required",see source,WSLP2726L2000FEA,1,SELECTED_CANDIDATE,wslp2726.pdf 29-Jun-2026 pp1-2
R203: UVLO upper,see source,47.5k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R204: UVLO lower,see source,5.90k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R205: OVLO upper,see source,120k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R206: OVLO lower,see source,10k_0.1pct_25ppm,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R207: Power limit,see source,30.1k_1pct,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C201: Fault timer,see source,1uF_10pct_16V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C202: Input bypass,see source,100nF_100V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C203: CHB input reservoir,see source,2200uF_20pct_100V_ESR_lt_0.12,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C204: CHB local output,see source,10uF_50V_polymer,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C205: CHB local output,see source,1uF_50V_ceramic,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C206: Ideal diode VS decoupling,see source,100nF_100V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C207: Ideal diode charge pump,see source,100nF_25V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C208: Ideal diode input bypass,see source,100nF_100V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C209: THN ripple-test external capacitor,see source,6.8uF_20pct_50V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C210: THN ripple-test external capacitor,see source,6.8uF_20pct_50V,1,VALUE_SELECTED_MPN_UNBOUND,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
D201: Input surge clamp: wiring L and fuse coordination not verified,see source,SMBJ30A-13-F,1,SELECTED_CANDIDATE,lm5069_rev_g.pdf p25 reference; actual TVS datasheet pending
D202: Output negative clamp A=return K=precharged rail,see source,MBR3100,1,SELECTED_CANDIDATE,lm5069_rev_g.pdf p25 reference; actual diode datasheet pending
U202: Always-on independent isolated STOP supply,see source,THN 30-2415WIR,1,SELECTED_CANDIDATE,"thn30wir_20260901.pdf pp2-4,6"
"U204: Common-drain reverse blocker; OV grounded, no motor clamp credit",see source,LM74800QDRRRQ1,1,SELECTED_CANDIDATE,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
