measurement_id,component,quantity,frame_or_datum,nominal_candidate,unit,measured_value,measurement_uncertainty,document_status,physical_status,method_and_direction,source_id,next_use
M01,B601_ROOT_HOLE_1,中心与孔轴,M3R_LOCAL对照实物承载基准A及定位B,x15.494;y42.4393;A通孔4.6;沉孔7.5深4.5,mm,null,null,VENDOR_REPOSITORY_AVAILABLE_INTERFACE_DIMENSIONS_PARTIAL,MEASUREMENT_REQUIRED,承载面法向探测孔轴并记录中心/孔型/径/螺纹有效深度；不可把螺钉实体当孔,M3R_DRV+M3R_PROBE+VENDOR_COMMIT,根部对偶与孔模板
M02,B601_ROOT_HOLE_2,中心与孔轴,M3R_LOCAL对照实物承载基准A及定位B,x-42.5096;y15.3917;A通孔4.6;沉孔7.5深4.5,mm,null,null,VENDOR_REPOSITORY_AVAILABLE_INTERFACE_DIMENSIONS_PARTIAL,MEASUREMENT_REQUIRED,沿承载面法向测孔并独立记录误差,M3R_DRV+M3R_PROBE+VENDOR_COMMIT,根部对偶与孔模板
M03,B601_ROOT_HOLE_3,中心与孔轴,M3R_LOCAL对照实物承载基准A及定位B,x-15.4621;y-42.612;A通孔4.6;沉孔7.5深4.5,mm,null,null,VENDOR_REPOSITORY_AVAILABLE_INTERFACE_DIMENSIONS_PARTIAL,MEASUREMENT_REQUIRED,沿承载面法向测孔并独立记录误差,M3R_DRV+M3R_PROBE+VENDOR_COMMIT,根部对偶与孔模板
M04,B601_ROOT_HOLE_4,中心与孔轴,M3R_LOCAL对照实物承载基准A及定位B,x42.5416;y-15.5644;A通孔4.6;沉孔7.5深4.5,mm,null,null,VENDOR_REPOSITORY_AVAILABLE_INTERFACE_DIMENSIONS_PARTIAL,MEASUREMENT_REQUIRED,沿承载面法向测孔并独立记录误差,M3R_DRV+M3R_PROBE+VENDOR_COMMIT,根部对偶与孔模板
M05,B601_BASE,实际承载面/法向/平面度,实物datumA及A0,nominalBRep局部z2.405;S接触面z127.555,mm_and_deg,null,null,VENDOR_SMALL_STEP_COPIED_DATUM_NOT_REGISTERED,MEASUREMENT_REQUIRED,平面测点拟合并排除螺钉头与非承载外表面；仪器误差单列,WP01_IF+VENDOR_BASE_PLATE,承载面注册
M06,B601_BASE,定位圆/止口/中心/轴,实物datumB,旧A止口99.6与B中心孔100仅转接候选,mm,null,null,VENDOR_SMALL_STEP_COPIED_DATUM_NOT_REGISTERED,MEASUREMENT_REQUIRED,厂家图/实物确认真正定位特征；不要默认bbox中心定位,M3R_DRV+VENDOR_BASE_LINK,定位公差链
M07,B601_ROOT_FASTENERS,孔型/螺纹/深度/螺钉身份,四孔分别登记,厂家BOM列HM4-75mm数量4+并非所有孔螺纹证明,mm_and_thread,null,null,VENDOR_BOM_FOUND_THREAD_DETAIL_UNRESOLVED,MEASUREMENT_REQUIRED,螺纹规/深度规与厂家图核对；分清通孔和螺纹孔,VENDOR_BOM_LINES145+M3R_PROBE,紧固长度与预紧设计
M08,B601_ROOT_FASTENERS,插入和工具方向/包络,实物根部局部frame,null,mm_and_direction,null,null,VENDOR_REPOSITORY_PARTIAL,MEASUREMENT_REQUIRED,真实螺栓/扳手沿实际方向试插并测所需空间,null,工具通道及装配顺序
M09,M3R_STAGE_A_B,八孔与定位对偶,M3R_LOCAL,r62.5;start22.5deg;8x5.5;定位55/0;A4.1;B4.0深5.5,mm,null,null,CAD_CANDIDATE_SOURCE_READ,MEASUREMENT_REQUIRED,孔轴/定位与实选销/螺栓对照；名义值非公差,M3R_DRV,级间连接
M10,M3R_STAGE_B_TO_BRIDGE,四孔及承载底面,M3R_LOCAL,四中心x±70/y±70;孔6.6;B底z-12,mm,null,null,CAD_CANDIDATE_SOURCE_READ,MEASUREMENT_REQUIRED,根板对偶孔定位/紧固/工具检查,M3R_DRV,承载板与锚固
M11,STATION_A_LINK2,实际可接触表面及法向,S.x=-115与link2局部frame,accepted截面z362.06827784535824至425.85019064932413,mm_and_direction,null,null,VENDOR_LINK_PARTS_COPIED_REGISTRATION_REQUIRED,MEASUREMENT_REQUIRED,标记实际link2部位并用曲面测量和剖面照片核对；不套用截面bbox,WP01_PARK+VENDOR_LINK2_VARIANTS,鞍座A真实对偶
M12,STATION_A_LINK2,壁厚/内部承压依据/禁夹区域,与M11同一实际部位,null,mm_and_evidence,null,null,VENDOR_BOM_MATERIAL_FOUND_LOCAL_LOAD_PATH_UNCONFIRMED,MEASUREMENT_REQUIRED,厂家内部结构/装配图与必要无损测厚；辨别装饰盖/填充与金属件,VENDOR_BOM+VENDOR_LINK2_VARIANTS,允许面压与接触区
M13,STATION_B_LINK2,实际可接触表面及法向,S.x=-40与link2局部frame,accepted截面z338.90185801408774至384.04342600174647,mm_and_direction,null,null,VENDOR_LINK_PARTS_COPIED_REGISTRATION_REQUIRED,MEASUREMENT_REQUIRED,同M11方法独立测B站；不把A形状复制给B,WP01_PARK+VENDOR_LINK2_VARIANTS,鞍座B真实对偶
M14,STATION_B_LINK2,壁厚/内部承压依据/禁夹区域,与M13同一实际部位,null,mm_and_evidence,null,null,VENDOR_BOM_MATERIAL_FOUND_LOCAL_LOAD_PATH_UNCONFIRMED,MEASUREMENT_REQUIRED,对应部位内部证据/测厚与禁区登记,VENDOR_BOM+VENDOR_LINK2_VARIANTS,允许面压与接触区
M15,SUPPORT_PADS_A_B,材料/接触面积/刚度/压缩/预紧,各接触法向,2mm是设置间隙不是垫厚或压缩,mm_N_N_per_mm,null,null,NEW_DESIGN_INPUT_REQUIRED,MEASUREMENT_REQUIRED,独立试片压缩试验；接触压力/支架壳体刚度分别记录,WP01_PARK,接触分流模型
M16,SUPPORT_A_B_ADJUSTMENT,A柔顺Y/Z与B浮动X行程/摩擦,支承局部轴,null,mm_N,null,null,NEW_DESIGN_INPUT_REQUIRED,MEASUREMENT_REQUIRED,无载/带定义载荷下量测调节行程滞回和反力,null,避免过约束
M17,B601_COMPLETE,实物总质量含试验附件,称重工装与序列号,4.695555949342986仅accepted数字质量,kg,null,null,DIGITAL_MASS_SOURCE_ONLY,MEASUREMENT_REQUIRED,校准秤称重并分别列线缆工具/夹具；皮重单列,ACCEPTED_URDF,GROUND载荷
M18,B601_COMPLETE,实物重心及姿态,当前q与S系,null,m,null,null,NEW_MEASUREMENT_REQUIRED,MEASUREMENT_REQUIRED,多支点称重/悬吊方法与姿态记录；误差单列,null,重力矩与托持位置
M19,ROOT_BRIDGE_AND_GSE,分件质量与材料,逐零件ID,ONBOARD候选与GSE分别计账,kg_and_material,null,null,CANDIDATE_CAD_BOM_PENDING,MEASUREMENT_REQUIRED,材料证书/密度估算与称重分开；不将GSE算飞行质量,null,载荷及BOM
M20,ARM_HARNESS,护套外径与截面,指定线缆料号/段号,null,mm,null,null,NOT_FOUND_IN_REVIEWED_VENDOR_TEXT_OR_TREE,MEASUREMENT_REQUIRED,软尺/卡尺按规定轻测多处并记套管与温度；不能用AWG当护套OD,VENDOR_COMMIT,真实线夹及过孔
M21,ARM_HARNESS,动态最小弯曲半径,线缆料号与动作循环条件,null,mm,null,null,NOT_FOUND_IN_REVIEWED_VENDOR_TEXT_OR_TREE,MEASUREMENT_REQUIRED,供应商动态数据或定义循环试验；不按经验倍径补值,VENDOR_COMMIT,路径曲率判据
M22,ARM_HARNESS,允许扭转/有效长度/循环寿命,两固定端及线缆料号,null,deg_per_m_and_cycle,null,null,NOT_FOUND_IN_REVIEWED_VENDOR_TEXT_OR_TREE,MEASUREMENT_REQUIRED,供应商扭转规范或样段循环试验并记录端部扭矩,VENDOR_COMMIT,关节活动段
M23,ARM_HARNESS,端接型号/长度/数量,厂家BOM物料清单,XT30_2+2_350mm弯弯2弯直1;200mm弯弯3直直1,mm_and_part_id,null,null,VENDOR_BOM_FOUND,MEASUREMENT_REQUIRED,核实实际臂线缆段对应关系与总长/有效长定义；不默认这是新根部路线长度,VENDOR_BOM_LINES155_158,根部样段选用
M24,ROOT_WRIST_CONNECTORS,插头/背壳/出线/锁紧/插拔包络,各连接器局部frame,厂家列XT30_2+2弯/直端型但无完整尺寸公差图,mm,null,null,VENDOR_BOM_FOUND_DIMENSIONS_NOT_FOUND,MEASUREMENT_REQUIRED,实物或接头制造商尺寸图；量测插拔和锁紧工具体积,VENDOR_BOM_LINES155_158,连接器安装板
M25,ARM_HARNESS_CONNECTORS,允许拉力/端部力矩/应力释放,连接器与固定夹点,null,N_and_Nm,null,null,NOT_FOUND_IN_REVIEWED_VENDOR_TEXT_OR_TREE,MEASUREMENT_REQUIRED,供应商限制与独立样段反力测试；先固定应力释放不拖拽电机接口,VENDOR_BOM_CABLE_CLIP_NOTE,动态路径反力
