group,part,qty,mass_g_total,mass_source_tier,mass_source,mounted_on,counts_in_accepted_arm_inertia,note
WING_ROOT_INTERFACE,WING_LUG_FORK,4,74.844,3,CAD volume x density (Al 6061-T6),solar wing panel / root,False,double-shear fork straddling the existing spacecraft ear; bore coaxial with Hinge_Pin (r=4.000) at 4.200 -> 0.2 mm runni
WING_ROOT_INTERFACE,HINGE_AXIAL_SPACER,8,6.912,3,CAD volume x density (PTFE-filled bronze),solar wing panel / root,False,one each side of every fork arm; sets 0.5 mm running clearance and prevents axial walk
WING_ROOT_INTERFACE,HINGE_PIN_RETAINER,4,0.764,3,CAD volume x density (spring steel),solar wing panel / root,False,captures the existing r=4.000 pin axially; groove cut in the pin ends outside the ear stack
WING_ROOT_INTERFACE,WING_STOP_PAD,2,1.814,3,CAD volume x density (Al 6061-T6 + Vespel facing),solar wing panel / root,False,"lands on the EXISTING Hard_Stop block (x -64..-58, z +23..+37) at the 90 deg deployed end stop; defines the deployment a"
WING_ROOT_INTERFACE,WING_SPRING_ANCHOR,4,3.11,3,CAD volume x density (Al 6061-T6),solar wing panel / root,False,"receives the deployment torsion-spring leg; spring bodies (r=8.000, bore r=4.200) already exist at x=-93..-75 and -47..-"
WING_ROOT_INTERFACE,WING_HARNESS_GROMMET,2,1.848,3,CAD volume x density (silicone + Al eyelet),solar wing panel / root,False,routes the panel harness beside the hinge into the EXISTING Harness_Service_Loop (x -110..-90); keeps the service loop o
STOW_SUPPORT,G07_PRIMARY_SUPPORT,1,21.77,3,CAD volume x density (Al 6061-T6),bus deck,False,primary two-point cradle support
STOW_SUPPORT,G07_CONTACT_PAD,2,3.29,3,CAD volume x density (Vespel SP-1),bus deck,False,replaceable contact face; protects the arm finish
STOW_SUPPORT,G07_LOCATING_PIN,2,0.626,3,CAD volume x density (Ti-6Al-4V),bus deck,False,repeatable position on the deck
STOW_SUPPORT,G08_PRIMARY_SUPPORT,1,23.01,3,CAD volume x density (Al 6061-T6),bus deck,False,primary two-point cradle support
STOW_SUPPORT,G08_CONTACT_PAD,2,3.48,3,CAD volume x density (Vespel SP-1),bus deck,False,replaceable contact face; protects the arm finish
STOW_SUPPORT,G08_LOCATING_PIN,2,0.626,3,CAD volume x density (Ti-6Al-4V),bus deck,False,repeatable position on the deck
STOW_SUPPORT,MID_BACKUP_SUPPORT,1,38.47,3,CAD volume x density (Al 6061-T6),bus deck,False,"backup only, no nominal contact force"
STOW_SUPPORT,MID_CONTACT_PAD,1,2.91,3,CAD volume x density (Vespel SP-1),bus deck,False,replaceable contact face; protects the arm finish
STOW_SUPPORT,MID_LOCATING_PIN,2,0.626,3,CAD volume x density (Ti-6Al-4V),bus deck,False,repeatable position on the deck
ARM_HDRM_CAMERA_HARNESS,ARM_HDRM_CUP,1,22.095,3,CAD volume x density (Ti-6Al-4V),bus deck,False,engages the arm restraint boss
ARM_HDRM_CAMERA_HARNESS,ARM_HDRM_ROD,1,18.151,3,CAD volume x density (A286),bus deck,False,"6 mm candidate stroke, hard shoulder"
ARM_HDRM_CAMERA_HARNESS,ARM_HDRM_BASE,1,38.016,3,CAD volume x density (Al 6061-T6),bus deck,False,bolts to the bus deck
ARM_HDRM_CAMERA_HARNESS,ARM_HDRM_SWITCH,2,1.8,4,"nominal class estimate, no part selected",bus deck,False,redundant state sensing
ARM_HDRM_CAMERA_HARNESS,CAMERA_BRACKET,1,26.732,3,CAD volume x density (Al 6061-T6),link6,False,hosts the service camera
ARM_HDRM_CAMERA_HARNESS,SERVICE_CAMERA,1,62.0,4,"nominal class estimate, no part selected",link6,False,"class placeholder, not a selected part"
ARM_HDRM_CAMERA_HARNESS,ARM_HARNESS_BUNDLE,1,125.962,3,CAD volume x density (PTFE/Cu),arm + bus,False,"9 mm bundle, ~900 mm routed length"
ARM_HDRM_CAMERA_HARNESS,HARNESS_CLAMP,5,8.1,3,CAD volume x density (Al + silicone),arm + bus,False,one per clamp point
FASTENERS,"M3x8 socket cap, A286",16,18.4,4,standard fastener mass table,bus deck,False,support and HDRM attachment
FASTENERS,"3 mm dowel pin, Ti",6,1.86,4,standard dowel mass,bus deck,False,support location
