gap_id,subject,current_status,missing_authority,closure_evidence,blocks_gate,owner,priority
LG-001,launcher_or_deployer_selection,HOLD,no selected product or mission interface,approved selection record plus controlled ICD,MECH_Q1;MECH_Q5;MECH_Q8,Systems_Lead,CRITICAL
LG-002,launch_coordinate_system,HOLD,no interface frame or sign convention,launcher/deployer ICD frame definition,MECH_Q1;MECH_Q5,Mechanical_Lead,CRITICAL
LG-003,quasi_static_load_factors,HOLD,no authorized positive and negative axis factors,controlled launch loads document with dispersions,MECH_Q1;MECH_Q5,Loads_Lead,CRITICAL
LG-004,sine_vibration_input,HOLD,no spectrum sweep rate axes or damping,controlled sine specification,MECH_Q1;MECH_Q5;MECH_Q8,Loads_and_Test_Leads,CRITICAL
LG-005,random_vibration_input,HOLD,no PSD overall grms duration or notching,controlled random vibration specification,MECH_Q1;MECH_Q5;MECH_Q8,Loads_and_Test_Leads,CRITICAL
LG-006,acoustic_environment,HOLD,no OASPL band spectrum or duration,controlled acoustic specification or documented N_A tailoring,MECH_Q1;MECH_Q5;MECH_Q8,Loads_and_Test_Leads,HIGH
LG-007,separation_event,HOLD,no separation system impulse SRS stiffness or tipoff,selected separation system ICD and test data,MECH_Q1;MECH_Q6,Mechanism_Lead,CRITICAL
LG-008,hdrm_product_and_release_load,HOLD,functional envelope only,selected hardware data force time SRS friction life and thermal range,MECH_Q1;MECH_Q6,HDRM_Lead,CRITICAL
LG-009,solar_deployment_load,HOLD,no hinge torque friction damping stop stiffness or offload,approved mechanism model plus correlated deployment test,MECH_Q1;MECH_Q6,Solar_Mechanism_Lead,CRITICAL
LG-010,arm_design_trajectory_and_stop,HOLD,research trajectory exists but no approved mechanical envelope,approved joint speed acceleration torque and stop-time envelope,MECH_Q1;MECH_Q5,Robotics_and_Mechanical_Leads,CRITICAL
LG-011,capture_design_envelope,HOLD,rigid dynamics result not contact force-time authority,approved relative state dispersion contact compliance friction and structural load distribution,MECH_Q1;MECH_Q5,Grasp_Dynamics_and_Structures_Leads,CRITICAL
LG-012,gripper_contact_force_and_life,HOLD,URDF effort limit is not hardware authority,actuator data force control tolerance friction lubrication and cycle spectrum,MECH_Q1;MECH_Q6,Gripper_Lead,CRITICAL
LG-013,thermal_environment,HOLD,no mission temperature map gradient or cycles,controlled thermal environment and analysis cases,MECH_Q1;MECH_Q5;MECH_Q8,Thermal_Lead,HIGH
LG-014,boundary_stiffness_and_joint_preload,HOLD,M3R geometry exists but fastener preload and bus stiffness absent,approved joint definition preload range contact and interface stiffness,MECH_Q1;MECH_Q4;MECH_Q5,Joint_and_Structures_Leads,CRITICAL
LG-015,load_combination_factors,HOLD,no project-approved combination and safety-factor policy,approved loads/verification plan and tailoring record,MECH_Q1;MECH_Q5,Chief_Engineer,CRITICAL
LG-016,input_uncertainty_and_tolerance,HOLD,no stated distributions confidence or test input tolerances,source uncertainty budget and decision rules,MECH_Q1;MECH_Q8,Metrology_and_Test_Leads,HIGH
LG-017,material_allowables,HOLD,no approved material cards or temperature-dependent allowables,controlled material/process specifications and allowable basis,MECH_Q4;MECH_Q5,Materials_Lead,CRITICAL
LG-018,system_mass_properties,HOLD,bus solar M3R and configuration inertia authority incomplete,MECH_Q2 released mass property authority,MECH_Q1;MECH_Q2;MECH_Q5,Mass_Properties_Lead,CRITICAL
LG-019,capture_impulse_reproducibility,HOLD,"the sim_06 default mass/inertia input path resolves to a missing repository-root docs path and the solver/input hash chain is not bound","bind a controlled existing input path and issue a clean rerun receipt binding sim_06_capture_impulse.py common/capture_impulse.py common/rigid_body.py mass_inertia_budget_v1.csv and the regenerated matrix; or issue a controlled superseding capture authority",MECH_Q1;MECH_Q5,Grasp_Dynamics_and_Configuration_Management_Leads,CRITICAL
