path,file_count,sei_relevant,relevance_type,recommendation,notes
"F:\Mechanical structure modeling and simulation\Ansys_CAE\Brake Disc",30,false,FEA_template,index_only,"Generic brake-disc FEA example (incl 1.8 GB Brake Disc Analysis1.wbpz at parent level). NON_SEI_GENERAL_CAE_LIBRARY."
"F:\Mechanical structure modeling and simulation\Ansys_CAE\Robot_Humanoid",98,true,FEA_template,index_only,"Humanoid-robot Ansys transient project (9 STEP + csv/log/json/dll solver outputs, 4.0 GB). Method reference for whole-robot transient FEA; not project data."
"F:\Mechanical structure modeling and simulation\Ansys_CAE\Sound Vabration",67,false,none,index_only,"Acoustics/vibration example, 11 GB. NON_SEI_GENERAL_CAE_LIBRARY."
"F:\Mechanical structure modeling and simulation\Ansys_CAE\plane_workbench&Lsdyna&Fluent",263,false,FEA_template,index_only,"Workbench journals (wbjn), LS-DYNA .k, Fluent definitions, 739 MB. Generic solver technique reference. NON_SEI_GENERAL_CAE_LIBRARY."
"F:\Mechanical structure modeling and simulation\Ansys_CAE\vibration_platform_six_DOF",2,false,dynamics,index_only,"6-DOF vibration platform (test equipment), 7.8 MB. Topic-adjacent multibody dynamics, not space robot."
"F:\Mechanical structure modeling and simulation\Ansys_CAE\Brake Disc Analysis1.wbpz",1,false,FEA_template,index_only,"1.8 GB archived Workbench project (pairs with Brake Disc dir)."
"F:\Mechanical structure modeling and simulation\SolidWorks_Design\gearbox",36,false,script,index_only,"18 Python SolidWorks-API automation/probe scripts + 16 SLDPRT, 1.4 MB. Reusable script-driven-CAD TECHNIQUE; content is a gearbox, not SEI. NON_SEI_GENERAL_CAE_LIBRARY."
"F:\Mechanical structure modeling and simulation\train\Robot_day1",74,true,FEA_template,index_only,"Robot Ansys training-day project (4 STEP + csv/logs, 1.5 GB). Method reference."
"F:\Mechanical structure modeling and simulation\train\Robot_day2",37,true,FEA_template,index_only,"Robot Ansys training-day project (2 STEP + csv/logs, 2.5 GB). Method reference."
"F:\Mechanical structure modeling and simulation\train\planetary_gear",14,false,structure,index_only,"Planetary-gear training set, 30 MB. Reducer-adjacent but generic training content."
"F:\Mechanical structure modeling and simulation\25·五爪夹持机构SolidWorks三维建模实战.zip",1,true,structure,index_only,"Five-finger gripper SolidWorks modeling tutorial pack (4.6 MB). Gripper-design knowledge; tutorial, not project asset."
"F:\Mechanical structure modeling and simulation\6自由度机械臂多体动力学.mp4",1,true,dynamics,index_only,"6-DOF arm multibody dynamics video, 13.7 GB. Directly topical (B601 is 6R) but it is a recording - index/pointer only, never copy."
"F:\Mechanical structure modeling and simulation\连杆型灵巧手动力学仿真.mp4",1,true,dynamics,index_only,"Linkage dexterous-hand dynamics simulation video, 15.4 GB. Gripper-relevant method reference."
"F:\Mechanical structure modeling and simulation\智元机器人瞬态分析.mp4",1,true,dynamics,index_only,"Zhiyuan humanoid transient analysis video, 3.0 GB. Pairs with 智元机器人整机.zip."
"F:\Mechanical structure modeling and simulation\智元机器人整机.zip",1,true,structure,index_only,"Whole-humanoid CAD pack, 101 MB (see CAD-D12). License unknown - index only."
"F:\Mechanical structure modeling and simulation\机械手关节瞬态动力学评估.x_t",1,true,FEA_template,copy_to_B,"Arm-joint transient-dynamics evaluation geometry, 8.5 MB (see CAD-D11). OPTIONAL small copy to ROOT B; license unknown."
"F:\Mechanical structure modeling and simulation\机械臂夹爪model.zip",1,true,structure,copy_to_B,"Gripper/manipulator-hand STEP pair, 3.3 MB unpacked (see CAD-D10). OPTIONAL small copy to ROOT B; license unknown."
"F:\Mechanical structure modeling and simulation\drone.x_t",1,false,none,index_only,"Drone geometry, 1.7 MB. NON_SEI."
"F:\Mechanical structure modeling and simulation\drone1.stp",1,false,none,index_only,"Drone geometry, 5.1 MB. NON_SEI."
"F:\Mechanical structure modeling and simulation\低空经济无人机瞬态动力学.mp4",1,false,dynamics,index_only,"Low-altitude-economy drone transient dynamics video, 27.5 GB. NON_SEI."
"F:\Mechanical structure modeling and simulation\pump.x_t",1,false,none,index_only,"Pump geometry, 0.9 MB. NON_SEI."
"F:\Mechanical structure modeling and simulation\柱塞泵示例.mp4",1,false,none,index_only,"Piston-pump example video, 1.8 GB. NON_SEI."
"F:\Mechanical structure modeling and simulation\商业航天动力喷_V2.mp4",1,false,none,index_only,"Commercial-space propulsion nozzle video, 0.8 GB. Space sector but propulsion, not SEI robot."
"F:\Mechanical structure modeling and simulation\商业航天发动机动力学.mp4",1,false,dynamics,index_only,"Commercial-space engine dynamics video, 6.1 GB. Propulsion dynamics; NON_SEI for this project."
"F:\Mechanical structure modeling and simulation\商业航天旋转风管喷嘴-5.x_t",1,false,none,index_only,"Rotating duct nozzle geometry, 1.7 MB. NON_SEI."
"F:\Mechanical structure modeling and simulation\行星系齿轮训练.mp4",1,false,structure,index_only,"Planetary-gear training video, 6.9 GB (pairs with train/planetary_gear). Reducer-adjacent, generic."
"F:\Mechanical structure modeling and simulation\振动平台6自由度.mp4",1,false,dynamics,index_only,"6-DOF vibration platform video, 6.0 GB. Test-equipment dynamics; NON_SEI."
"F:\Mechanical structure modeling and simulation\飞机撞击.mp4",1,false,none,index_only,"Aircraft-impact simulation video, 14.2 GB. NON_SEI."
"F:\Mechanical structure modeling and simulation\屏幕录制 2026-06-29 210929.mp4",1,false,none,exclude,"Unlabeled screen recording, 8.4 GB. Content UNVERIFIED (not played); no metadata. Not worth indexing."
"F:\Mechanical structure modeling and simulation\屏幕录制 2026-06-29 213513.mp4",1,false,none,exclude,"Unlabeled screen recording, 1.1 GB. Content UNVERIFIED. Not worth indexing."
