requirement_id,family,configurations,verification_methods,owner,cdr_baseline_status,m7_design_status,evidence_existing,evidence_m7_contract,retained_hold,flight_credit,prototype_credit,hash_backfill,notes
MSR-GOV-001,GOV,ALL,I|R,SYSTEMS_ENGINEERING_OWNER,CANDIDATE_PASS_DOCUMENT_BOUNDARY,PASS_EVIDENCE,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml | 20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/STANDARDS_TAILORING_MATRIX_V1.csv,NONE,NONE,NO,YES,NOT_APPLICABLE,M7 keeps the same claim boundary; ODR register adds no ECSS/CDR/flight/qualification claim.
MSR-GOV-002,GOV,ALL,I|R,STANDARDS_AND_CONFIGURATION_OWNER,HOLD_CONTROLLED_COPIES_AND_CLAUSE_MAPPING,EXTERNAL_HOLD,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/STANDARDS_SOURCE_LEDGER_V1.csv | 20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/STANDARDS_TAILORING_MATRIX_V1.csv,NONE,AUTHORIZED_CONTROLLED_COPIES + AUTHORIZED_TAILORING_RECORD absent,NO,LIMITED,NOT_APPLICABLE,External controlled standard copies required; no URL-less compliance review possible.
MSR-GOV-003,GOV,ALL,I|R,OWNER,PASS_OWNER_TASK_LIST_REPRODUCED,PASS_EVIDENCE,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml,NONE,NONE,NO,YES,NOT_APPLICABLE,14/14 Owner task IDs reproduced; derived groupings excluded from count.
MSR-GOV-004,GOV,ALL,I|R,CONFIGURATION_MANAGER,HOLD_APPROVED_CONFIGURATION_MANAGEMENT_PLAN,EXTERNAL_HOLD,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/MECHANICAL_VERIFICATION_CONTROL_DOCUMENT_V1.csv | 20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/HOLD_TO_REQUIREMENT_TRACEABILITY_V1.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml (hash discipline precedent),APPROVED_CONFIGURATION_MANAGEMENT_PLAN absent,NO,YES,PENDING_SIBLING_HASH where M7 contract paths are cited,M7 artifacts are hash-pinned via source_register; the owner-approved CM plan remains an external input.
MSR-GOV-005,GOV,ALL,I|R,PRODUCT_ASSURANCE_OWNER,OPEN_HOLDS_TRACED_NOT_CLOSED,PASS_EVIDENCE,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/HOLD_TO_REQUIREMENT_TRACEABILITY_V1.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml,out-of-scope HOLDs remain open and traced in this matrix,NO,LIMITED,PENDING_SIBLING_HASH where M7 contract paths are cited,ODR-01..06 are owner-ruling closure records for in-scope HOLDs only; zero HOLDs closed by document creation alone.
MSR-GOV-006,GOV,ALL,I|R,VERIFICATION_LEAD,CANDIDATE_PASS_WP0_STRUCTURE_ONLY,PASS_EVIDENCE,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/MECHANICAL_VERIFICATION_CONTROL_DOCUMENT_V1.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp9_release_package/VERIFICATION_MATRIX_V1.csv,NONE,NO,YES,PENDING_SIBLING_HASH where M7 contract paths are cited,Method/config/criterion/evidence/owner mapping complete; this matrix carries the M7 extension.
MSR-OPS-001,OPS,LAUNCH_STOWED,A|I|T|R,MECHANICAL_LEAD,HOLD_HISTORICAL_ENVELOPE_EXCEEDANCE_132P72_MM,EXTERNAL_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,NONE,LAUNCHER_ICD_ENVELOPE; LAUNCH_LOADS; OWNER_DISPOSITION_132P72_MM,NO,NO,NOT_APPLICABLE,No launcher ICD; historical 132.72 mm envelope exceedance undispositioned. Gate B scope.
MSR-OPS-002,OPS,SEPARATION,A|I|T|R,SYSTEM_INTERFACE_OWNER,HOLD_UNKNOWN_NO_ICD,EXTERNAL_HOLD,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/HOLD_TO_REQUIREMENT_TRACEABILITY_V1.csv,NONE,SPACECRAFT_LAUNCHER_ICD; SEPARATION_LOADS; RELEASED_BODY_GEOMETRY,NO,NO,NOT_APPLICABLE,No spacecraft-launcher ICD exists.
MSR-OPS-003,OPS,POST_SEPARATION_SAFE,A|D|R,SYSTEMS_ENGINEERING_OWNER,HOLD_REQUIREMENTS_NOT_AUTHORIZED,EXTERNAL_HOLD,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/HOLD_TO_REQUIREMENT_TRACEABILITY_V1.csv,NONE,AUTHORIZED_POST_SEPARATION_SAFE_REQUIREMENTS absent,NO,NO,NOT_APPLICABLE,Owner-authorized state constraints do not exist.
MSR-OPS-004,OPS,SOLAR_ARRAY_DEPLOYMENT|DEPLOYED_NOMINAL,A|T|D|R,MECHANISMS_LEAD,HOLD_MECHANISM_QUALIFICATION,TEST_REQUIRED_HOLD,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/01_wp0_requirements/HOLD_TO_REQUIREMENT_TRACEABILITY_V1.csv,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp5_mechanisms/SOLAR_HINGE_DEPLOYMENT_PACK_V1.yaml PENDING_SIBLING_HASH; 20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp8_thermal/THERMO_ELASTIC_ENVELOPE_V1.csv PENDING_SIBLING_HASH,mechanism qualification test; authorized deployment loads/life/environment,NO,NO,PENDING_SIBLING_HASH where M7 contract paths are cited,M7 WP5 hinge pack + WP8 thermal envelope are design analysis only; deployment qualification test remains.
