source_path,ownership_role,primary_parameters,consumers,revalidation_if_changed
20_engineering/config/geometry/service_spacecraft_v1.yaml,geometry_mass_ssot,"bus mass; whole reference mass; inertia","sim01..sim11;e16","mass closure; affected dynamics Gates; frozen hash checks"
20_engineering/config/geometry/arm_b601_v1.yaml,arm_geometry_mass_ssot,"DOF; arm/gripper mass; URDF pointer","sim05;sim09;sim11;e16","kinematics; dynamics; grasp; source hash checks"
20_engineering/config/geometry/target_models_v1.yaml,target_model_ssot,"target mass; inertia; grasp lever","sim06;sim08;sim10;sim11;sim12;e16","capture impulse; feasibility; strategy and synchronized-capture Gates"
20_engineering/config/geometry/flexible_appendage_v1.yaml,flexible_geometry_ssot,"panel mass; EI/frequency cases; damping","sim07;sim11;e15 interface","mass closure; flexible convergence and cross-model checks"
20_engineering/config/coupled_scene/coupled_model_v0.yaml,sim11_model_config,"modal count; damping; solver tolerances","sim11","G1-G5 under a new immutable result set"
20_engineering/config/coupled_scene/scene_A2_capture.yaml,sim11_scene_config,"target state; contact duration and sweep","sim11","A2 finite-bandwidth convergence; energy; cross-solver Gates"
20_engineering/config/mission_feasibility/scan_v0.yaml,sim10_scan_contract,"scan grid; actuator tiers; rate and resource thresholds","sim10;sim12","sim10 X Gates; feasibility regions; sim12 ledgers"
20_engineering/config/strategy_feasibility/strategies_v0.yaml,sim12_strategy_contract,"task cases; strategies; flex exclusion","sim12","GS1-GS3 and claim audit"
30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,e15_threshold_registry,"geometry; rate; wheel; impulse; propellant; flex thresholds","e15;e16;sim10 cross-reference","coverage/science Gate; inherited-policy hash and no-widening checks"
30_simulation/e15_ancf_certification/config/certification_v1.yaml,e15_ancf_contract,"mesh/time trends; 5 percent candidate cross-solver gate","e15_ancf","full certification Gate; final candidate availability"
