source_id,document_id,title,revision_or_change,document_date,change_or_reconfirmation_date,publisher,document_class,official_url,retrieved_date,official_status,project_controlled_copy_status,copyright_handling,project_role,verification_note
SRC-001,ECSS-S-ST-00C,"Description implementation and general requirements",Rev.2,2025-11-21,,ECSS,STANDARD,https://ecss.nl/standard/ecss-s-st-00c-rev-2-description-implementation-and-general-requirements-21-november-2025/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",TOP_LEVEL_ECSS_SYSTEM_REFERENCE,"Rev.2 states that the tailoring process is extracted to separate ECSS-S-ST-00-02; project-controlled copies of both documents are not yet registered"
SRC-002,ECSS-E-ST-32C,"Structural general requirements",Rev.1,2008-11-15,,ECSS,STANDARD,https://ecss.nl/standard/ecss-e-st-32c-rev-1-structural-general-requirements/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",CANDIDATE_STRUCTURAL_ENGINEERING_BASELINE,"Applicability and clause mapping require authorized project tailoring"
SRC-003,ECSS-E-ST-10-02C,Verification,Rev.1,2018-02-01,,ECSS,STANDARD,https://ecss.nl/standard/ecss-e-st-10-02c-rev-1-verification-1-february-2018/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",VERIFICATION_PROGRAM_REFERENCE,"Used to structure verification methods and VCD only; no compliance claim"
SRC-004,ECSS-E-ST-10-03C,Testing,Rev.1,2022-05-31,,ECSS,STANDARD,https://ecss.nl/standard/ecss-e-st-10-03c-rev-1-testing-31-may-2022/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",TEST_PROGRAM_REFERENCE,"Test levels durations margins model philosophy and facilities remain project inputs"
SRC-005,ECSS-E-ST-33-01C,Mechanisms,Rev.2,2019-03-01,,ECSS,STANDARD,https://ecss.nl/standard/ecss-e-st-33-01c-rev-2-1-march-2019-space-engineering-mechanisms/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",MECHANISM_ENGINEERING_REFERENCE,"Candidate scope includes solar deployment HDRM arm release and gripper mechanisms after tailoring"
SRC-006,ECSS-E-ST-10-06C,"Technical requirements specification",Initial issue,2009-03-06,,ECSS,STANDARD,https://ecss.nl/standard/ecss-e-st-10-06c-technical-requirements-specification/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",REQUIREMENTS_SPECIFICATION_STRUCTURE_REFERENCE,"Used for requirement attributes and traceability structure only"
SRC-007,ECSS-Q-ST-70C,"Materials mechanical parts and processes",Rev.2,2019-10-15,,ECSS,STANDARD,https://ecss.nl/standard/ecss-q-st-70c-rev-2-materials-mechanical-parts-and-processes-15-october-2019/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",MATERIALS_PARTS_PROCESS_REFERENCE,"No material approval allowable or process qualification is inferred"
SRC-008,ECSS-Q-ST-70-01C,"Cleanliness and contamination control",Rev.1,2025-10-15,,ECSS,STANDARD,https://ecss.nl/standard/ecss-q-st-70-01c-cleanliness-and-contamination-control-15-october-2025/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",CLEANLINESS_CONTAMINATION_REFERENCE,"Cleanliness levels and contamination-sensitive items require mission and hardware inputs"
SRC-009,ECSS-Q-ST-70-04C,"Thermal testing for evaluation of space materials processes mechanical parts and assemblies",Initial issue,2008-11-15,,ECSS,STANDARD,https://ecss.nl/standard/ecss-q-st-70-04c-thermal-testing-for-the-evaluation-of-space-materials-processes-mechanical-parts-and-assemblies/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",THERMAL_VACUUM_CYCLING_TEST_REFERENCE,"Use is conditional on authorized tailoring and test specification"
SRC-010,ECSS-Q-ST-30-02C,"Failure modes effects and criticality analysis",Initial issue,2009-03-06,2023-06-14_RECONFIRMED,ECSS,STANDARD,https://ecss.nl/standard/ecss-q-st-30-02c-failure-modes-effects-and-criticality-analysis-fmeafmeca/,2026-08-21,ACTIVE_RECONFIRMED_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",FMEA_FMECA_REFERENCE,"Criticality scheme and analysis depth require authorized project risk policy"
SRC-011,ECSS-Q-ST-10-09C,"Nonconformance control system",Rev.1,2018-03-01,,ECSS,STANDARD,https://ecss.nl/standard/24183/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no clause text copied",NONCONFORMANCE_AND_HOLD_CONTROL_REFERENCE,"Used to structure HOLD closure evidence without asserting formal NCR implementation"
SRC-012,ECSS-E-HB-32-23A,"Threaded fasteners handbook",Rev.1,2023-02-06,,ECSS,HANDBOOK_GUIDANCE_ONLY,https://ecss.nl/home/ecss-e-hb-32-23a-rev-1-threaded-fasteners-handbook-6-february-2023/,2026-08-21,ACTIVE_OFFICIAL_LANDING_PAGE_VERIFIED,MISSING,"Metadata and short scope paraphrase only; no handbook procedure copied",FASTENER_ENGINEERING_GUIDANCE_ONLY,"Not a source of project requirements or automatic acceptance criteria"
SRC-013,ECSS-E-HB-32-26A,"Spacecraft mechanical loads analysis handbook",Initial issue,2013-02-19,"Rev.1 shown as drafting in May 2026",ECSS,HANDBOOK_GUIDANCE_ONLY,https://ecss.nl/hbstms/ecss-e-hb-32-26a-spacecraft-mechanical-loads-analysis-handbook/,2026-08-21,"ACTIVE_ISSUE; REV.1_DRAFTING_STATUS_NOT_ADOPTED",MISSING,"Metadata and short scope paraphrase only; no handbook procedure copied",MECHANICAL_LOADS_GUIDANCE_ONLY,"Rev.1 draft is not used; current published issue remains guidance only"
SRC-014,NASA-STD-5001,"Structural Design and Test Factors of Safety for Spaceflight Hardware",B_WITH_CHANGE_3,2014-08-06,2022-10-24,NASA,INDEPENDENT_CROSS_CHECK_ONLY,https://standards.nasa.gov/standard/nasa/nasa-std-5001,2026-08-21,"ACTIVE; NOT_A_NASA_MANDATORY_STANDARD",MISSING,"Metadata and short scope paraphrase only; no requirement text copied",INDEPENDENT_NON_NORMATIVE_CROSS_CHECK,"Not contractual not NASA-mandatory for this project and cannot set factors without Owner authorization"
