risk_id,source_risk,status,probability,impact,evidence,mitigation,owner,trigger,next_gate
W1-R01,R7_运行时安全决策,OPEN,中,高,"SAFE-00 HMAC测试通过且CP2已记录APPROVED，但只使用明确标注的非生产测试向量，未验证生产密钥生命周期","冻结生产密钥注入、轮换、吊销、时钟和审计合同；执行独立渗透测试",SAFE_owner,"准备把SafetyResponse接入真实执行链","生产密钥资格Gate"
W1-R02,Wave1_governance,CLOSED,低,高,"CP2/CP3已在repeat_preregistration.md（提交3a353a4，本分支5eb418d）独立记录APPROVED，含审查依据与批准人","CP4（Repeat整改批准）由本轮预注册承载；CP5/CP6保持PENDING等PI","PI","CP5合并或CP6终裁前复核记录仍在","CP6_wave1_final_human_decision"
W1-R03,RK4_CTRL01科学失败,PARTIALLY_CLOSED_NEGATIVES_DOCUMENTED,低,中,"实现缺陷全部修复：能量审计7.90e-2→5.63e-12（阈值1e-9未动，integrator-R独立重生成逐位复现）；T3碰撞合同实现后裕度全正。余项A2/D/E/F均机器归因为真实负结果（冻结增益滞后、站位保持前馈假设、越限锚、奇异起点、超速率T3）","负结果按预注册第1条逐字保留入证据链与论文；不再作为缺陷追赶",CTRL01_owner,"任何人试图以调参/换场景/放宽阈值消除负结果","新预注册修订（若PI选择继续Repeat）"
W1-R04,CTRL01_T3合同,CLOSED,低,高,"各方法T2@15 s全状态冻结快照+目标3 deg/s相位连续传播已实现并fail-closed校验；6×501节点静态/目标/组合裕度+0.01462/+0.11476/+0.01462 m全正；v0静态-0.02537 m归因于合同失配设置","保持触发合同与全节点口径",CTRL01_owner,"几何或T2场景变更","硬件几何更新后的重跑Gate"
W1-R05,CTRL01_C3比较器,CLOSED,低,中,"C2_MATCH5已按R-3先于比较预注册并执行；C3隔离效应+1.84e-5%确立为公平比较器下的真实零结果；C1_MATCH5对比降级为上下文","零空间有效性主张永久绑定C2_MATCH5口径",CTRL01_owner,"任何C3有效性新主张","新预注册的C3目标/增益解析重设计"
W1-R06,RK4_CTRL02任务有效性,CLOSED,低,中,"R-4预注册M2内点起点[0,-15,-15,0,0,0]deg实现裕度0.2618 rad（>5×0.05门）；A1两段式任务有效轨迹终点恒等按构造成立；已撤回-5deg探针未复用；诚实负结果（M2上A1劣于A0）保留","保持终点恒等与裕度Gate口径",CTRL02_owner,"Stage-A轨迹变更","硬件参数轮重跑"
W1-R07,CTRL02动态稳定性,PARTIALLY_CLOSED_PROVISIONAL,中,高,"R-5瞬态层已评估：16行全裁决（7稳/9不稳），代数预测与时间推进逐行一致，终端差受脉冲量子3.4e-4 Nms界住；但全部基于PROVISIONAL执行器参数与L1动量级保真度","硬件轮力矩/最小脉宽/稳定窗实测冻结后整层重跑；不得先行外推硬件结论",CTRL02_owner,"硬件执行器参数到位","硬件参数下的GC7重跑"
W1-R08,预注册时序证据,OPEN_IMPROVED,中,中,"本轮预注册提交3a353a4独立先于两模块整改执行提交（较v0改进）；但R-5稳定窗数值与结果仍同提交落盘，模块内仍为PROCEDURAL_ONLY","下一循环先单独提交全部数值判据再运行；由仓库历史独立证明时序",PI,"创建任何新Repeat分支","预注册提交SHA早于全部结果文件"
W1-R09,RK1_RK2_PROVISIONAL,EXTERNAL_INPUT_PENDING,高,高,"帆板参数与接触时间仍为PROVISIONAL；CTRL-01帆板反馈与CTRL-02组合惯量结论均不能外推硬件绝对性能","杨恒参数卡与B601实测到位后按registry v2整组替换，重跑退化链和全部控制Gate",panel_param_owner,"真实帆板参数或T_c到位","sim_11及下游CTRL全部重新通过"
W1-R10,RK3审查覆盖,CLOSED,低,高,"integrator-R三视角（physics/control/implementation）复审两CTRL模块+SAFE-00不变字节携带前轮审查，9/9单元完成，coverage_ratio=1.0；新增发现W1-R12/W1-R13已登记","下一循环继续保存planned/completed/missing/coverage四字段",PI,"任何reviewer失败或缺席","coverage_ratio=1.0且missing_reviews为空"
W1-R11,Windows换行与证据哈希,MITIGATED_RECURRED_ONCE,中,中,"core.autocrlf在CTRL-02恢复轮被置false后，本工作树sim_10冻结原始哈希（锚定CRLF字节）出现校验漂移；集成复跑经冻结字节恢复后6/6 PASS；CTRL-02 Gate因用normalized-LF哈希不受影响","科学Gate一律用规范化语义/LF哈希+raw哈希双记录；复跑前先按冻结哈希恢复字节；autocrlf变更须登记",integrator,"跨工作树复跑或core.autocrlf变化","manifest自洽检查PASS"
W1-R12,CTRL02跨层执行器参数一致性,OPEN_NEW,高,中,"Stage-A A2理想协调隐含轮力矩峰值0.033 N·m(M1)/0.021 N·m(M2)，超过R-5 PROVISIONAL轮力矩0.01 N·m达3.3×/2.1×；A2'峰值降为零'仅在无轮力矩限的动量级模型成立（integrator-R从stage_a_timeseries.csv数值复核确认）","在claim矩阵限定A2主张为momentum-level ideal；硬件力矩冻结后在同一限值下重评Stage-A A2",CTRL02_owner,"硬件轮力矩参数到位或任何A2性能外推主张","统一力矩限下的Stage-A重评Gate"
W1-R13,CTRL02脉冲量子敏感性,OPEN_NEW,中,中,"GC7最坏实现残差0.0108 dps（A_low B2）为0.05 dps稳定门槛的21.5%；若硬件脉冲量子较PROVISIONAL 3.4e-4 Nms增大约4.6×，推力器收尾行的稳定裁决将翻转；模块已在quantization_note诚实披露","稳定表7/16结论标注为PROVISIONAL量子下有效；硬件脉宽/推力实测后重出全表",CTRL02_owner,"硬件推力器参数到位","硬件量子下的稳定表重跑"
