verification_id,mechanism,verification_objective,method,required_input_or_condition,measurand,unit,measurement_structure,output_schema_json,acceptance_value,standard_uncertainty,distribution,degrees_of_freedom,status,release_effect
MVR-001,GRIPPER_R1,Confirm controlled rail-palm physical clearance across stroke,Dimensional inspection plus physical stroke sweep,Released drawings and datum scheme,minimum_guarded_clearance,mm,SCALAR,"[{""name"":""minimum_guarded_clearance"",""unit"":""mm""}]",,,,,HOLD,GRIPPER_PROTOTYPE_RELEASE
MVR-002,GRIPPER_R1,Confirm actuator force-speed envelope,Bench force-speed test,Selected actuator transmission controller supply and temperature states,jaw_force_and_speed,,MULTI_OUTPUT,"[{""name"":""jaw_force"",""unit"":""N""},{""name"":""jaw_speed"",""unit"":""mm/s""}]",,,,,HOLD,CONTACT_AND_RETENTION_MODEL
MVR-003,GRIPPER_R1,Confirm power-off retention and safe release,Fault-injection bench test,Approved fault philosophy and target surrogate,holding_force_and_release_state,,MULTI_OUTPUT,"[{""name"":""holding_force"",""unit"":""N""},{""name"":""release_state"",""unit"":null,""kind"":""categorical""}]",,,,,HOLD,GRIPPER_SAFETY
MVR-004,GRIPPER_R1,Confirm target contact friction and surface compatibility,Representative material-finish-vacuum contact test,Selected target and gripper contact pair,static_and_kinetic_friction,,MULTI_OUTPUT,"[{""name"":""static_friction_coefficient"",""unit"":""1""},{""name"":""kinetic_friction_coefficient"",""unit"":""1""}]",,,,,HOLD,CLAMP_FORCE_REQUIREMENT
MVR-005,GRIPPER_R1,Confirm contact pressure and damage limit,Instrumented contact coupon and target-surrogate test,Approved damage criterion and surfaces,contact_pressure,MPa,SCALAR,"[{""name"":""contact_pressure"",""unit"":""MPa""}]",,,,,HOLD,CONTACT_ANALYSIS
MVR-006,GRIPPER_R1,Confirm wear debris and cycle life,Environmental life-cycle test,Approved cycle count temperature vacuum and contamination limits,wear_clearance_and_debris,,MULTI_OUTPUT,"[{""name"":""wear_clearance"",""unit"":""mm""},{""name"":""debris_mass"",""unit"":""kg""}]",,,,,HOLD,GRIPPER_LIFE
MVR-007,SOLAR_HINGE_LEFT,Confirm deployment torque time angle and repeatability,Instrumented deployment test,Selected hinge drive stop harness and environment,torque_time_angle,,MULTI_OUTPUT,"[{""name"":""deployment_torque"",""unit"":""N*m""},{""name"":""deployment_time"",""unit"":""s""},{""name"":""deployment_angle"",""unit"":""rad""}]",,,,,HOLD,LEFT_PANEL_DEPLOYMENT
MVR-008,SOLAR_HINGE_RIGHT,Confirm deployment torque time angle and repeatability,Instrumented deployment test,Selected hinge drive stop harness and environment,torque_time_angle,,MULTI_OUTPUT,"[{""name"":""deployment_torque"",""unit"":""N*m""},{""name"":""deployment_time"",""unit"":""s""},{""name"":""deployment_angle"",""unit"":""rad""}]",,,,,HOLD,RIGHT_PANEL_DEPLOYMENT
MVR-009,SOLAR_HINGE_LEFT,Confirm freeplay wear and stop geometry,Dimensional inspection before and after life test,Released hinge drawings and cycle requirement,radial_axial_freeplay_and_stop_angle,,MULTI_OUTPUT,"[{""name"":""radial_freeplay"",""unit"":""mm""},{""name"":""axial_freeplay"",""unit"":""mm""},{""name"":""stop_angle"",""unit"":""rad""}]",,,,,HOLD,LEFT_HINGE_TOLERANCE
MVR-010,SOLAR_HINGE_RIGHT,Confirm freeplay wear and stop geometry,Dimensional inspection before and after life test,Released hinge drawings and cycle requirement,radial_axial_freeplay_and_stop_angle,,MULTI_OUTPUT,"[{""name"":""radial_freeplay"",""unit"":""mm""},{""name"":""axial_freeplay"",""unit"":""mm""},{""name"":""stop_angle"",""unit"":""rad""}]",,,,,HOLD,RIGHT_HINGE_TOLERANCE
MVR-011,SOLAR_HINGE_PAIR,Confirm nominal and failure-state sweep clearance,Controlled digital and physical sweep,Accepted panel transforms failed-state semantics and harness envelope,minimum_clearance,mm,SCALAR,"[{""name"":""minimum_clearance"",""unit"":""mm""}]",,,,,HOLD,NINE_CONFIGURATION_COLLISION
MVR-012,ARM_HDRM,Confirm restraint fit preload stiffness and slip,Dimensional inspection plus static load test,Selected HDRM architecture and authorized loads,preload_stiffness_slip,,MULTI_OUTPUT,"[{""name"":""preload"",""unit"":""N""},{""name"":""restraint_stiffness"",""unit"":""N/mm""},{""name"":""slip"",""unit"":""mm""}]",,,,,HOLD,HDRM_PROTOTYPE_RELEASE
MVR-013,ARM_HDRM,Confirm ambient release time and clearance,Instrumented functional release test,Approved command and released-clearance requirement,release_time_and_clearance,,MULTI_OUTPUT,"[{""name"":""release_time"",""unit"":""s""},{""name"":""released_clearance"",""unit"":""mm""}]",,,,,HOLD,HDRM_FUNCTION
MVR-014,ARM_HDRM,Confirm release at temperature and vacuum extrema,Thermal-vacuum functional test,Approved environment and architecture,release_time_and_state,,MULTI_OUTPUT,"[{""name"":""release_time"",""unit"":""s""},{""name"":""release_state"",""unit"":null,""kind"":""categorical""}]",,,,,HOLD,HDRM_ENVIRONMENT
MVR-015,ARM_HDRM,Confirm environmental survival then release,Vibration or shock exposure plus functional test,Authorized spectra and combinations,post_environment_release_state,,CATEGORICAL,"[{""name"":""post_environment_release_state"",""unit"":null,""kind"":""categorical""}]",,,,,HOLD,HDRM_SURVIVAL
MVR-016,ARM_HDRM,Confirm release shock and debris,Instrumented release shock and contamination test,Approved limits and sensor bandwidth,shock_and_debris,,MULTI_OUTPUT,"[{""name"":""release_shock_acceleration"",""unit"":""m/s^2""},{""name"":""debris_mass"",""unit"":""kg""}]",,,,,HOLD,SENSITIVE_EQUIPMENT_COMPATIBILITY
MVR-017,ARM_HDRM,Confirm single-fault safe behavior,Fault-tree verification and fault injection,Approved safety requirements,safe_state_coverage,,SEMANTICS_TBD,"[{""name"":""safe_state_coverage"",""unit"":null,""kind"":""requirement_semantics_TBD""}]",,,,,HOLD,HDRM_SAFETY
MVR-018,M3R_CLOCKING_LOCATOR,Confirm locator fit and repeatable clocking,CMM plus repeated assembly fitup,Selected locator geometry material and fit,fit_and_clocking,,MULTI_OUTPUT,"[{""name"":""fit_clearance_or_interference"",""unit"":""mm""},{""name"":""clocking_error"",""unit"":""rad""}]",,,,,HOLD,M3R_INTERFACE_RELEASE
MVR-019,TARGET_CAPTURE_INTERFACE,Confirm retained transform and slip margin,Dynamic or quasi-static target-surrogate capture test,Approved target geometry surface load and grasp state,retained_transform_and_slip,,MULTI_OUTPUT,"[{""name"":""retained_translation"",""unit"":""m""},{""name"":""retained_rotation"",""unit"":""rad""},{""name"":""slip_translation"",""unit"":""m""}]",,,,,HOLD,CAPTURE_DYNAMICS
