role,manufacturer,MPN,quantity,status,source
battery,RRC,RRC3570-4,1,SELECTED_CANDIDATE,rrc3570_4.pdf
"proposed charger only, not connected",RRC,RRC-PMM35,1,PARALLEL_LOAD_INTERFACE_UNCONFIRMED,pmm35.pdf
single isolated converter,Cincon,CHB500W-24S24N,1,SELECTED_CANDIDATE,cincon_chb500w.pdf
local thermal carrier,PROJECT,WP10_MONOLITHIC_BOTTOM_PEDESTAL_DUAL_COLD_FINGERS_6061,1,CURRENT_SOURCE_GEOMETRY__NO_MANUFACTURING_RELEASE,mechanical/bottom_radiator.step.py;thermal/BOTTOM_RADIATOR_MOUNT.json
TIM201: converter thermal interface,Henkel stock / project cut,BERGQUIST SIL PAD TSP1800ST 0.203mm nominal; project cut55.9x59mm,1,CURRENT_GEOMETRY_INSTALLED__PRELOAD_COMPRESSION_UNVERIFIED,thermal/COLD_TIM_INTERFACE_CONTRACT.json;mechanical/chb_bottom_tim.step.py;sources/COLD_TIM_SELECTION.json
mechanical cold-finger wall TIMs; no electrical ref,Henkel stock / project cut,BERGQUIST SIL PAD TSP1800ST 0.203mm nominal; project cut58x24mm,2,CURRENT_GEOMETRY_INSTALLED__PRELOAD_COMPRESSION_UNVERIFIED,thermal/COLD_TIM_INTERFACE_CONTRACT.json;mechanical/cold_finger_tim.step.py
J200: Project adapter pads; not OEM pin numbers,see source,PROJECT_BATTERY_ADAPTER_OUTPUT,1,OEM_SIDE_UNBOUND,rrc3570_4.pdf D; mc35.pdf body RevB; OEM cavity and Sys Detect UNBOUND
F201: 30A backup fuse; L/R and clearing coordination OPEN,Eaton,1025HC30-RTR,1,SELECTED_CANDIDATE_COORDINATION_OPEN,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-1025hc-surface-mount-ceramic-tube-fuses-data-sheet.pdf June2025 p2
"F202: Independent STOP supply 6A slow fuse; inrush, wire and upstream protection coordination OPEN",Eaton,MDA-V-6-R,1,SELECTED_CANDIDATE_COORDINATION_OPEN,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-mda-time-delay-ceramic-tube-fuses-data-sheet.pdf November2025 pp1-6
"U201: Latched hot swap, not auto-retry",Texas Instruments,LM5069MM-1,1,SELECTED_FOOTPRINT_CANDIDATE_QUALIFICATION_OPEN,"https://www.ti.com/lit/ds/symlink/lm5069.pdf; RevG DGS0010A pp3,36-37"
Q201: Linear-SOA candidate replacing low-Rds-only selection,Littelfuse IXYS,IXTH75N10L2,1,ADVANCE_DATASHEET_GEOMETRY_CANDIDATE_SOA_THERMAL_OPEN,https://www.littelfuse.com/assetdocs/Littelfuse-Discrete-MOSFETs-N-Channel-Linear-IXT-75N10-Datasheet.PDF?assetguid=EA051E16-AAA9-4983-A975-8D0C07325D72; DS100200(9/09) Advance p2
"R201: 2mOhm main sense, PCB Kelvin taps required",Vishay,WSLP27262L000FEA,1,SELECTED_FOOTPRINT_CANDIDATE_QUALIFICATION_OPEN,https://www.vishay.com/docs/30179/wslp2726.pdf; 30179 Rev29-Jun-2026 p2
"R202: 0.2mOhm series sense, PCB Kelvin taps required",Vishay,WSLP2726L2000FEA,1,SELECTED_FOOTPRINT_CANDIDATE_QUALIFICATION_OPEN,https://www.vishay.com/docs/30179/wslp2726.pdf; 30179 Rev29-Jun-2026 p2
R203: UVLO upper,Vishay,TNPW060347K5BEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R204: UVLO lower,Vishay,TNPW06035K90BEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R205: OVLO upper,Vishay,TNPW0603120KBEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R206: OVLO lower,Vishay,TNPW060310K0BEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
R207: Power limit,Vishay,TNPW060330K1BEEA,1,SELECTED_CANDIDATE_THERMAL_LIFE_AND_LAYOUT_OPEN,https://www.vishay.com/docs/28758/tnpw_e3.pdf; 28758 Rev10-Apr-2026
C201: Fault timer,WIMA,MKP2C041001N00JSSD,1,SELECTED_CANDIDATE_EFFECTIVE_C_LEAKAGE_AND_MOUNT_OPEN,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf; 03.26
C202: Input bypass,WIMA,MKP2D031001F00JSSD,1,SELECTED_CANDIDATE_EFFECTIVE_C_IMPEDANCE_LAYOUT_OPEN,https://www.wima.de/wp-content/uploads/media/e_WIMA_MKP_2.pdf; 03.26
C203: 2200uF 100V polarized; pad1+ pad2-; ripple/temp OPEN,Nippon Chemi-Con,ELXG101VSN222MR50S,1,SELECTED_CANDIDATE_ENVIRONMENT_OPEN,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=ELXG101VSN222MR50S
