category,path_pattern,reason
git-metadata,.git/,immutable history + index; never batch-delete
git-metadata,.gitattributes,content filter/line-ending contract
git-metadata,.gitignore,tracked; repository contract
protected.worktree,F:/codex-worktrees/**,git worktrees (14); tool-managed; retirement needs worktree retirement gate
protected.worktree,F:/kb-worktrees/**,kb worktree (prunable flag); tool-managed
protected.mech,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/**,R2 release authority; 00_RELEASE_GATE = current_fail_no_credit; TMG4 HOLD; G12 FAIL
protected.mech,20_engineering/F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806/**,F3R1 salvage lineage; KEEP_UNTIL_F3R2
protected.mech,20_engineering/F3R2_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/**,F3R2 current design closure lineage
protected.mech,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/**,terminal closure history
protected.mech,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/**,CDR qualification closure
protected.mech,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/**,V5R rapid closure
protected.mech,20_engineering/cad/spacecraft_layout/arm_b601_v1/**,B601 arm CAD authority
protected.config,20_engineering/config/**,parameter cards SSOT
protected.config,20_engineering/parameter_registry/**,registry bound thresholds
protected.sim,30_simulation/common/**,shared simulation utilities
protected.sim,30_simulation/sim_05_free_floating_arm/**,19.20 deg evidence gate
protected.sim,30_simulation/sim_06_capture_impulse/**,3.0633 deg/s anchor
protected.sim,30_simulation/sim_10_mission_feasibility/**,SIM10_GATES_PASS
protected.sim,30_simulation/sim_11_coupled_dynamics/**,SIM11_GATES_PASS_WITH_PROVISIONAL_PARAMS
protected.sim,30_simulation/sim_12_strategy_feasibility/**,SIM12_PHASE1_GATES_PASS
protected.sim,30_simulation/sim_13_physics_gated_embodied_grasping/**,embodied chain; 15/20 holds
protected.sim,30_simulation/e23_r2_full_flex_coupled_recert/**,E23 18/18 recert
protected.sim,30_simulation/control_01_end_effector_tracking/**,CTRL-01 negative result
protected.sim,30_simulation/control_02_base_attitude/**,CTRL-02 provisional scope
protected.sim,30_simulation/safety_00_runtime_gate/**,SAFE-00 47/47 pending review
protected.competition,10_research/competition_convergence/**,COMPETITION_DEMO_READY 17/17 chain
protected.competition,40_evidence/artifacts/competition_convergence/**,demo mp4/pptx/replay media
protected.paper,10_research/paper1_architecture.md,Paper 1 architecture ACTIVE
protected.paper,50_literature/**,manifest + pdf + cards (REORG01R_COMPLETE)
protected.governance,01_project/PL1_MAINLINE_20260808/**,"PL1 Phase0-3 frozen records (untracked on disk, registry source of truth)"
protected.agents,".codex/**, .claude/**",agent definitions and work orders
protected.r2authority,"01_project/competition/CURRENT_R2_*.json,*.md,*.csv",current R2 append-only authority chain (08-23..08-28)
