schema,FASTENER_SCHEDULE_V1
generated_local,2026-08-22T01:29:31+08:00
item_id,joint_or_location,fastener_spec,thread_class,material_candidate,material_candidate_status,quantity,role,length_candidate_mm,notes,status
FST-001,B601_TO_STAGE_A_4XM4_HM4_75_64MM (ARM_BASE_INTERFACE),"M4x0.7 socket head cap screw, replaces/replicates as-built HM4-75 axes",M4_CLASS,A286_AMS5737_CANDIDATE (alternate CRES_304_F593_CW_HOLD),PROTOTYPE_CANDIDATE_NOT_SELECTED_FLIGHT_ALLOWABLES_HOLD,4,PRIMARY_ARM_BASE_JOINT,12.0,"length candidate = grip 6.0mm flange + 6.0mm engagement, pending WP1; as-built HM4-75 reuse prohibited as design authority (material unknown)",CANDIDATE_DESIGN_ANALYSIS_NOT_QUALIFICATION
FST-002,STAGE_A_TO_B_8XM5_R62P5MM (M3R interstage),M5x0.8 socket head cap screw,M5_CLASS,A286_AMS5737_CANDIDATE,PROTOTYPE_CANDIDATE_NOT_SELECTED_FLIGHT_ALLOWABLES_HOLD,8,M3R_INTERSTAGE_JOINT,16.0,through Stage B clearance 5.5mm into Stage A wire-thread-insert candidate (L_e=7.5mm=1.5d) or direct tap alternate (L_e=10mm=2d),CANDIDATE_DESIGN_ANALYSIS_NOT_QUALIFICATION
FST-003,STAGE_B_TO_SPACECRAFT_4XM6_140MM (Stage B to load bridge),M6x1.0 hex head bolt + self-locking nut + washers (through-bolt),M6_CLASS,A286_AMS5737_CANDIDATE bolt and nut class,PROTOTYPE_CANDIDATE_NOT_SELECTED_FLIGHT_ALLOWABLES_HOLD,4,LOAD_BRIDGE_JOINT,25.0,through Stage B flange + bridge plate 10.75mm 6061-T6 candidate; bus side of bridge = HOLD (BC-BUS-001),CANDIDATE_DESIGN_ANALYSIS_NOT_QUALIFICATION
FST-004,LOAD_BRIDGE_TO_BUS_PRIMARY_STRUCTURE,UNKNOWN,,,NO_AUTHORITY,,BUS_ATTACHMENT,,"bus-side hole pattern, interface stiffness and structure unknown (BC-BUS-001 HOLD); pending WP1 PRODUCT_STRUCTURE",HOLD_NO_BUS_SIDE_AUTHORITY
FST-005,SOLAR_HINGE_LEFT/RIGHT_ROOT,TBD (hinge pin/bolt set),,,NO_HARDWARE_SELECTION,,HINGE_JOINT,,hinge stiffness/damping/torque authority absent (BC-SOLAR-L/R-001 HOLD); pending WP5,HOLD_NO_HINGE_HARDWARE_AUTHORITY
FST-006,HDRM_ARM_HOLD_DOWN,TBD (release device fastening),,,NO_HARDWARE_SELECTION,,HDRM_JOINT,,functional envelope only: 6mm stroke / 50N preload candidates (PROVISIONAL); pending WP5 hardware pack,HOLD_FUNCTIONAL_ENVELOPE_ONLY
FST-007,GRIPPER_R1_PALM_AND_FINGER_HARDWARE,TBD (pins/screws),,,NO_HARDWARE_SELECTION,,GRIPPER_JOINT,,contact force/friction/actuator authority absent (LC-016 HOLD); pending WP5,HOLD_NO_GRIPPER_HARDWARE_AUTHORITY
FST-008,SENSOR_PACKAGE_CAMERA_BRACKET,TBD,,,NO_AUTHORIZED_POSE,,BRACKET_JOINT,,sensor package pose not authorized (BOM DP-010 HARD_HOLD); bracket candidates pending WP1,HOLD_NO_AUTHORIZED_MOUNT_POSE
FST-009,M3R_INTERSTAGE_CLOCKING_DOWEL,"dowel pin 4.0mm class (locator, not a fastener)",DOWEL_4MM,TBD,CANDIDATE_FEATURE_ONLY,1,ANTI_MISASSEMBLY_LOCATOR,5.5,Stage A hole 4.1 / Stage B blind 4.0 depth 5.5 candidate; fit/material TBD (WP3/WP9),CANDIDATE_NOT_PROMOTED_FIT_HOLD

source_register_id,path,sha256,,,,,,,,
M7_ODR,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml,f5b1572c0cfcec35c40f262a3d7386afa91dec09da94fe31fd03f5c04956f8b6,,,,,,,,
