title,authors,year,venue,problem,method,limitation,url,cluster
Attitude Takeover Control of Combined Spacecraft with Actuator Saturation Using Prescribed Performance and Time-Delay Estimation,"Y. Lee et al. (H. Bang组, KAIST)",2026,International Journal of Aeronautical and Space Sciences（IF约1.6，估计）,组合体惯量/质心未知+外扰+执行器饱和下的接管姿态控制,预设性能控制(PPC)+时延估计(TDE)补偿集总不确定性，饱和函数+抗饱和(anti-windup)补偿器显式处理执行器饱和,饱和是控制器鲁棒性问题而非任务可行性判据；假设刚体、需标称惯量；不回溯影响捕获决策,https://doi.org/10.1007/s42405-026-01150-6,捕获后稳定 / 消旋 / 动量管理（post-capture
Detumbling strategy for space robots post-capture of non-cooperative targets with inertia uncertainties via reinforcement learning,Zhicai Dong et al.,2026,"Acta Astronautica (IF约3.5, 估计)",捕获后目标惯量不确定时的空间机器人消旋，RL在消旋任务中探索困难,提出自适应加速度调节消旋算法AARD：通过加速度调节间接探索最优轨迹，按捕获点速度动态调整动作空间下界实现warm-start，不依赖目标翻滚动力学模型，对不同惯量/转速免再训练,"用加速度调节绕开动力学模型而非给出物理判据——无消旋预算/执行机构容量的可行性边界，无法回答""何种μ与角动量下任务根本不可行""；未与解析冲量模型或可稳定裕度指标耦合",https://www.sciencedirect.com/science/article/abs/pii/S0094576526002560,学习型/具身智能空间机器人
Learning Smooth and Robust Space Robotic Manipulation of Dynamic Target via Inter-frame Correlation,Siyi Lang et al.（西北工业大学黄攀峰团队）,2026,"arXiv:2603.27537 (cs.RO, 2026-03提交)",微重力下对自由漂浮非合作动态目标的操作，传统规划控制在未知非结构环境中实时性不足,数据驱动操作方法：利用历史帧-当前帧的帧间相关性生成对运动目标的平滑操作轨迹；PIPER X机械臂+双轴线性台的二维微重力地面平台验证,二维平面地面模拟而非全三维空间；端到端学习不含动量/冲量物理量；无可行性判据,https://arxiv.org/abs/2603.27537,学习型/具身智能空间机器人（RL捕获-消旋、LLM/VLM空
Meta-Reinforcement Learning for Robust and Non-greedy Control Barrier Functions in Spacecraft Proximity Operations,"Minduli C. Wijayatunga, Richard Linares & Roberto Armellin",2026,arXiv preprint,输入受限CBF在航天器接近操作中过保守、对不确定性鲁棒性差、燃耗高,meta-RL在隐藏物理参数分布上训练生成ICCBF参数的策略，微分代数高效计算控制裕度，巡检与对接场景验证安全性与燃耗改善,面向平动接近/对接，不含机械臂接触捕获；安全边界仍是CBF形式而非任务级可行域（质量比/角动量/执行机构容量）；学习到的参数缺可解释物理意义,https://arxiv.org/abs/2602.07335,学习型/具身智能空间机器人
Soft capture of rotating debris with free-floating space robot,"Run Li et al. (Yuan, Liu, Hu, Cao)",2026,"Aerospace Science and Technology (IF约5.5, 估计)",自由漂浮空间机器人对旋转碎片的低冲击软捕获,两阶段框架：速度级路径无关优化求最短接近时间与最优泊位+jerk级跟踪优化生成有界加速度关节轨迹（同步跟踪降低接触应力），QP实时求解；亚毫米末端精度、基座姿态扰动<1.5°,'软'靠同步跟踪把相对速度做小来实现，隐含假设执行器容量足以完成同步——正是本项目量化为不可行的参数区间；不给出何时同步不可行的边界,https://doi.org/10.1016/j.ast.2026.111955,捕获冲量与自由漂浮机械臂动力学
SpaceMind: A Modular and Self-Evolving Embodied Vision-Language Agent Framework for Autonomous On-orbit Servicing,Aodi Wu et al.,2026,arXiv preprint (cs.RO),在轨服务中VLM agent如何自主完成交会、搜索接近与近距巡检任务,模块化技能组件+MCP工具集成（感知/控制/知识/代码执行四类工具）+从运行经验自学习的自进化机制；UE5-AirSim仿真5种卫星模型+myAGV Pro实物小车与1m卫星模型验证,工具集不含任何动力学/物理计算工具（无动量、接触、捕获可行性求解器）；UE5仿真不含轨道动力学约束；任务止于~2m接近与巡检，未触及捕获/消旋；实物仅18次运行，统计效力不足；VLM三维空间理解有限,https://arxiv.org/abs/2604.14399,学习型/具身智能空间机器人
Advancing Active Debris Removal: Achievements and Prospects in the Commercial Removal of Debris Demonstration Project,T. Yamamoto et al. (JAXA CRD2),2025,"9th European Conference on Space Debris (ESA SDC9), Bonn",JAXA CRD2项目(ADRAS-J Phase I巡检 / Phase II捕获拖曳)的成果与规划,飞行实证：ADRAS-J对H-2A上面级完成angles-only导航交会、50m内定点与绕飞观测、15m最近逼近，获取翻滚姿态与表面状态表征,"Phase I止于观测表征；捕获(Phase II, ADRAS-J2)的可行性判据未公开量化——全球仍无翻滚非合作目标机械臂捕获飞行数据",https://conference.sdo.esoc.esa.int/proceedings/sdc9/paper/121,非合作在轨服务任务与制导
"Close-Proximity Operations Design, Analysis, and Validation for Non-Cooperative Targets with an Application to the ClearSpace-1 Mission","J. Vasconcelos et al. (S. Gaggi, T. Amaral, A. Cotuna, ESA/ClearSpace)",2025,"Aerospace (MDPI) (IF~2.3, 估计), 12(1):67",非合作目标近距操作的安全设计：keep-out zone、逼近走廊、GO/NO-GO准则如何定义与验证,被动安全轨迹设计+主动安全策略+GO/NO-GO判据体系，支持对翻滚目标全姿态巡检，应用于ClearSpace-1,GO/NO-GO对象是轨迹碰撞安全而非捕获后可稳定性；VESPA被撞翻滚加剧后任务直接换目标(PROBA-1)，暴露翻滚可行性评估缺位,https://www.mdpi.com/2226-4310/12/1/67,非合作在轨服务任务与制导
Data-Driven Event-Triggered Predictive Post-Impact Control of Space Robot with Uncertainties,"S. Chaudhary et al. (Dubey, Tripathy, Shah)",2025,"Journal of Guidance, Control, and Dynamics (IF约2.6, 估计)",参数摄动/关节摩擦/扰动等不确定性下多臂空间机器人的后冲击控制,高斯过程学习不确定性残差+MPC滚动优化，Chernoff界事件触发降低GP-MPC计算量,不确定性被当作黑箱残差学习，未结构化分解为Steiner/质心迁移/r×mv等物理项；属事后补偿而非事前fail-closed判定,https://doi.org/10.2514/1.G008115,捕获冲量与自由漂浮机械臂动力学
Emerging strategies in close proximity operations for space debris removal: A review,M. Arshad et al. (与M.C.F. Bazzocchi),2025,"Acta Astronautica (IF≈3.5, 估计)",碎片移除近距离操作（接近、消旋、捕获手段）新策略综述,系统梳理刚性臂/软体抓手/绳网/非接触（电磁、离子束）等捕获与消旋路线，汇总实测目标自旋数据（如BREEZE-M R/B达409.6°/s、INTELSAT 4-F7达139.1°/s）,综述层面确认'先消旋到低速再捕获'是主流共识，但对'给定服务星容量哪些目标可行'没有任何方法学章节可引——侧面证明任务级动力学可行性分析在综述文献中尚无成型板块,https://www.sciencedirect.com/science/article/pii/S0094576524007665,非合作在轨服务任务与制导（任务级可行性、ADR任务设计中的质
