domain,item,current_status,verdict,authority_path,json_key_or_row_locator,sha256,last_verified,what_it_proves,what_it_does_not_prove,open_blocker,blocker_owner,internally_closable,external_input_required,competition_relevance,claim_ceiling,next_minimum_action
compdeliv,adversarial_review_archive,LIMITED,ROOT_08_REVIEWS_EMPTY__RED_TEAM_INSIDE_GATE_ONLY,08_REVIEWS/,目录为空(ls 无条目); 红队结果在 competition_gate_check.json COMPETITION_TESTS_AND_RED_TEAM red_team=15/15,NA,2026-08-27,根级独立对抗审查目录无任何文件；比赛链红队 15/15 机器 PASS 记录存在,不证明无其他红队材料(framework_convergence/red_team_science.md 等存在),B-CD10,Owner,true,false,答辩时可引用红队机器记录；独立复审档案缺失,red-team machine record only,决定是否需要独立人工对抗审查归档
compdeliv,archived_format_description_20260715,SUPERSEDED,ARCHIVED_DOC_NOT_CURRENT_AUTHORITY_PER_AGENTS_MD_LINE14,01_project/competition/archive/项目现状总览_20260715.md,line 11: 作品提交硬截止2026-09-01 初赛纯网评(报告书+附件) 决赛现场答辩+可选实物,e65cf431ba0024bbb10ff4a75ab686452173dadfbdb6dc424a42c238dec0436b,2026-08-27,仓内唯一比赛格式自然语言描述的存在性与原文位置,不证明该描述对 2026 第十二届正式有效(归档文件禁作现行依据),B-CD01,Owner,false,true,仅作背景线索，禁止静默当作正式规则,ARCHIVED_BACKGROUND_ONLY,若 Owner 确认仍有效则升级到正式引用并标注来源
compdeliv,artifact_photos,UNKNOWN,NOT_FOUND_IN_REPO,NONE,文件名搜索 照片/作品照片 零命中; gate hardware_component_status B601_MOTION=PROHIBITED,NA,2026-08-27,无作品照片资产；实物硬件动作被禁止,不证明官方要求实物照片(要求 UNKNOWN),B-CD06,Owner,false,true,若要求实物照片则需外部硬件流程,UNKNOWN,官方要求确认+Owner 决定是否触碰硬件
compdeliv,claim_evidence_ledger_population,LIMITED,HEADER_ONLY_ZERO_DATA_ROWS,10_research/knowledge_base/papers/claim_evidence_ledger.csv,file=185B header only; controller_state.yaml counts.claim_evidence_rows=0,1cff4ab952b75e4ea4679d3947bc630c2eb2afe00932ce389a89a4e128f9e297,2026-08-27,论文级 claim-evidence 账本为空,不证明比赛 claim matrix 为空(competition_claim_evidence_matrix.csv 有 9 行数据),B-CD09,写作线,true,false,影响报告书 claim 可追溯性声明,claims must cite gate JSON directly,填充或放弃该账本并在报告说明
compdeliv,competition_demo_chain_gate_20260720,VERIFIED,COMPETITION_DEMO_READY 17/17,10_research/competition_convergence/competition_gate_check.json,final_verdict=COMPETITION_DEMO_READY; checks_passed=17; checks_total=17; next_stage_authorized=false,8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200,2026-08-27,离线确定性证据回放演示链机器 PASS；本次复算 sha256 与 01_project/current/CURRENT_GATE_MATRIX_V1.csv row2 记录(8B3CDBDA...)一致,不证明任务执行授权、实时数字孪生、硬件验证、SAFE-00 已批准；next_stage_authorized=false,NONE_FOR_DEMO_ITSELF,-,true,false,决赛答辩可用的离线演示证据核心,verified-artifact-driven deterministic OFFLINE evidence replay demonstrator only,无；注意演示口径冻结于 2026-07-20
compdeliv,competition_technical_report_manuscript,UNKNOWN,NOT_FOUND_IN_REPO,NONE,Glob **/*.tex 零命中; find docx/pdf 在 01_project 仅协作者输入与调研报告; 无报告书母稿,NA,2026-08-27,仓内不存在面向比赛提交的技术报告书/项目报告母稿(LaTeX 或 docx/pdf),不证明无法临时编写；证明当前无可提交母稿,B-CD02,Owner+写作线,true,false,初赛网评报告书是硬交付物(按归档描述)，缺失即 P0,NO_SUBMITTABLE_REPORT_EXISTS,Owner 决定报告母题与模板来源，立即启动母稿
compdeliv,current_authority_layer_freshness,VERIFIED,CONTAINS_2026-08-25_TERMINAL_CLOSURE_AND_2026-08-27_RULINGS,01_project/current/CURRENT_GATE_MATRIX_V1.csv,row3 mechanical_release_gate verdict=TERMINAL_CLOSURE_EXECUTED__GATE_A_NOT_PASSED...; row26-27 sim13 20/20 与 post-terminal addendum; 文件 mtime 2026-08-27 02:35:46 晚于两份 0827 裁决 md(02:35:11/01:25:54),824cdcfd1f53db245587ae1d36952dc5566df2c4db199dd01798d13e43c90bc6,2026-08-27,01_project/current/ 导航层已吸收 8-25 机械终局与 8-27 预开发/闭环裁决，为当前最新导航层且自身声明 NAVIGATION_ONLY 无 gate authority,不证明矩阵内各 gate 为 PASS(多行 HOLD/FAIL)；不证明其已提交 git(整目录 untracked),NONE,-,true,false,综合裁决可引用该矩阵作导航,navigation only,综合代理逐行回链机器 gate 复核
compdeliv,decision_q17_required_submission_files,UNKNOWN,UNKNOWN_BLOCKING_FORMAT_CONFIRMATION,NONE_FOUND_IN_REPO,唯一仓内描述为归档文件 01_project/competition/archive/项目现状总览_20260715.md line 11(禁作现行依据),e65cf431ba0024bbb10ff4a75ab686452173dadfbdb6dc424a42c238dec0436b,2026-08-27,决策问题17仓内答案=UNKNOWN；历史快照称报告书+附件(初赛),不证明 2026 正式清单,B-CD01,Owner,false,true,P0,UNKNOWN,Owner 提供官方文件
compdeliv,decision_q18_physical_hardware_required,UNKNOWN,UNKNOWN_BLOCKING_FORMAT_CONFIRMATION,NONE_FOUND_IN_REPO,归档文件 line 11 称决赛现场答辩+可选实物(禁作现行依据); gate hardware_component_status B601_MOTION=PROHIBITED,e65cf431ba0024bbb10ff4a75ab686452173dadfbdb6dc424a42c238dec0436b,2026-08-27,决策问题18仓内答案=UNKNOWN；且当前硬件运动被机器禁止,不证明官方是否要求实物,B-CD01,Owner,false,true,P0,UNKNOWN,Owner 提供官方文件并决定是否启动硬件流程
compdeliv,demo_pptx_9slides,VERIFIED,BYTE_IDENTITY_WITH_MANIFEST_CONFIRMED,40_evidence/artifacts/competition_convergence/competition_mission_intelligence_demo.pptx,gate PPTX_PACKAGE slide_count=9 bytes=177259; manifest raw_sha256 复算一致,9deff92b539cb43da53cc02c3187a9680761437beb468c10c55853846906c059,2026-08-27,9 页 PPTX 在盘且哈希一致,不证明内容覆盖官方报告模板字段；不证明可直接作为技术报告提交,B-CD02,Owner,true,true,决赛答辩演示候选材料,offline replay slide deck,待报告模板确认后决定是否扩写
