asset_id,name,path,type,status,authority,latest_evidence,notes
CTRL-01,End-effector tracking control module,30_simulation/control_01_end_effector_tracking/,control,DONE,true,results/control_01_gate_check.json @284c882 2026-07-22 verdict=REPEAT,"Machine gate REPEAT (next_stage_authorized=false); tests 22/22 PASS (tests!=gate); 7 true negatives preserved incl. 19.20deg anchor joint2 +60deg outside URDF [-pi,0]; LOOP-6 PENDING_REVIEW; no same-topic rework authorized; feeds ASM-02 as design constraint"
CTRL-01-CFG,CTRL-01 frozen scene config,20_engineering/config/control_scene/control_01_v0.yaml,control,DONE,true,control_01_v0.yaml schema control-01-v1 @284c882,"Thresholds frozen (thresholds_widened=false); CTRL-01-R remediation authorized by wave1_repeat/repeat_preregistration.md; FOH+DOP853 ledger; fast-plant==SSOT 4.44e-16"
CTRL-01-MATRIX,CTRL-01 preregistered experiment matrix,20_engineering/config/control_scene/experiment_matrix_v0.yaml,control,DONE,true,experiment_matrix_v0.yaml v1 @284c882,"18-run matrix incl. C2_MATCH5 comparator; frozen before plant runs"
CTRL-02,Base attitude / momentum attribution module,30_simulation/control_02_base_attitude/,control,DONE,true,results/control_02_gate_check.json @284c882 2026-07-22 verdict=PASS(gate control02-gate-v3 GC0-GC7),"PASS under R-5 PROVISIONAL actuator layer; external wording PASS_WITH_PROVISIONAL_SCOPE; tests 24/24; review_status=PENDING_REVIEW; unmerged awaiting integrator-R + PI ruling; transient rows 7 stable/9 unstable; A3 NOT_APPLICABLE_WITH_MISSING_FROZEN_ACTUATOR_DYNAMICS"
CTRL-02-CFG,CTRL-02 frozen attitude-stab config,20_engineering/config/attitude_stab/attitude_stab_v0.yaml,control,DONE,true,attitude_stab_v0.yaml @284c882,"PROVISIONAL wheel max torque 0.01 Nm/axis + thruster min pulse 20 ms + 300s window criteria; config_loader re-verifies frozen input hashes per run (fail-closed on drift)"
SAFE-00,Runtime safety gate (fail-closed decision core),30_simulation/safety_00_runtime_gate/,safe00,DONE,true,results/safety_00_gate_check.json @284c882 2026-07-22 verdict=PASS,"GS-A/B/C PASS; 16 preregistered cases deterministic (payload sha256 7a352fe3...); bypass 12/0; unknown_allow=0; registry 400bcedc... matches; review_status=PENDING_REVIEW; next_stage_authorized=false; LOOP-6 independent re-review outstanding"
SAFE-00-CONTRACT,SAFE-00 closed schemas + frozen policy v1.2,20_engineering/config/safety_gate/,safe00,DONE,true,safety_policy_v1.yaml + 3 schemas + experiment_matrix_v1.yaml @284c882,"safety-gate-v1 contract FROZEN_FOR_SAFE_00_WAVE1; vocabulary SAFE/UNSAFE/UNKNOWN x ALLOW/MODIFY/WAIT/BACKOFF/ABORT; candidate binding A_low-S1_passive; HMAC-SHA256 >=32B key required for ALLOW/MODIFY"
SAFE-00-BASELINE,SAFE-00 baseline reproduction record,30_simulation/safety_00_runtime_gate/baseline_reproduction.json,safe00,DONE,true,baseline_reproduction.json executed 2026-07-19T02:14:30+08:00,"sim_05 22/22, sim_10 6/6, sim_11 27/27, sim_12 3/3 at baseline 926522f; Windows CRLF raw drift documented -> policy v1.2 canonical binding"
VLA-PLAN,VLA generalization research protocol v0,10_research/vla/vla_generalization_plan.md,vla,NOT_STARTED,false,protocol doc @284c882 2026-07-22 status=PROTOCOL_DRAFT,"Design only: no implementation/data/training; L3 candidate generation + L4 skill selection are the only VLA space; 4-baseline ablation ladder V0-V3; metrics M1-M8 preregistered; AprilTag red line; rendering pipeline NOT_STARTED"
PHYSICS-TOOL-CONTRACT,Physics Tool contract draft v0 (5 read-only tools),10_research/vla/tool_contract_draft.yaml,physics_tool,NOT_STARTED,false,tool_contract_draft.yaml @284c882 status=DRAFT_NOT_IMPLEMENTED,"query_feasibility/evaluate_capture/compare_strategy/check_resources/recommend_action over frozen sim_10/sim_12/sim_09 artifacts; provenance block mandatory (gate_json_path+registry_sha256+scenario_hash+row refs); fail-closed error semantics; no torque/trajectory outputs"
POLICY-VOCAB,L4 policy candidate-execute decision discipline,10_research/vla/vla_generalization_plan.md sec 6.2 + 20_engineering/config/safety_gate/safety_policy_v1.yaml,policy,NOT_STARTED,false,vla plan sec 6.2 (contract-level frozen; implementation absent),"Five-word vocabulary WAIT/REOBSERVE/CHANGE_CONFIG/ABORT/EXECUTE_UNDER_ASSUMPTIONS; every EXECUTE cites provenance triple and is hard-wrapped by SAFE-00; agent-card spelling unification (REOBSERVE addition) pending before implementation"
AGENT-ROLE-CARD,Physics-Gated Agent architect role card,.codex/agents/physics-agent-architect.md,policy,ACTIVE,true,role card current @cd0ea80,"Forbids direct torque output/RL/end-to-end VLA; agent may not bypass registry thresholds; vocabulary drift vs vla plan sec 6.2 noted (needs unification edit)"
EMBODIED-PROTOTYPE,Space Embodied Agent Prototype contracts (comp_prot chain),10_research/space_embodied_robotics/,vla,CONTRACT_ONLY_NOT_IMPLEMENTED,false,PL1-G EXTRAS manifests + supplemental 15-file contract-chain copy all SHA-identical; PRESENT_UNTRACKED_HASH_VERIFIED,"Physical contract links restored, including competition_prototype schemas and module cards; still untracked and carries no execution authority or machine Gate."
RESEARCH-OS-DIRS,Research-OS doc set (research_questions/theory_graph/contribution_map/research_os_01/02),10_research/research_questions/ etc.,paper,PRESENT_UNTRACKED,false,PL1-G EXTRAS source/dest manifests hash-identical,"Documentation restored to ROOT A and source retained; not in git/backup policy yet; no scientific Gate authority."
DEMO-LANE,Competition convergence Lane C (demo spine),10_research/competition_convergence/,demo,DONE,true,competition_gate_check.json @1c9183d 2026-07-22 verdict=COMPETITION_DEMO_READY,"17/17 checks; tests 19/19; red team 15/15; offline deterministic replay byte-identical; A_low=EXECUTE(explanation only) B_anchor=ABORT C_transition=MODIFY; command_emitted=false; real_time_sync=false; stop rules all false; ASM-00 separately ASM00_BLOCKED_BY_MISSING_PARAMETERS"
DEMO-MEDIA,Competition demo media package,40_evidence/artifacts/competition_convergence/,demo,DONE,true,competition_mission_intelligence_demo.mp4 + .pptx @1c9183d,"h264 1920x1080 ~55s video (sha 7043d026...); 9-slide PPTX 177259B (sha 9deff92b...); replay JSONs byte-identical to research replay; watermarked OFFLINE/NO COMMAND OUTPUT"
PAPER1-ARCH,Paper 1 architecture v1.0 (Acta Astronautica target),10_research/paper1_architecture.md,paper,ACTIVE,true,paper1_architecture.md current (2026-07-18; status overlay 2026-07-20),"Strategy selection under momentum/stability constraints; evidence locked to sim_10/sim_11/sim_12/sim_09 machine verdicts; writing red lines frozen; figures partly undrawn; novelty search wording limited to 59-paper corpus"
LIT-SYSTEM,Literature system (canonical references + reading cards),50_literature/references/,paper,DONE,true,knowledge_base/papers/controller_state.yaml generated 2026-07-22 verdict=PAPER_KNOWLEDGE_STATE_BUILT,"REORG01R_COMPLETE: 45 manifest entries, 44 PDFs present, 34 reading cards complete, 1 blocked (gerstmayr2013ancfreview); README/research_state_v4 quote 29 cards (minor count drift, non-blocking); V4 embodied_vla section fully carded (spacemind2026/OpenVLA/etc.)"
FRAMEWORK-DAG,Active mainline DAG + framework convergence audit,10_research/framework_convergence/,paper,ACTIVE,true,active_mainline_dag.md + state_truth_report.md current,"Unique science mainline candidate = On-Orbit Assembly Wave A PLANNED_NOT_AUTHORIZED (HAG-A gated); competition lane frozen to evidence orchestration only; deferred queue ROM->Tools->FSM/V2.5->VLA->H0-H3"
WAVE0-CONTROL-PLANS,Wave0 control research plans (trajectory + attitude),10_research/control/,control,DONE,false,attitude_stabilization_research_plan.md + trajectory_control_research_plan.md,"Plan-state docs; superseded by executed CTRL-01/CTRL-02 modules (kept as provenance)"
