id,domain,description,verdict_or_status,authority_path,locator,sha256,retained_as,notes
"NEG-SIM13-01","sim13","机械→具身移交门 FAIL:G12 HARNESS_RATED_OPERATIONAL_ENVELOPE 未过(11/12);unified interface 提供单一消费点但 G12 仍 FAIL","FAIL(HOLD)","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/17_MECH_TO_EMBODIED_HANDOFF_GATE.json","$.verdict=MECHANICAL_TO_EMBODIED_HANDOFF_FAIL; $.current_handoff_gate_v2.failed","42792057bd9fe08fdeabadec23b5f2cfa06095a33d5a8f363633ce90bc6be982","CURRENT_HOLD","PENDING_OWNER_REVIEW;依赖机械 Route-C 线束任务包络(0/75 SAFE、11/11 强制 UNSAFE)"
"NEG-SIM13-02","sim13","B4G 合成夹爪回撤执行 campaign 被作废:3 例 MIDPOINT_COARSE(A1,ALPHA_16,TCMD 5/10/20ms)触发 B4F-G06 能量-功恒等式失败;failure_type=B4GExecutionError","EXECUTION_INVALIDATED(active=true)","30_simulation/sim_13_physics_gated_embodied_grasping/v4_synthetic_contact_capture_diagnostic/phase_b4g_post_freeze_synthetic_jaw_retraction_execution/results/SIM13_V4B4G_EXECUTION_INVALIDATED_V1.json","$.failure; $.raw_case_and_diagnostic_evidence_preserved=true","2743fbd314cca3eaa6fb5f4985df8f65697e5bd968de6deb2ad58f0521fab1d9","REGISTERED_FAILURE_RAW_PRESERVED","原始 case 与诊断证据保留;仅 allowlist 内 stale final 清理"
"NEG-SIM13-03","sim13","B4G 先前 final credit 被取代:preflight_complete 前产物移除,替代 campaign 摘要登记","PRIOR_FINAL_CREDIT_SUPERSEDED","30_simulation/sim_13_physics_gated_embodied_grasping/v4_synthetic_contact_capture_diagnostic/phase_b4g_post_freeze_synthetic_jaw_retraction_execution/results/SIM13_V4B4G_PRIOR_FINAL_CREDIT_SUPERSEDED_V1.json","$.schema; $.raw_case_and_diagnostic_evidence_preserved=true","e8ab12c4b11706b3be1eaf5af44d79ce353754333e4b57059017046dd4e7e720","SUPERSEDED_RECORD","与 NEG-SIM13-02 同一失败链"
"NEG-SIM13-04","sim13","B4G_R1 仅闭环已注册失败合同:original_b4g_final_credit=false、b4g_scientific_gate_pass=false、new_physics_campaign_executed=false;机理=冻结离散第一定律中显式中点二阶截断缺陷(经验阶 2.011-2.080,仅 slots 82/84/88 失败,G06 阈值 1e-7 J)","PASS_PHASE_B4G_R1_REGISTERED_FAILURE_CLOSURE_CONTRACT_ONLY","30_simulation/sim_13_physics_gated_embodied_grasping/v4_synthetic_contact_capture_diagnostic/phase_b4g_r1_registered_failure_closure_contract/results/SIM13_V4B4G_R1_FAILURE_CLOSURE_GATE_V1.json","$.status; $.failure_closure.mechanism; $.open_items(g04_runner_validator_contract_divergence=true; g12_paired_finite_predicates_false=9/9; a2_executed=false); $.claim_boundary","ae7e81f66cf6a5ec218cbb8e3fc4a1ec923a49e2cf0cafc6681eec449d855c68","FAILURE_CLOSURE_CONTRACT_ONLY","claim_boundary 明文:不授予原 final credit/科学 PASS/物理/当前系统/NC19/Owner/生产/下一阶段权威"
"NEG-SIM13-05","sim13","e15 legacy ANCF 交叉求解最大相对差 5.637349419858036% > 5% 门槛","REPEAT_ANCF_CERTIFICATION(保留硬负结果)","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/evidence/CURRENT_SYSTEM_HANDOFF_INTAKE_V1.json","$.preserved_hard_negatives.e15.max_cross_solver_relative_difference=0.05637349419858036; $.checks.e15_repeat_5p637349pct_gt_5pct=true","8e1419808aedcd3332a3a6509df69824ef763a05d993af6d3920e7486d4e5fe0","HARD_NEGATIVE_PRESERVED","现行线由 E23 G07/G11 重认证交付;legacy 线不复写"
"NEG-SIM13-06","sim13","E22 R2 HF→ROM 动态验证 16/18(G11/G17 FAIL)","HOLD_R2_HF_TO_ROM_DYNAMIC_VALIDATION_FAILED","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/evidence/CURRENT_SYSTEM_HANDOFF_INTAKE_V1.json","$.preserved_hard_negatives.e22(failed=[G11,G17],passed=16,total=18); $.checks.e22_16_of_18_g11_g17_fail=true","8e1419808aedcd3332a3a6509df69824ef763a05d993af6d3920e7486d4e5fe0","HARD_NEGATIVE_PRESERVED","不可变历史;E23 18/18 为现行重认证线"
"NEG-SIM13-07","sim13","Sim13 V1 现行绑定被更新 M7 证据失效;V1 包最大用途降为历史 bootstrap/回归","INVALIDATED_BY_NEWER_M7_EVIDENCE","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/evidence/CURRENT_SYSTEM_HANDOFF_INTAKE_V1.json","$.preserved_hard_negatives.current_binding; 模块 README L5-8","8e1419808aedcd3332a3a6509df69824ef763a05d993af6d3920e7486d4e5fe0","SUPERSEDED","V1 不得释放非 ABORT 生产动作"
"NEG-SIM13-08","sim13","TMC-F01:gen_urdf 运行时代码指纹在 CPython 3.13.9/3.14.4 下冷热态不稳(marshal FLAG_REF 字节差);8 次授权执行尝试全被 fail-closed 终检拒绝,写 11 个 run consumption 标记","DOCUMENTED_DEFECT(全披露)","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/generated_v2/UNIFIED_R2_URDF_EXECUTION_RECEIPT_V2.json","$.documented_defect.id=TMC-F01; $.authority_execution_history(all_attempts_result=DENIED_BY_FAIL_CLOSED_FINAL_CHECK)","957ca67d7bcc2cb591df2442f24532ca3dae24f358fc69bf390ac1a20f6f021e","DOCUMENTED_DEFECT_PENDING_ADJUDICATION","URDF XML 数据输出确定性不受影响;处置需 Red Team+Falsifier+Owner"
"NEG-SIM13-09","sim13","sim05/sim06/sim10 当前重执行 HOLD:REORG04 后旧默认输入路径不存在,sim10 冻结阈值注册表哈希与现行文件哈希不一致","HOLD_INPUT_PATH_OR_HASH_DRIFT","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/results/SIM13_V2_PREBIND_SOURCE_GATE_V1.json","$.current_regression_reexecution_status","dbfff803a656f4ad74934f0c886bc258e219cdc6904647d2855f15d2c3916906","CURRENT_HOLD","历史产物仅作哈希锚点;修复需显式版本化重跑输入"
"NEG-SIM13-10","sim13","后端包探索期事故(FAIL_DOCUMENTED):按上游 README 运行再生成式 validate_prebind_v2.py,因 unified URDF 已发射(P25 true→false)重写 4 个 prebind 文件;已按记录哈希逐字节恢复,15/20 负控证据本体未被触碰","FAIL_DOCUMENTED_RESTORED","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/README.md","L69-75(披露段);SIM13_V2_BACKENDS_PACKAGE_VALIDATION_V1.json $.checks.V02 pin_match=true 五项","66a82bc1379762bd725c9322956992e8579ab9febfafaca125223bb190b5be84","DOCUMENTED_INCIDENT_RESTORED","此后未再运行该再生成式脚本;V02 钉死历史五文件"
"NEG-SIM13-11","sim13","B4E 求解器 campaign 主分支 horizon 耗尽,结论不确定;不作主分支移除","PRIMARY_BRANCH_HORIZON_EXHAUSTED_INCONCLUSIVE","30_simulation/sim_13_physics_gated_embodied_grasping/v4_synthetic_contact_capture_diagnostic/phase_b4_post_freeze_synthetic_6d_solver/results/SIM13_V4B4E_AUDITED_GATE_V1.json","$.status","8f644e69f626793989488c8d8ff3803f9f1354c6d637e1e237044a55421c896e","INCONCLUSIVE_RETAINED","NO_MAIN_REMOVAL;所有物理/当前/正式 HOLD 保持"
"NEG-SIM13-12","sim13","v4 运行时守卫诊断期 NC19 正式未执行:权威窄相接触与释放几何缺席","HOLD_AUTHORITATIVE_NARROW_PHASE_CONTACT_AND_RELEASED_GEOMETRY_ABSENT","30_simulation/sim_13_physics_gated_embodied_grasping/v4_runtime_guard_diagnostic/results/SIM13_V4_RUNTIME_GUARD_DIAGNOSTIC_GATE_V1.json","$.nc19_status; $.diagnostic_claim_boundaries.NC19=NOT_EXECUTED__FORMAL_HOLD","104d6d25d1c4f05b5447639d1d1ccbe464e622241ec23098e14ff44003d885e0","HISTORICAL_HOLD_SUPERSEDED_AT_BACKEND_SUBSCOPE","08-25 晚由 NC19 后端子域闭合(BOUNDED_PROVISIONAL);父级未重发"
