id,domain,description,verdict_or_status,authority_path,locator,sha256,retained_as,notes
"NEG-DYN-01","dyn","e15 legacy ANCF 交叉求解 6 组诊断锚点最大四指标差 5.63735% > 5% 门槛","REPEAT_ANCF_CERTIFICATION","30_simulation/e15_ancf_certification/results/gate_summary.json","$.cross_solver_diagnostic.max_relative_difference=0.05637349419858036; $.overall","aab4d609e219279c2563c8a38743ac1784bbf16de399d5b8798439b0ac2dca80","硬负结果冻结保留","TMC 处置:legacy 线维持 REPEAT;现行线重认证由 E23 G07/G11 交付(1.81e-05),两条线不得混引"
"NEG-DYN-02","dyn","e15 最终候选跨求解器不可用:E1.5 SAFE=0 且无名义 Top-3","REPEAT(final_candidate_cross_solver.gate_pass=false)","30_simulation/e15_ancf_certification/results/gate_summary.json","$.final_candidate_cross_solver.available=false, reason 字段","aab4d609e219279c2563c8a38743ac1784bbf16de399d5b8798439b0ac2dca80","硬负结果冻结保留","明确禁止用低振幅诊断锚点冒充最终候选"
"NEG-DYN-03","dyn","E1.5 核心覆盖 72 例 0 SAFE(66 几何不可达+6 捕获后超限)","REPEAT_CORE_NO_SAFE_CANDIDATE","30_simulation/e15_core_coverage/results/core_gate_check.json","$.scientific_verdict; $.state_counts","761798e52ead35f8bf6200034af088e85f7bb9085c71d0883bf1e70c1cffe3a7","硬负结果冻结保留","是 sim_10/sim_12 fail-closed 判据与 ABORT 策略的存在性源头"
"NEG-DYN-04","dyn","E22 五模态 ROM 动态重构 3.51% > 1%(G11 FAIL)且三通道比较不完备(G17 FAIL)","HOLD 16/18(SUPERSEDED by E23)","30_simulation/e22_r2_full_flex_coupled_diagnostics/results/E22_R2_FULL_FLEX_COUPLED_GATE_V1.json","$.summary.failed=[G11,G17]; key_metrics.hf_to_rom_five_mode_max_relative=0.035058706034330304","472ada4a7abf98bbd5f72b0459400704a86faf2b13daccd562025c0cc356aa5e","不可变历史(lineage)","根因=合同界定的 ROM 维数不足;ROM5 falsifier 792 个 5D 子集全失败,最优 1.083%"
"NEG-DYN-05","dyn","sim_10 X2:设计书'lambda 边界单调'预期在 G1 过渡带被证伪(1.08% 浅坑,亚分辨率)","REFUTED_IN_TRANSITIONAL_BAND(gate 仍 PASS)","30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json","$.gates.X2_lambda_boundary_monotonic.design_expectation_status; worst_dip_rel=0.010790032932416973 @mu=0.5141","4dbd8c91ff3455d5e5997a995ac385f02bbc1d2e379bbfe5c0563d41834dfc67","证伪记录入裁决 JSON","幅度亚分辨率不改区域标签;如实记录为科学发现"
"NEG-DYN-06","dyn","sim_11 v1.0 G4 FAIL 历史:理想冲量 dt=0 对模态能指标不适定(m=2..7 慢收敛尾 +2.86/+1.29/+0.72/~+0.4%)","FAIL(v1.0,git 6c0035b)已修复为有限接触窗","30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json","$.gates.G4.ideal_impulse_diagnostic (gated=false, physics_note)","9309f5325271bf5efdaa7ecac2bcf20b4feca3fca771d22391a7d7d576f9366f","非 Gate 诊断保留","确诊为模型域边界而非装配缺陷;物理修复=contact_window.py 半正弦等冲量"
"NEG-DYN-07","dyn","sim_12 B/D 例:碎片@3deg/s 与 @5deg/s 四策略全 INFEASIBLE(RATE)->ABORT","ABORT(REPEAT_CORE 策略空间复现)","30_simulation/sim_12_strategy_feasibility/docs/strategy_comparison_report.md","L14-15(B/D 行); L20-21(瓶颈是速率门)","5bb7c6a7167710b207980d4b63b6854c18e79c2e0ffba7886251eaf637971b4c","证明集内负结果","'任何本策略集成员都救不了'是核心诚实结论"
"NEG-DYN-08","dyn","sim_09/E1.5:SAFE=0、UNKNOWN=3、UNSAFE=69","REPEAT_E1_5(NEGATIVE_RESULT+FROZEN)","10_research/00_project_architecture/simulation_scenario_map.md","L101, L127","a5e04c8ac77c75e371b3b9ca29ff32a524cf2c9979d94491c3d7658e70d7878d","冻结历史负结果","当前统一安全门前身;不得复活为当前结论"
"NEG-DYN-09","dyn","sim_13 V2 正式态 15/20 NC + 5 dependency_hold(NC15/16/18/19/20)","HOLD(子模块显式禁止提升)","30_simulation/sim_13_physics_gated_embodied_grasping/v4_runtime_guard_diagnostic/results/SIM13_V4_RUNTIME_GUARD_DIAGNOSTIC_GATE_V1.json","technical_verdict: '...CURRENT_V2_FORMAL_NC_REMAINS_15_OF_20__NC19_HOLD__NO_PRODUCTION_OR_RELEASE_CREDIT'","not_hashed_read_via_grep","负结果+防提升护栏","V4 证明的是合成夹具上的守卫能力;synthetic contact != 真实夹爪验证"
"NEG-DYN-10","dyn","PB-G1:Unified R2 PB-00 仅诊断表征(no credit),状态交接连续性 G1-04/05 未评估","HOLD_NOT_AUTHORIZED_BY_PB_G0","30_simulation/dynamics_control_prebind_r1/10_verification/PB_G1_GATE.json","$.criteria G1-04/05 status=NOT_EVALUATED; $.verdict","7ad34fcf94825e6b3b8df860bafbf7726243655461e10c4f83258b39f9a6ecc0","当前有效 HOLD","E-COMP-02 核心证据;诊断 PASS_DIAGNOSTIC_NO_CREDIT 不得升级"
