domain,item,current_status,verdict,authority_path,json_key_or_row_locator,sha256,last_verified,what_it_proves,what_it_does_not_prove,open_blocker,blocker_owner,internally_closable,external_input_required,competition_relevance,claim_ceiling,next_minimum_action
"dyn","sim_05_free_floating_arm","VERIFIED","tests 22/22 PASS (2026-07-11); 无独立 gate JSON,属冻结核心证据","30_simulation/sim_05_free_floating_arm/README_sim_05.md","README L96 dyn2 7.3e-17; L113 峰值19.20deg; CSV results/sim_05_base_attitude.csv col base_dev_angle_deg max=19.199852 @t=8.0s (本次复算)","181eba2721e765e6b9588edc17464219690885c4910fb9248f055ed93523caf3","2026-08-27","B601 6R 自由漂浮动量级反作用:臂致基座姿态扰动峰值19.20deg,轨迹全程动量守恒7.3e-17,几何相位2.6168deg","不含关节力矩/柔性/接触;URDF 惯量为厂商值(实物称量 pending);headline q2=+60deg 超 URDF 限位,仅动力学基准","无(冻结证据)","无","yes","no","高:基座扰动主图","刚体动量级反作用;不得外推到柔性帆板或捕获接触","无(维持冻结)"
"dyn","sim_06_capture_impulse","VERIFIED","tests 验证(verification_report_v0); 无独立 gate JSON,求解器 30_simulation/common/capture_impulse.py 经 sim_07/sim_08/sim_10 只读复用","30_simulation/sim_06_capture_impulse/results/capture_impulse_matrix_v0.csv","CSV 第15行 target_debris_v0,3,0.01: post_rate_full_dps=3.06333, eps_H=3.84985e-16; 第34行 target_satellite_v0: 1.38721","8cbad84b8ff69ffca6992ce29e95520bae3c309260ec8c55083cbe62dfed5151","2026-08-27","矢量式捕获冲量:碎片@3deg/s 捕获后 3.0633deg/s(捕获!=消旋);卫星 1.3872deg/s;逐行 eps_H~1e-16","不证明消旋可行;不覆盖柔性;CSV 仅 6 位有效数字(精确值由 sim_10 求解器承担,差 4.9e-07 在半 ULP 内)","无(冻结证据)","无","yes","no","高:捕获后残余转速主证据","刚体矢量冲量;精确小数位以 sim_10 gate X1 求解器值为准","无(维持冻结)"
"dyn","sim_07_ancf_flexible","VERIFIED","回归 R1-R3 PASS + benchmark 5/5 PASS(README §7); 无独立 gate JSON","30_simulation/sim_07_ancf_flexible/results/task_response_summary.csv","CSV 6 行: 6dof_rigid_lock tip 5.235789/3.674004/2.827378 mm vs 3dof_point 0.056821/0.039768/0.030597 mm(比值92.1-92.4x); t5pct_s 37.03..75.17 (fit_extrapolated)","df29073bdb6cad1fce21bf7d22ce5fac487230631dbe844411565a49d029a33b","2026-08-27","ANCF 帆板点捕获(球铰)激振 vs 刚性锁定约92x(two orders);振铃 5% 衰减 37-75s(窗外推,与单模态理论 ln20/(zeta*w1) 偏差<4%)","阶段A单向耦合(假设A1):基座不接收柔性反馈;3DOF 面外数值只作下界(假设A3 主激励在被忽略面内方向);帆板质量0.348kg为SSOT占位","帆板真实面密度2-5kg/m2,占位差5-10倍(待办3)","杨恒/硬件组","no","yes","高:柔性激振对比主图","组件级单向激励响应;整星双向耦合结论归 sim_11","无(维持冻结);真实帆板参数到位后需组件级重跑"
"dyn","sim_08_detumble_actuator_budget","VERIFIED","预算公式对拍 sim_06 求解器; 无独立 gate JSON","30_simulation/sim_08_detumble_actuator_budget/results/actuator_budget_sweep.csv","CSV 行 target_debris_v0,3.0: H_Nms=3.65099, total_impulse 73.0199 Ns, propellant 124.0992 g (cold_gas_60s, t=900s, lever 0.05); README_sim_08.md L22-23: 3.65 Nms = 12x 轮组(3x100mNms)容量","1f0d4534956555c7bc5e309d53e9a92eb25d281c9e036987fb7eab2b17b3d7ad","2026-08-27","150kg 碎片@3deg/s 消旋 |H_c|=3.65 Nms = 12x 轮组容量,必须推力器;900s 粗消旋 F=12mN/推力器,冷气推进剂 124.1 g;卫星捕获轮组即可","执行机构档全为 placeholder CLASS 值(assumptions.yaml 头注,待 COTS 选型);单轴标量预算,矢量分配/章动控制为 v1 未做;目标惯量置信度低(RA-003)","COTS 选型未做(仅正式报告冻结前需要)","工程组","yes","no","高:消旋资源账本主证据","CLASS 级预算估算;不得引用为已选型硬件指标","比赛图表可用;正式报告前替换 COTS 数据"
"dyn","sim_10_mission_feasibility_gate","VERIFIED","SIM10_GATES_PASS (2026-07-18, X1-X4+R 五项全过)","30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json","$.verdict; $.scan_summary n_physics_points=9002; X1 anchors w_plus_dps=3.0633304945807067/1.3872061825379134; X3 vs sim08 rel 7.2e-7","4dbd8c91ff3455d5e5997a995ac385f02bbc1d2e379bbfe5c0563d41834dfc67","2026-08-27","9002 物理点/72016 门行四门 fail-closed 扫描成立;两锚点逐位落回 sim_06;哈希锁在裁决时刻全过;tests 6 项 assert(run_all.py L106)","刚体边界:FLEX=UNKNOWN_NOT_IN_CRITERIA;执行机构 CLASS 占位;t_detumble_max=3600s 为任务假设;G3 致密球无 CAD 锚点","R 哈希锁对当前树已失效(见 sim_10_hash_lock 行)","内部","yes","no","最高:可行域主图 F1-F4 数据源","刚体可行域存在性;不得宣称柔性可行","比赛可直接引用;如需重跑先重钉哈希"
"dyn","sim_10_hash_lock_post_reorg04","LIMITED","FROZEN_HASH_LOCK_STALE__GATE_NOT_REISSUED_AFTER_REORG04(数值语义等价,git diff 证实纯路径字符串改写)","30_simulation/sim_08_detumble_actuator_budget/assumptions.yaml","scan_v0.yaml frozen_inputs 钉 850f49da.../400bcedc...;当前文件 006c6cc5.../75af082a...;REORG04 commit 284c882 rename+路径前缀改写(4/16 行,无数值变化)","006c6cc5d3c6a1a6b55bcda4fe025620e268b530e6fc4f7848c9d840cd44194f","2026-08-27","证明:今日重跑 run_gates.py 的 R 门会 FAIL(哈希漂移);历史裁决 SIM10_GATES_PASS 作为 2026-07-18 机器记录不受影响","不证明 sim_10 数值结论失效(漂移经 git show 逐行确认为路径字符串,数值/布尔/结构不变,符合 PROJECT_MAP.md 规则5)","scan_v0.yaml 与 gate JSON 哈希未随 REORG04 重钉","内部(Owner/工程组)","yes","no","中:决赛若现场复核/重跑则暴露","只对'今日可重放性'设限;不降级历史裁决","最小动作:按 REORG04 规则5 重钉两文件哈希并重发 sim_10 gate(分钟级)"
"dyn","sim_10_X2_monotonicity_refutation","VERIFIED","X2 gate pass=true 且 design_expectation_status=REFUTED_IN_TRANSITIONAL_BAND","30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json","$.gates.X2_lambda_boundary_monotonic: nonmonotone_cases[0] mu=0.5141427971489447, dip_rel=0.010790032932416973, fraction 1.33%<=10%","4dbd8c91ff3455d5e5997a995ac385f02bbc1d2e379bbfe5c0563d41834dfc67","2026-08-27","设计书'lambda 边界单调'预期在 G1 过渡带被精确求解器证伪(1.08% 浅坑,亚分辨率),如实记录且不改区域标签","证伪幅度亚分辨率,不构成 F1 图任何区域标签变化;全 inf 行不计入","无","无","yes","no","中:论文/答辩的科学诚实性亮点","仅限刚体边界与当前网格","无(已入裁决 JSON)"
"dyn","sim_11_coupled_dynamics","PROVISIONAL","SIM11_GATES_PASS_WITH_PROVISIONAL_PARAMS (v1.1 2026-07-18, 七子门全过, next_stage_authorized=true)","30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json","$.verdict; G1 A2_bw20_window_drift=2.7346180875298387e-14; G2 A2_bw20_window_audit_rel=8.459748222451578e-11; G4 values.A2_ideal.m3 H_O=3.6782586304198084, L_C=3.7213991753489832; G3b peak 19.199850770410567","9309f5325271bf5efdaa7ecac2bcf20b4feca3fca771d22391a7d7d576f9366f","2026-08-27","路线A 浮动基座树形多体+FFR 帆板(m=3)+B601 6R+有限接触窗:窗内组合动量守恒 2.7e-14,能量审计 8.5e-11,锁定收口冲量0.035%,带宽下 m3->m4->m5 模态能差 0.48%/0.027%,A2 守恒 |H_O|=3.678/|L_C|=3.721 Nms,帆板振铃约2.07mm@1.0009Hz","帆板模态参数为占位(provisional_fields: n_modes/mode_shape/stiffness_case/zeta_modal/contact_T_c);T_c=20ms 名义待 B601 夹爪实测;A1'柔性反馈可忽略'结论在真实帆板面密度(2-5kg/m2,差5-10倍)下可能翻转(待办3)","T_c 实测值与帆板数值案例未到位","杨恒(数值案例)+硬件组(夹爪实测)","no","yes","高:柔性耦合捕获方法主证据(须带 PROVISIONAL 声明)","PASS_WITH_PROVISIONAL_PARAMS;占位参数下结论不得去声明化引用","维持;外部输入到位后替换 coupled_model_v0.yaml 占位字段并重跑全部 Gate(复现命令见 gate repro 字段)"
"dyn","sim_11_Tc_contact_window","PROVISIONAL","scene_A2_capture.yaml T_c_ms_nominal=20.0 占位; 5-100ms 已扫掠(G4 bandwidth_sweep_diagnostic 五档)","20_engineering/config/coupled_scene/scene_A2_capture.yaml","L25 T_c_ms_nominal: 20.0 (注释'待 B601 夹爪闭合时间实测(PROVISIONAL)'); L26 sweep [5,10,20,50,100]","4b979a1dfd183ad938d79d6eb05a8fb0d4164c0e075a5391b467cc50e173a707","2026-08-27","有限接触带宽路径闭合 sim_11 G4(理想冲量对模态能不适定已确诊为模型域边界而非装配缺陷)","T_c 名义值无实测依据;扫掠显示 lockup_rel_to_lam 随 T_c 单调升至 0.17%(100ms),带宽选择影响收口指标","B601 夹爪闭合时间实测值(硬件组)","硬件组","no","yes","中:答辩可能被问接触模型物理依据","20ms 为占位;引用须带 PROVISIONAL","取得实测 ms 值->替换 scene_A2 contact->重跑带宽口径 Gate"
"dyn","sim_12_strategy_feasibility","VERIFIED","SIM12_PHASE1_GATES_PASS (GS1/GS2/GS3)","30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json","$.gates.GS1 max_eps_H=3.849848861643484e-16; GS2 best_per_case A_low=S1,B_anchor=ABORT,C_transition=S3a_wheel_bias,D_extreme=ABORT; GS3 allowed/forbidden 清单","a416c13481119bbdc61764d518a1abebc159a78bbd78fac132803069713dacd8","2026-08-27","16 例策略证明集:最优捕获策略是 binding gate 的函数;B_anchor 中 S2 使 |J| 降(0.194 vs 0.338 Ns)但 |H| 标量升(冲量-动量解耦);REPEAT_CORE 在策略空间复现(碎片@3deg/s 四策略全不可行)","flex 不入判据;GS3 禁止'momentum shaping always improves capture'等四条;S3b 预注册断言未入集","无(Phase1 冻结)","无","yes","no","最高:策略选择主图(strategy_ladder)与核心论点","刚体+轮组/推力器账本;柔性策略结论禁止","无(维持冻结)"
