claim_id,claim,evidence,status,allowed_wording,forbidden_extrapolation,blocking_gate
CLM-001,Loop multiagent intake archive integrity,"11814 bytes; SHA 277AFF81693DF362BBE45B01528452156E9481FD003E07C903E8E0358BABFDD2; 5 safe entries",PASS,INTAKE_INTEGRITY_PASS,PACKAGE_AUTHORIZES_S01,NONE
CLM-002,Original Phase2A start package integrity,"11 source files; ZIP SHA EE44124CC0DB1E0F6757F3662D66729B2D4CB3CF2F3391D2370CC0F8CC8D226C",PASS,ORIGINAL_START_PACKAGE_11_OF_11_INTEGRITY_PASS,G1_PASS,NONE
CLM-003,Current V1 input lock integrity,"15/15 path bytes SHA matches",PASS_WITH_SCOPE_LIMIT,CURRENT_V1_LOCKED_INPUTS_MATCH,NEW_S00_WORKSET_IS_HASH_LOCKED,G1A
CLM-004,Single coordinate-system persistence,"Gate SHA 6D0C27E154E3F1ACA150EA35B2A945EC257D1CB2898A06AB5AC9448A9AF3EC5E",PASS,SINGLE_COORDINATE_SYSTEM_PERSISTENCE_PASS,NATIVE_AUTHORING_RELEASED,G1B
CLM-005,Accepted URDF topology,"10 links; 9 joints; 6R+1fixed+2 independent P; mimic=0",PASS_TEXT_PARSE,ACCEPTED_TOPOLOGY_AUTHORITY_PARSED,ALL_CONSUMER_MODELS_VALIDATED,G4_G10
CLM-006,Accepted URDF mass authority,"exact project authority text 4.6955559493429862 kg",AUTHORITY_LOCKED_VALIDATION_MATURITY_MEDIUM,PROJECT_DYNAMICS_AUTHORITY_PRESERVED,PHYSICALLY_WEIGHED_OR_FLIGHT_VALIDATED,G9_G10
CLM-007,URDF visual and collision dependencies,"10 unique referenced STL; workspace found 0",HOLD,MESH_DEPENDENCY_HOLD_REGISTERED,VISUAL_COLLISION_SIMULATOR_READY,G6_G10
CLM-008,G1 datum recommendation,"101.65 axis 110.15 load surface 113.15 panel layer; human fields null",PENDING_HUMAN_RATIFICATION,EXPERT_RECOMMENDATION_PREPARED,DATUM_AUTHORITY_SELECTED,G1A
CLM-009,G1 feature naming recommendation,"expanded names and 10-row register; human fields null",PENDING_HUMAN_FREEZE,EXPERT_NAMING_CANDIDATE_PREPARED,NATIVE_NAMES_FROZEN,G1A
CLM-010,G1 tolerance recommendation,"14 normalized expert values; selected fields null",PENDING_HUMAN_AUTHORIZATION,NORMALIZED_TOLERANCE_RECOMMENDATION_PREPARED,ACCEPTANCE_TEST_AUTHORITY_GRANTED,G1A
CLM-011,Stage A integrity,"511198 bytes; SHA 5DEBE5AF52A896CDC3818ADD645725A8E758DB4E5D76F46E3067F9FAA7B5C76B",PASS_HASH_WITH_LOCKFILE_HOLD,STAGE_A_HASH_UNCHANGED,STAGE_A_SESSION_CLEAN_OR_OS_READONLY,G1A
CLM-012,G1A authority and hash lock,"Receipt pending; V2 lock absent; findings open",HOLD,B51R1_PHASE2_S00_AUTHORITY_INPUTS_HASH_VERIFIED_G1_HOLD,G1A_PASS,G1A
CLM-013,G1B S01 admission,"V2 schema prepared; all signatures null; visible launches 0",NOT_AUTHORIZED,G1B_SCHEMA_PREPARED_S01_NOT_AUTHORIZED,S01_AUTHORIZED,G1B
CLM-014,Final Master Skeleton,"target absent",NOT_CREATED,FINAL_MASTER_SKELETON_ABSENT,NATIVE_SKELETON_ACCEPTED,G2
CLM-015,Native Carrier parts,"0 of 10 SLDPRT; 0 carrier SLDASM",NOT_CREATED,NATIVE_CARRIERS_0_OF_10,NATIVE_CARRIERS_ACCEPTED,G3
CLM-016,Native joint chain,"carrier chain absent",NOT_CREATED,NATIVE_CHAIN_ABSENT,NATIVE_6R_1_FIXED_2P_ACCEPTED,G4
CLM-017,T005,"A B C all NOT_RUN",NOT_RUN,T005_NOT_RUN,T005_PASS,G5_G6
CLM-018,H10,"0 closed of 28; 28 unresolved",HOLD,H10_0_OF_28,H10_PASS,G7
CLM-019,Mechanics-control handoff,"0 of 8 files",NOT_RELEASED,MECHANICS_CONTROL_HANDOFF_0_OF_8,CONTROL_OR_AI_RELEASED,G10
CLM-020,Complete engineering framework,"framework findings claim matrix and pending authority schemas created offline",PREPARED_FOR_HUMAN_REVIEW,ENGINEERING_CONTENT_FRAMEWORK_PREPARED,ENGINEERING_HARDWARE_COMPLETE,NONE
CLM-021,Manufacturing or flight readiness,"No qualified loads materials fasteners tests or complete CAD",PROHIBITED,HOLD,MANUFACTURING_READY_OR_FLIGHT_READY,G10
