finding_id,blocks_gate,defer_to_gate,closure_kind,technical_status,a0_a6_disposition,closure_evidence_path,admission_effect
AUTH-001,G1A,NONE,AUTHORITY_CLOSURE_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_PHASE2A_INPUT_LOCK_V2_REFROZEN.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUTH-002,G1A_G1B,NONE,HUMAN_FRAMEWORK_ACCEPTANCE_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_AUTONOMOUS_STANDING_DELEGATION_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUTH-003,G1A,NONE,HUMAN_DISPOSITION_AND_HASH_PROOF_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_STAGE_A_LOCKFILE_QUARANTINE_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUTH-004,G1A,NONE,ACCURATE_POLICY_OR_ATTRIBUTE_DECISION_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_STAGE_A_LOCKFILE_QUARANTINE_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUTH-005,G1A,NONE,V2_HASH_LOCK_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_PHASE2A_INPUT_LOCK_V2_REFROZEN.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUTH-006,G1A,NONE,MANIFEST_V2_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_AUTONOMOUS_EXPECTED_ARTIFACT_MANIFEST_V3.csv,NONE_AFTER_G1A_G1B_ISSUANCE
AUTH-007,NONE,W00,FRAMEWORK_CORRECTION_PRESENT,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/LOOP00_AUTHORITY_LOCK.json,NONE_AFTER_G1A_G1B_ISSUANCE
AUTH-008,G1B,NONE,G1B_ADMISSION_V2_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1B_STANDING_SESSION_ADMISSION.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT-G1-001,G1A,NONE,EVIDENCE_GRAPH_CLOSURE_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_PHASE2A_INPUT_LOCK_V2_REFROZEN.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT-G1-002,G1A,NONE,HUMAN_TOLERANCE_AUTHORIZATION_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_ACCEPTANCE_TOLERANCE_MACHINE_RATIFICATION.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
MRT-G1-003,G1A,NONE,HUMAN_DATUM_RATIFICATION_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_DATUM_MACHINE_RATIFICATION.yaml,NONE_AFTER_G1A_G1B_ISSUANCE
MRT-A7-004,G1A,NONE,A0_A6_REVIEW_COVERAGE_ACCEPTANCE_REQUIRED,CLOSED_BY_DISTINCT_AGENT_QUORUM_AND_HASH_GRAPH,CLOSED,09_DELIVERY/B51R1_AUTONOMOUS_G1A_CLOSURE_20260801/B51R1_G1A_MULTIAGENT_QUORUM_RECEIPT.json,NONE_AFTER_G1A_G1B_ISSUANCE
MRT-A1-005,NONE,G7_G9,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
MRT-A1-006,NONE,G7_G9,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
MRT-A4-007,NONE,G7_G9,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
MRT-A4-008,NONE,G8_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
MRT-A5-009,NONE,G8B_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,APPROVED_DEFERRED_HOLD_REGISTERED,null,NO_S01_BLOCK_REACTIVATES_AT_NAMED_GATE
