"domain","item","current_status","verdict","authority_path","json_key_or_row_locator","sha256","last_verified","what_it_proves","what_it_does_not_prove","open_blocker","blocker_owner","internally_closable","external_input_required","competition_relevance","claim_ceiling","next_minimum_action"
"ctrl","R2动力学与控制工程闭环父裁决（2026-08-27，当前最高权威）","HOLD","联合 HOLD；next_stage_authorized=false；release_credit=false；合法最高结论 HASH_BOUND_ENGINEERING_ARTIFACTS_BUILT+ENGINEERING_HOLDS_RETAINED_FAIL_CLOSED","01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md","§1 总裁决 fenced block 行7-18；§5 联合 Gate 13 条件（仅4真）；§4 控制线 task_space_metric UNBOUND","3eed50dd728ea55ce40cd4a2e46d4343d1f17a4c532baca4c469c8b406c08dce","2026-08-27","控制/动力学/SAFE/联合最新父级状态；独立验证 71/71；红队 P0/P1=0；CTRL-02 Gate 哈希 240FA708… 受保护复核","不授予任何下一阶段、release 或执行授权","DG1/DG2 动力学两 HOLD、CG1 任务空间度量 UNBOUND、机械 handoff FAIL、SAFE 独审未做、Sim13 绑定 false","各域 Owner+控制工程","partial","true（执行器/接触实测）","高（本域全部子条目的父级裁决框架）","HASH_BOUND_ENGINEERING_ARTIFACTS_BUILT；NO_PATH_SEARCH；NO_PHYSICS_GATED_EMBODIED_INTELLIGENCE_RELEASE","按 §6 七步顺序：先冻结度量/独立积分→M01 证书→bounded 搜索→SAFE 独审→重跑联合 Gate"
"ctrl","CTRL-01 末端跟踪机器 Gate（control-01-gate-v2）","REPEAT","verdict=REPEAT；next_stage_authorized=false；PROVISIONAL_PARAMS=true；independent_red_team_status=PENDING_REVIEW；evidence_complete=true；18 场景","30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json","$.verdict 行6；$.gates.GC1_A2/D/E/F=REPEAT；$.confirmed_results；$.claim_scope","ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96","2026-08-27","冻结增益与预注册轨迹下：动量守恒 7.216449660063518e-16、能量账本修复 7.9e-2→5.6325998524987115e-12（阈值 1e-9 未动）、T3 碰撞合同与 C2_MATCH5 比较器两缺陷闭环、七项真负结果预注册保留（C3 真零 +1.8387128071932317e-05% 等）","不证明控制器优越性、硬件/飞行性能、节点间连续碰撞间隙、当前树可精确复现（7/22 HOLD）","CTRL01_REPEAT_AND_CURRENT_TREE_REPLAY_HOLD；REORG04 规范化哈希漂移+冻结 sim05 URDF 定位指向 pre-reorg 根 CAD 路径","控制工程/集成方","partial","false","高（论文负结果与限定 claim 的机器依据）","仅允许「冻结增益与预注册轨迹下」限定句式；禁止 general controller superiority 与晋级表述","建立无副作用独立 replay gate、重锚 sim05 URDF 定位后再谈任何重跑"
"ctrl","CTRL-01 负结果因果账本（R2 轮）","REPEAT","KEEP_REPEAT__REDESIGN_STAGE_TASK_AND_BIND_DYNAMICS_HARDWARE_MECHANICAL_CONSTRAINTS_BEFORE_TIME_DOMAIN_RERUN；causal_certification_complete=false","30_simulation/r2_control_engineering_closure/results/CTRL01_R2_FAILURE_CAUSAL_LEDGER.json","$.disposition 行11；$.current_tree_replay（passed=7 failed=15 total=22 HOLD_CURRENT_REPLAY）；$.entries[]","ac6bf75561db74ea19dcfc7eb782e0874f35a5d39073e6517edbc4eb88e0fdd1","2026-08-27","失败按证据分类入账（跟踪误差/限位冲突/奇异风险），固定基座雅可比被证伪为唯一根因","不证明因果认证完成；不构成 CTRL-01 重跑或翻转授权","时域重跑需先完成场景重设计+动力学/硬件/机械约束绑定","控制工程","false","true（硬件执行器）","中","证据有界账本，禁止当作缺陷已修证明","按 disposition 先绑定约束再申请预注册新实验"
"ctrl","CTRL-02 基座姿态分账机器 Gate（control02-gate-v3）","LIMITED","verdict=PASS（外部口径 PASS_WITH_PROVISIONAL_SCOPE）；review_status=PENDING_REVIEW；thresholds_widened=false","30_simulation/control_02_base_attitude/results/control_02_gate_check.json","$.verdict 行1100；$.review_status 行1078；$.experiment_summary（n_stabilized_within_window=7/16）；$.stage_B_scope 行1091-1097；$.gates.GC7.criterion PROVISIONAL","240fa708b53646a024bb0fd2d67085188dd7c81685515b69c4cdc5dc50edfc5e","2026-08-27","R5 PROVISIONAL 执行器/时窗模型下 7/16 STABILIZED_WITHIN_WINDOW；GC0-GC7 八项全 PASS；四案例独立重放差=0；推进剂下限独立审计逐行 0 差；脉冲量子 3.4e-4 N·m·s","不证明硬件有效 Stage-B 稳定性（L0=NOT_EVALUATED_NO_ACTUATOR_DYNAMICS，行1093）、A3 性能、FLEX 结论（UNKNOWN_NOT_IN_CRITERIA）；最坏残差 0.01077°/s=门槛 0.05°/s 的 21.5%（W1-R13 硬件触发项）；当前树 replay 12/24 HOLD 且测试管线有副作用（重写冻结 gate 后精确恢复）","执行器硬件实测缺失；当前 replay 副作用未消除；独立复审 PENDING","硬件组+控制工程+独立复审","partial","true（最小脉宽/轮力矩实测）","高（决赛 B 锚点消旋叙事只能按 PROVISIONAL 引用）","PASS_WITH_PROVISIONAL_SCOPE；claim_forbidden 含一切硬件有效/存活于占位替换的结论","实测到货后替换 R5 占位并重跑瞬态层（W1-R13）；消除 replay 副作用"
"ctrl","WAVE1 集成父 Gate（wave1-integration-gate-v2）","REPEAT","verdict=WAVE1_REPEAT；verdict_character=ALL_IMPLEMENTATION_DEFECTS_RESOLVED_REMAINDER_IS_PRESERVED_GENUINE_NEGATIVES；next_wave_authorized=false；main_branch_merge_authorized=false","10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json","$.verdict 行15；$.module_results 行95-227；$.integration_checks.red_team_completeness.key_findings_this_round（W1-R12/R13 OPEN_NEW）；$.global_stop_audit","ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf","2026-08-27","三模块集成级独立复现：CTRL-01 18 场景逐位、CTRL-02 逐位、SAFE-00 47/47 逐位；九项硬停检查全清；阈值冻结审计 PASS","不授权 Wave 2 或主干合并；CP6 治理关闭不改写机器 verdict","无（治理层 CP6 已收口；科学 verdict 原样保留）","PI","false","false","高（任何 Wave1 引用必须携带此 verdict 原文）","WAVE1_REPEAT 原样引用+负结果清单","无（保留为不可变记录）"
"ctrl","CP6 PI 终裁（方案 B 负结果收口）","VERIFIED","PI 采纳方案 B：Repeat 周期关闭、以文档化负结果收口；治理边界=不改写机器 verdict","10_research/partner_requirement_closure/wave1_repeat/wave1_cp6_ruling.md","全文 27 行；claims 限制段（行20-22）；W1-R12/R13 登记段（行23-25）","1eeea3ccffb1e4c379dac829da5555fe24d2af58a339202e030a1be5d754ae92","2026-08-27","claims 限定句式授权；C3 零空间按真零 +1.84e-5% 表述授权；硬件触发重跑登记","不构成 PASS 声明；合并主干仅为证据存档行为","无","PI","false","false","高","「冻结增益与预注册轨迹下」限定句式","无（已签署）"
"ctrl","SAFE-00 运行时安全门模块 Gate（safety-00-gate-v1）","VERIFIED","verdict=PASS；review_status=PENDING_REVIEW；next_stage_authorized=false；tests 47/47（tests.log TOTAL 行52+evidence_manifest passed=47）","30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json","$.verdict 行3；$.review_status 行9；$.next_stage_authorized 行8；$.gates.GS-A/GS-B/GS-C；$.metrics；$.cases[16]","ff56929dd8352e447afdb8b7d17c5ef0b248883c66bc4f00c16c50c6f4c46eee","2026-08-27","冻结合同与 16 预注册案例下：UNKNOWN 永不 ALLOW（unknown_allow_count=0）、12 绕过案例 0 成功（GS-B）、降级不乐观回退、HMAC 授权 fail-closed、同输入逐位确定性（16 案例）、registry 哈希匹配","不授予下一阶段或任何执行授权；模块 PASS≠执行权；gate JSON 中不存在 downstream_authorization 字段（语义由 next_stage_authorized=false+contract §6 承载）；当前树重放 23/47 HOLD_CURRENT_REPLAY","LOOP-6 后独立复审未完成；当前树 replay 漂移","安全独立复审方","partial","false","高（安全核叙事核心证据；但比赛演示为离线 command_emitted=false）","历史模块级 PASS（冻结范围）；禁止表述为已授权执行或运行时在线验证","完成当前树独立复审并消除 replay 漂移前，任何下游授权保持 false"
"ctrl","SAFE-00 安全合同文档（safety-gate-v1 / policy-v1.2）","VERIFIED","状态 FROZEN_FOR_SAFE_00_WAVE1；决策枚举 ALLOW/MODIFY/WAIT/BACKOFF/ABORT；物理状态 SAFE/UNSAFE/UNKNOWN","30_simulation/safety_00_runtime_gate/docs/safety_gate_contract.md","§1 行17-19；§2 行23-37（唯一注册候选 A_low-S1_passive）；§5 行77-88（HMAC≥32B fail-closed）；§6 行92-94","bd3b362aa440e49b0ad8a249e554cafe519c9a82051fd8761f7469dd321fe524","2026-08-27","UNKNOWN/不一致输入全部 fail-closed 为 ABORT/WAIT/BACKOFF 的合同原文；「机器 Gate PASS 不等于获准进入下一阶段」明文（§6）","不证明当前树实现与合同一致（replay HOLD）","生产密钥资格 W1-R01 开放","安全独立复审方","partial","false","高","合同层限定语","复审闭合 W1-R01"
"ctrl","R2 控制工程总 Gate（R2_CONTROL_ENGINEERING_GATE_V1）","HOLD","technical_verdict=HOLD_TASK_SPACE_UNIT_METRIC_UNBOUND__CONTROL_ENGINEERING_INCOMPLETE__NO_RELEASE_CREDIT；control_engineering_complete=false；next_stage_authorized=false","30_simulation/r2_control_engineering_closure/results/R2_CONTROL_ENGINEERING_GATE_V1.json","$.technical_verdict 行97；$.criteria[CG0-CG7]（8 项 engineering_pass 全 false）；$.hard_blockers[10]；$.execution_guards 全 false；$.source_binding 24/24","2740b33e7958b4af2232ed0a2a51cea830470d1c98d5ba46c39c43279a02adce","2026-08-27","候选打包层 CG0/CG3/CG5/CG6 packaging pass；来源绑定 24/24；backend/collision/contact/pair/edge/M01 调用计数全为 0 的机器证明","不证明任何控制工程完成、碰撞感知跟踪或执行信用；5D/6D 原始数值仅 RAW_MIXED_UNIT_DIAGNOSTIC_NO_CREDIT","任务空间特征长度/权重矩阵未冻结（红队发现单位拼接可翻转守卫）；10 项 hard_blockers","控制工程","true","false","中（claim 边界护栏）","R2_CONTROL_ENGINEERING_CANDIDATE_PACKAGING__NO_EXECUTION_RELEASE","冻结任务空间度量并重做 5D/6D singularity/DLS/残差 Gate（父裁决 §6 第3步）"
"ctrl","R2 动力学-控制联合 Gate（R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1）","HOLD","technical_verdict=R2_DYNAMICS_CONTROL_SYSTEM_HOLD__MECHANICAL_DYNAMICS_CONTROL_SAFE_SIM13_GATES_OPEN__NO_PATH_SEARCH__NO_RELEASE_CREDIT；13 条件仅 4 真；joint_system_ready=false","30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json","$.required_condition_evaluation（pass_count=4 total=13）；$.conditions；$.independent_review（receipt_sha256=37172A0F…）；$.upstream_manifest_audit（7 类清单全 PASS）","55490805d934a8806e58cda25c398bd15aef49f4624f1f8cc08fcb75f2634b03","2026-08-27","19/19 来源哈希绑定；上游七类清单逐行核验全过；独立红队凭据绑定且 P0/P1=0；unknown_auto_allow_count=0","control_engineering_pass=false；safe_independent_review_pass=false；sim13 binding/non-ABORT=false；path_search_executed=false；不授权 physics-gated embodied intelligence","机械/动力学/控制/SAFE/Sim13 五环全开","系统联合 Owner","false","true（硬件实测链）","中","FAIL_CLOSED_SYSTEM_JOIN__NO_RUNTIME_EXECUTION","按父裁决 §6 顺序推进后整体重发联合 Gate"
"ctrl","CTRL R2 预开发候选 Gate（CTRL_R2_PREDEVELOPMENT_GATE_V1）","LIMITED","verdict=CONTROL_PREDEVELOPMENT_CANDIDATE_BUILT__CURRENT_REPLAY_HOLD__INTEGRATED_RELEASE_HOLD；candidate_package_complete=true；non_abort_execution_credit=false","30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json","$.verdict 行225；$.criteria[C1 当前 replay 7/22、C4 CTRL02 12/24、C7 SAFE00 23/47 均 HOLD_CURRENT_REPLAY]；$.prohibited_claims[9]；$.remaining_holds[14]","ed4d8b7774c61317576df03b8dda1591ba1178b895ddc5fa7544ead9a7e59abe","2026-08-27","候选包 9/9 packaging 满足；Unified R2/14 模态静态适配器绑定 PASS_DIAGNOSTIC_ONLY；新工作测试 19/19；三模块当前树重放失败的机器记录","无碰撞感知执行信用、无集成 release、旧 CTRL01 精确复现未声明（NOT_CLAIMED_REORG04_NORMALIZED_HASH_DRIFT）","CTRL01/CTRL02/SAFE00 当前 replay 全 HOLD；执行器实测 pending 零填充禁止","控制工程+硬件组","partial","true（执行器实测）","中","CONTROL_PREDEVELOPMENT_CANDIDATE_BUILT_WITH_DECLARED_LIMITS__MODEL_AND_NOMINAL_TRACKING_ONLY","补独立 replay gate 与执行器 intake 实测"
"ctrl","ODR60 控制前沿快照（CURRENT_FRONTIER_ODR60_CTRL_V1，2026-08-27）","HOLD","legal_operation=CONTROL_PREDEVELOPMENT_ONLY；integrated_release_credit=false；collision_aware_execution_credit=false","30_simulation/control_r2_integrated_candidate/results/CURRENT_FRONTIER_ODR60_CTRL_V1.json","$.control（ctrl01_verdict=REPEAT；ctrl02_scope=PASS_WITH_PROVISIONAL_SCOPE；safe00 三字段；sim13_credit_scope）；$.mechanical","f1495589bac0b47b0265765fa89ea0977b4a280660dc6786309b973dde8cc566","2026-08-27","控制域各模块当前状态机器汇总（与父裁决一致）","不新增任何执行/集成信用","同联合 Gate","系统","false","false","中","CONTROL_PREDEVELOPMENT_ONLY","无（快照性质）"
