assumption_id,topic,current_value,source_class,status,permitted_use,prohibited_use,closure_trigger
LIA-001,launcher_identity,UNKNOWN,UNKNOWN,HOLD,requirements placeholder,hardware selection or qualification,approved launcher selection
LIA-002,deployer_identity,UNKNOWN,UNKNOWN,HOLD,requirements placeholder,packaging or structural compliance claim,approved deployer selection
LIA-003,separation_system_identity,UNKNOWN,UNKNOWN,HOLD,requirements placeholder,separation performance claim,approved separation system selection
LIA-004,interface_geometry,UNKNOWN,UNKNOWN,HOLD,keep-out branch preservation,fixture or boundary condition definition,controlled ICD
LIA-005,interface_coordinate_frame,UNKNOWN,UNKNOWN,HOLD,none,load vector application,controlled ICD
LIA-006,quasi_static_environment,UNKNOWN,UNKNOWN,HOLD,parametric symbols only,strength or buckling margin,controlled load spectrum
LIA-007,dynamic_environment,UNKNOWN,UNKNOWN,HOLD,test matrix placeholder,sine/random/acoustic qualification,controlled spectra and tolerances
LIA-008,separation_shock_environment,UNKNOWN,UNKNOWN,HOLD,parametric symbols only,SRS or mechanism margin,controlled SRS/test data
LIA-009,model_strategy,EM_EQM_PFM_FM_UNSELECTED,UNKNOWN,HOLD,branch planning,qualification or acceptance level choice,Owner-approved model philosophy
LIA-010,competition_prototype_scope,ONORBIT_DIGITAL_RESEARCH_BASELINE,AUTHORIZED,ACTIVE,research and requirements development,flight or launcher compatibility claim,not applicable until flight candidate scope authorized
