subsystem,mass_interface,volume_interface,mounting_interface,power_interface,thermal_interface,data_interface,adcs_interface,keepout_interface,stage1_status,notes
servicer_structure,mass and inertia allocation,12U body envelope,rail or tab reference,TBD,thermal path TBD,TBD,affects total inertia,rail contact zone,placeholder,Not final CAD
front_task_bay,bay allocation,front volume envelope,front task face,TBD,thermal isolation near robot,camera and robot links,affects LOS and reaction,robot workspace keepout,placeholder,Main mission bay
middle_bus_bay,bay allocation,middle volume envelope,internal stack rails,TBD,bus thermal path,data backplane placeholder,hosts RW and IMU,internal service keepout,placeholder,Bus concentration area
rear_service_bay,bay allocation,rear volume envelope,rear interface,TBD,propulsion thermal isolation,comms link placeholder,disturbance note needed,antenna and plume keepout,placeholder,Service bay
robot_arm_equivalent,robot mass from model or estimate,folded and swept volume,adapter flange,power harness placeholder,thermal isolation note,robot command link,base reaction source,robot motion keepout,placeholder,Use reBot-DevArm_fixend.urdf in Stage 2
robot_mount_adapter,adapter mass and inertia,adapter volume,front mounting plate,TBD,thermal isolation note,F/T virtual interface,base reaction path,rail and protrusion keepout,placeholder,Must output T_SB
camera_payload,camera mass estimate,FOV and body volume,camera bracket,power placeholder,data stream,LOS supports navigation,FOV keepout,placeholder,Must output T_SC
obc_cdh,component mass estimate,card or box placeholder,internal stack,power input,thermal path,data hub,ADCS data routing,internal keepout,placeholder,OBC CDH placeholder
eps_pmad,component mass estimate,card or box placeholder,internal stack,power distribution,thermal path,telemetry link,ADCS power support,internal keepout,placeholder,EPS PMAD placeholder
battery_pack,component mass estimate,battery volume,internal mount,power storage,thermal isolation,telemetry link,affects CG,internal keepout,placeholder,Battery placeholder
reaction_wheel_set,cluster mass and inertia,cluster volume,rigid internal mount,power input,thermal path,command telemetry,primary ADCS actuator,internal keepout,placeholder,Placement affects inertia and control narrative
imu,small mass estimate,sensor volume,rigid internal mount,power input,thermal stability,data to ADCS,primary inertial sensor,magnetic and vibration keepout,placeholder,IMU placeholder
communication_unit,component mass estimate,box plus antenna link,rear or side mount,power input,thermal path,RF data link,attitude pointing note,antenna keepout,placeholder,Communication placeholder
propulsion_placeholder,allocation only,tank or thruster volume,rear service bay,power TBD,thermal and plume isolation,TBD,disturbance source,plume keepout,placeholder,No selected propulsion design
thermal_control_placeholder,allocation only,surface area placeholder,body surface,TBD,thermal control surface,TBD,may constrain sensor placement,thermal isolation zone,placeholder,Do not block radiator surfaces
solar_panel_left,panel mass estimate,stowed and deployed envelope,side hinge or bracket,power generation,thermal surface,TBD,deployable disturbance note,panel keepout,placeholder,Keep outside robot workspace
solar_panel_right,panel mass estimate,stowed and deployed envelope,side hinge or bracket,power generation,thermal surface,TBD,deployable disturbance note,panel keepout,placeholder,Keep outside robot workspace
antenna_placeholder,small mass estimate,stowed and deployed envelope,rear or side bracket,power/data TBD,thermal note,RF interface,pointing note,antenna keepout,placeholder,Check robot collision
harness_placeholder,allocation only,routing volume,cable tie points,power routing,thermal and strain relief,data routing,TBD,cable bend keepout,placeholder,Reserve routing corridors
