row_id,case_class,band_id,band_flag,t_hot_degC,t_cold_degC,delta_T_K,interface,metric,material_scenario,value,unit,value_kind,margin_reference_id,margin_reference_value,margin_consumption_ratio,margin_impact,authority_level,notes
WP8-0001,HOT,GEVS_TYP_MAX_PREDICTED_FLIGHT,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,45.0,-5.0,25,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,180.799854771,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0002,COLD,GEVS_TYP_MAX_PREDICTED_FLIGHT,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,45.0,-5.0,-25,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,-180.799854771,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0003,HOT_TO_COLD,GEVS_TYP_MAX_PREDICTED_FLIGHT,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,45.0,-5.0,50,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,361.599709542,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0004,HOT,GEVS_TYP_OPERATIONAL,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,50.0,-10.0,30,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,216.959825725,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0005,COLD,GEVS_TYP_OPERATIONAL,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,50.0,-10.0,-30,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,-216.959825725,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0006,HOT_TO_COLD,GEVS_TYP_OPERATIONAL,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,50.0,-10.0,60,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,433.91965145,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0007,HOT,GEVS_TYP_ACCEPTANCE_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,55.0,-15.0,35,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,253.119796679,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0008,COLD,GEVS_TYP_ACCEPTANCE_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,55.0,-15.0,-35,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,-253.119796679,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0009,HOT_TO_COLD,GEVS_TYP_ACCEPTANCE_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,55.0,-15.0,70,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,506.239593358,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Hot-to-cold end-state excursion (T_hot-T_cold); linear model makes the swing reference-temperature independent. Constant-CTE analytic model; cold side extrapolates Al CTE candidates below their 20-100 degC source interval and uses null-interval Ti/fastener values -- ASSUMPTION, not environment authority. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
WP8-0010,HOT,GEVS_TYP_PROTOFLIGHT_TEST,ASSUMPTION_CANDIDATE_BAND_GEVS_TYPICAL,60.0,-20.0,40,M3R_B601_JOINT,preload_drift_N,BOLT_A286__MEMBER_AL6061,289.279767633,N,ANALYTIC_DERIVED_BOLT_CTE_ASSUMPTION_MEMBER_CTE_CANDIDATE,,,,NOT_ASSESSABLE_PRELOAD_AUTHORITY_PENDING_WP4_SIBLING,ANALYTIC_DESIGN_ASSUMPTION_LEVEL,"Constant-CTE analytic model inside/near source interval; candidate CTEs, not allowables. Proof-load context: A286 min-proof reference 5750.0 N (public distributor x derived stress area); initial preload authority = WP4 TORQUE_PRELOAD_SCHEDULE_V1 (PENDING_SIBLING_HASH)."
