# COMPETITION_REQUIREMENT_STATUS=UNKNOWN_BLOCKING_FORMAT_CONFIRMATION (P0: 仓内无 2026 正式参赛要求文件, Owner 须立即从官方渠道下载并登记入 01_project/inbox/source_manifest.csv; 禁止以往届规则替代; 证据: fragments/compdeliv/findings.md §A.1 零官方文件命中 + blockers.csv B-CD01)
requirement_item,expected_source,in_repo_status,evidence_path,authority_level,user_provided_background_non_authoritative,action_owner,deadline_relevance,notes
正式参赛指南/竞赛通知,大赛组委会 2026 第十二届正式文件(官网/通知 PDF),MISSING,"90_competition_closeout/20260827_current_state_audit/fragments/compdeliv/gate_rows.csv row official_2026_competition_requirements_doc (Grep 参赛指南/竞赛通知/提交要求/参赛手册/大赛章程/未来飞行器/研赛 等关键词在 01_project+50_literature+80_third_party 零官方文件命中); 01_project/inbox/source_manifest.csv (sha256_12=7d1d733eb792, 仅 2 行协作者输入)",NONE,"用户任务书称「未来飞行器研究生大赛」且提交硬截止 2026-09-01(背景口径, 非仓内权威)",Owner,P0_BLOCKING,不解决则 9-01 无法合规提交(B-CD01); 禁止以归档 0715 描述或往届规则静默替代
项目报告模板(技术报告书模板),官方报告书模板/格式规范,MISSING,fragments/compdeliv/findings.md §B.2.1 (Glob **/*.tex 零命中; 01_project 下无报告书 docx/pdf; 10_research/paper1_architecture.md sha256_12=6df2bec70a72 是 Acta Astronautica 期刊论文架构草稿非比赛报告书),NONE,,Owner+写作线,P0_BLOCKING,"比赛技术报告书母稿不存在(B-CD02); 初赛网评报告书(按归档描述)无母稿, 5 天内需从零编写并逐 claim 绑定 gate JSON"
报名/提交字段(报名系统/提交入口/必填字段),官方报名系统字段清单或截图,MISSING,fragments/compdeliv/findings.md §A.1 (报名/提交/submission/deliverable 关键词零命中),NONE,,Owner,P0_BLOCKING,提交动作本身无字段依据; 须 Owner 提供报名系统字段并登记 source_manifest
技术类是否强制实物(实物/模型/现场演示要求),官方参赛指南技术类条款,MISSING,"要求侧: 仓内无官方文件(NONE_FOUND_IN_REPO); 能力侧: 10_research/competition_convergence/competition_gate_check.json $.hardware_component_status B601_MOTION=PROHIBITED+H0/H1/H2 NOT_STARTED (sha256_12=8b3cdbdaa09e); 归档 01_project/competition/archive/项目现状总览_20260715.md 第 11 行称「决赛现场答辩+可选实物」(sha256_12=e65cf431ba00, AGENTS.md L14 禁作现行依据)",NONE,,Owner,P0_BLOCKING,"决策问题 18=UNKNOWN(compdeliv §A.2); 若实物必需则与当前机器禁止状态直接冲突, 须 Owner 裁决是否启动硬件流程"
初赛 vs 决赛材料差异,官方赛程与材料清单,MISSING,"唯一仓内描述为归档文件 01_project/competition/archive/项目现状总览_20260715.md 第 11 行「初赛纯网评(报告书+附件), 决赛现场答辩+可选实物」(sha256_12=e65cf431ba00, 归档禁作现行依据); 现行 01_project/competition/项目现状总览_20260720.md (sha256_12=184cacb060fc) 对 初赛/决赛/报告书/展架/视频/答辩/实物 七关键词零命中",NONE,,Owner,P0_BLOCKING,决策问题 17=UNKNOWN; 归档描述仅作背景线索
技术论文格式(若要求论文体),官方论文格式条款,MISSING,fragments/compdeliv/findings.md §A.1/§B.2.1 (无论文格式官方文件; 无报告书母稿),NONE,,Owner+写作线,P0_BLOCKING,与报告模板行同源缺口; 10_research/paper1_architecture.md 可作素材池但须从 gate JSON 复核引用数字
视频格式/分辨率/大小/时长,官方视频要求条款,MISSING(要求侧)+VERIFIED(资产侧),"要求侧: NONE_FOUND_IN_REPO; 资产侧: 40_evidence/artifacts/competition_convergence/competition_mission_intelligence_demo.mp4 (sha256_12=7043d026cef6, 1572615 B, h264 1920x1080 54.97s 30fps) 与 evidence_asset_manifest.json (sha256_12=33b7bfbf8682) 逐字节一致(2026-08-27 复算); Gate VIDEO_PACKAGE 记录见 competition_gate_check.json (sha256_12=8b3cdbdaa09e)",NONE(要求)/VERIFIED_ASSET(资产),用户背景未提供视频要求细节,Owner,P1,资产合规性不可判定(官方格式 UNKNOWN); 官方要求确认后核对分辨率/码率/时长/大小上限
PPT 要求(答辩演示),官方答辩材料条款,MISSING(要求侧)+VERIFIED(资产侧),"要求侧: NONE_FOUND_IN_REPO; 资产侧: 40_evidence/artifacts/competition_convergence/competition_mission_intelligence_demo.pptx (sha256_12=9deff92b539c, 177259 B, 9 页) 与 manifest 逐字节一致; 另有 9 张 1280x720 slide PNG",NONE(要求)/VERIFIED_ASSET(资产),,Owner,P1,现有 PPT 为离线回放演示 deck; 不证明内容覆盖官方报告/答辩模板字段(B-CD02 关联)
展架图,官方展架条款(尺寸/版式),MISSING(要求+资产双缺),fragments/compdeliv/findings.md §B.2.2 (展架/poster 文件名搜索零命中),NONE,,Owner,P1,B-CD06; 因官方要求本身 UNKNOWN 暂列 P1; 要求确认后再排期制作
作品照片,官方照片条款(数量/内容),MISSING(要求+资产双缺),fragments/compdeliv/findings.md §B.2.2 (照片/作品照片零命中) + competition_gate_check.json $.hardware_component_status B601_MOTION=PROHIBITED (sha256_12=8b3cdbdaa09e),NONE,,Owner,P1,B-CD06; 若要求实物照片则需外部硬件流程且与 B601_MOTION=PROHIBITED 冲突
