line,status,authority_path,verdict_or_notes
LINE_A_COMPETITION,DELIVERY_READY_OFFLINE,10_research/competition_convergence/competition_gate_check.json,COMPETITION_DEMO_READY 17/17; next_stage_authorized=false; command_emitted=false; assembly-independent; media rendered 08-04 (mp4 55s + pptx 9p); official submission template NOT in repo
LINE_B_SCIENCE_SIM10,VERIFIED_FROZEN,30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json,SIM10_GATES_PASS
LINE_B_SCIENCE_SIM11,VERIFIED_FROZEN_PROVISIONAL,30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json,"SIM11_GATES_PASS_WITH_PROVISIONAL_PARAMS; next_stage_authorized=true (provisional fields: panel params, T_c=20ms)"
LINE_B_SCIENCE_SIM12,VERIFIED_FROZEN,30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json,SIM12_PHASE1_GATES_PASS
LINE_B_SAFETY,PASS_PENDING_REVIEW,30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json,verdict=PASS; review_status=PENDING_REVIEW; next_stage_authorized=false
LINE_B_CTRL01,NEGATIVE_RESULT_CLOSED,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,verdict=REPEAT (CP6 closed)
LINE_B_CTRL02,PASS_PROVISIONAL_SCOPE,30_simulation/control_02_base_attitude/results/control_02_gate_check.json,verdict=PASS top-level; scope=provisional actuator/timing (see claim_allowed/scope_resolution)
LINE_B_MUJOCO_PRECONTACT,DIAGNOSTIC_PASS_PARENT_HOLD,30_simulation/r2_mujoco_free_floating_precontact_v1/results/R2_MUJOCO_FREE_FLOATING_PRECONTACT_GATE_V1.json,achieved_claim=R2_MUJOCO_FREE_FLOATING_PRECONTACT_CROSS_SOLVER_DIAGNOSTIC_PASS__PARENT_..._HOLD; 6/6 groups
LINE_B_SIM13,PARTIAL_HOLD,30_simulation/sim_13_physics_gated_embodied_grasping/,"v2 system rebind (23/23 candidate), v3 in-memory diagnostic, v4 synthetic contact chain (A/B1-B4G); historical 15/20 remains"
LINE_B_E23,PASS,30_simulation/e23_r2_full_flex_coupled_recert/results/E23_R2_FULL_FLEX_COUPLED_GATE_V1.json,E23 18/18 per AGENTS.md (re-verify before citation)
LINE_B_E15_LEGACY,NEGATIVE_RESULT_FROZEN,30_simulation/e15_ancf_certification/results/gate_summary.json,REPEAT_ANCF_CERTIFICATION kept
LINE_C_MECHANICAL_RELEASE,NOT_RELEASED,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json,TERMINAL_CLOSURE_EXECUTED__GATE_A_NOT_PASSED__TMG4_TM6_INTERNAL_BLOCKERS__NO_RELEASE_CREDIT; TMG-4=HOLD (E_HRN 0/75 SAFE); TMG-6=FAIL_15_OF_20
LINE_C_MECHANICAL_R2_AUTHORITY,LOCAL_ONLY_APPEND,01_project/competition/CURRENT_R2_AUTHORITY_DELTA_V8.json,"V8: Link2-B12 24/24 local; system 1/150 operational, 0/11166 pair, 0/3 stage, path_search=false; release_credit=false"
LINE_D_PAPER1,STRUCTURE_FROZEN_MANUSCRIPT_NOT_STARTED,10_research/paper1_architecture.md,architecture v1.0 + structure plan frozen; no manuscript text; Fig5-7 BLOCKED; literature 44 PDF/29 cards; 08-23 novelty ruling (red/green lines)
LINE_E_GIT,HEAD_5C5ADDE,.git,"branch=publication/stage3-integrity-closure @5c5adde; 21 worktree registrations (2 prunable, 1 missing-path); porcelain dirty ~179 (mostly untracked governance/PL1/PL2 outputs)"
LINE_E_GOVERNANCE_PL1,EXECUTED_QUARANTINE,01_project/governance/sei_pl1_cleanup_20260828/,220 dup files quarantined (331MB) + 94 ephemeral deleted; hard delete forbidden before 2026-09-15
