gate,deadline,criterion,status_20260711,evidence
Gate A,2026-07-16,sim_06可信度封口(守恒/极限工况/独立交叉),PASSED early (07-10),sim_06 tests 25/25 rerun 07-11; tag gate-a-capture-impulse-v1
Gate B-1,2026-07-20,ANCF可信基准曲线,PASSED early (07-10),benchmark 5/5 rerun 07-11
Gate B-2,2026-07-20,捕获激励任务响应,PASSED (07-11),sim_07a 6 cases + R1/R2/R3
Gate C,2026-08-05,6R反作用降低数值证明(否则弃RNS表述),OPEN - path proven,nullspace analysis: 3DOF exact zero-reaction solutions exist at 6/6 configs; Case B QP pending (P0-2)
Gate D,2026-08-10,五张核心图齐,OPEN 2.5/5,fig5 done; fig2 half (Case A); fig1/3/4 pending P0-5/P0-3
D-1,frozen,接口160x160x12+O100,FROZEN,20_engineering/config/geometry/arm_mount_v1.yaml
D-2,frozen,T_SM nominal_frozen_v1,FROZEN,SSOT sec3.1; untouched (constraint 7 compliant)
D-4,frozen,f1=1.0Hz nominal + 0.7/1.3 envelope,FROZEN,flexible_appendage_v1.yaml; envelope f1 reproduced 0.7001/1.0002/1.3002
D-5,adopted,B601 6R mainline,ADOPTED with constraint-3 caveat,arm_b601_v1 hybrid used in sim_05; pure DevArm_fixend re-baseline = P0-1
mass-split,frozen,23.3032134 + 2x0.3483933 = 24.000,FROZEN & auto-checked,mass_split_check.py rerun err=0.0
pending,user,实物臂称重(confidence medium->high),WAITING USER,arm_b601_v1.yaml pending field
