asset,current_path,classification,target_root,action,risk,evidence_ref
"ROOT A active project (SEI Space Embodied Robot / B601)","F:\China Graduate Future Flight Vehicle Innovation Competition",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-A/PL1_PROJECT_ASSET_DISCOVERY.csv row A; git HEAD 5c5adde verified"
"Project control (governance/competition/inbox + PL1_MAINLINE_20260808)","ROOT_A\01_project",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-A discovery; PL1-G deliverables live here"
"Reviews dir (EMPTY at HEAD)","ROOT_A\08_REVIEWS",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,MED,"PL1-E SAFE00 thread T5: LOOP-6 review records absent here"
"Research tree (incl. dirs restored by PL1-G salvage)","ROOT_A\10_research",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-E INTELLIGENCE_CONTROL_MAINLINE; PL1-G SALVAGE_COPY_MANIFEST rows 8-17"
"Engineering tree (current)","ROOT_A\20_engineering",ROOT_A_ACTIVE_PROJECT,ROOT_A,none,LOW,"PL1-B MECHANICAL_ENGINEERING_MAINLINE"
"F3R1 native mechanical integration (363 files, KEEP_UNTIL_F3R2)","ROOT_A\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, 363/363 sha-identical)",MED,"PL1-G SALVAGE_COPY_MANIFEST row 1; still git-untracked + no cold backup (DR gap)"
"F3R2 terminal closure (482 files, baseline gate 11/14 PENDING_HUMAN_REVIEW)","ROOT_A\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, 482/482 sha-identical)",MED,"PL1-G SALVAGE_COPY_MANIFEST row 2; ratification is a human gate"
"F3 terminal audit (31 files)","ROOT_A\20_engineering\F3_MECHANICAL_TERMINAL_AUDIT_20260806",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, sha-identical)",LOW,"PL1-G SALVAGE_COPY_MANIFEST row 3; PL1-B lineage (F3_FIRST_PROGRESS_REPORT)"
"F3_P5 structural closure candidate (129 files)","ROOT_A\20_engineering\F3_P5_structural_closure_candidate",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, sha-identical)",LOW,"PL1-G SALVAGE_COPY_MANIFEST row 4"
"Engineering design inputs (37 files)","ROOT_A\20_engineering\design_inputs",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, sha-identical)",LOW,"PL1-G SALVAGE_COPY_MANIFEST row 5"
"Engineering design reviews (39 files)","ROOT_A\20_engineering\design_review",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, sha-identical)",LOW,"PL1-G SALVAGE_COPY_MANIFEST row 6"
"Parameter registry (5 files; referenced-but-absent before salvage)","ROOT_A\20_engineering\parameter_registry",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, sha-identical)",LOW,"PL1-G SALVAGE_COPY_MANIFEST row 7; PL1-E HOLD-2"
"space_embodied_robotics research docs (89 files)","ROOT_A\10_research\space_embodied_robotics",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, sha-identical)",LOW,"PL1-G SALVAGE row 8; PL1-E HOLD-2 (comp_prot prototype contracts)"
"research_questions / theory_graph / contribution_map / research_os_01 / research_os_02","ROOT_A\10_research\(5 dirs)",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, sha-identical)",LOW,"PL1-G SALVAGE rows 9-13; finding 10 / PL1-E HOLD-2"
"comp_prot_03_a4_b5_* CAD-lineage doc dirs (3 dirs, 4 files)","ROOT_A\10_research\comp_prot_03_a4_b5_*",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, sha-identical)",LOW,"PL1-G SALVAGE rows 14-16; PL1-E HOLD-2"
"mechanical_design_progress_gallery_20260729 (5 files)","ROOT_A\10_research\mechanical_design_progress_gallery_20260729",ROOT_A_ACTIVE_PROJECT,ROOT_A,"copy (DONE 2026-08-08, sha-identical)",LOW,"PL1-G SALVAGE row 17"
