# 06_CLAIM_EVIDENCE_MATRIX (SYN-B, 2026-08-27, read-only synthesis)
# claim_class 词表: CORE(五类核心主张+支撑性物理证据行) / BASELINE_ONLY(仅 baseline/工具层引用) / FORBIDDEN_NOW(当前禁止主张) / BOUNDARY_PRIOR_ART(红线 prior-art 边界行)
# 纪律: 引用数字勿改; 检索截止 2026-07-18 + 2026-08-23 补检(见各 boundary 行); 子 PASS 不升级父 Gate; UNKNOWN≠EXECUTE; source-only≠current-system; 模块 PASS≠执行授权
claim_id,claim_text_zh,claim_class,evidence_path,row_locator,sha256_12,domain_of_validity,limitations,status
C1,"最优捕获策略是 binding gate(当前绑定物理约束)的函数: A_low→S1_passive, B_anchor→ABORT, C_transition→S3a_wheel_bias, D_extreme→ABORT",CORE,30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json,$.gates.GS2_differentiation.best_per_case + $.gates.GS3_claim_audit.allowed[0](允许措辞原文) + $.gates.GS1 max_eps_H=3.849848861643484e-16; 辅证 results/strategy_results.csv 17 行=16 例+表头(sha256_12=f538676005ce),a416c1348111,冻结 16 例工况+刚体+轮组/推力器账本; GS1 守恒机器精度,flex_status=UNKNOWN_NOT_IN_CRITERIA 不入判据; 禁止外推到 16 例之外工况与无条件策略排序; S3b 预注册断言未入集; 措辞以 GS3 允许清单原文为准,SUPPORTED_WITHIN_FROZEN_SCOPE
C2,"多门失效闭合任务可行域成立: 9002 物理点/72016 门行四门 fail-closed 扫描, 分账 6323 wheels-only/1858 rate/730 thruster/91 resource; 双锚点逐位落回 sim_06(碎片 3.0633304945807067 dps→INFEASIBLE_RATE, 卫星 1.3872061825379134 dps→WHEELS_ONLY)",CORE,30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json + 30_simulation/sim_06_capture_impulse/results/capture_impulse_matrix_v0.csv + 30_simulation/sim_08_detumble_actuator_budget/results/actuator_budget_sweep.csv + 10_research/framework_convergence/claim_evidence_matrix.csv,"sim_10: $.verdict=SIM10_GATES_PASS + $.scan_summary.n_physics_points=9002/n_gate_rows=72016 + $.gates.X1_anchors_vs_sim06.checks[0].w_plus_dps + $.gates.X3 vs sim_08 rel 7.2e-07; sim_06 CSV 第 15 行 post_rate_full_dps=3.06333(第 34 行卫星 1.38721); sim_08 CSV target_debris_v0,3.0 行 H_Nms=3.65099(12x 轮组, 推进剂 124.0992 g); framework 矩阵 C13 行",4dbd8c91ff34 ; 8cbad84b8ff6 ; 1f0d45349565 ; 7d296e7a2437,刚体边界+冻结执行机构 CLASS 档+t_detumble_max=3600 s 任务假设,"FLEX=UNKNOWN_NOT_IN_CRITERIA; 执行机构档为 placeholder CLASS 值; G3 致密球无 CAD 锚点; R 哈希锁对当前树 STALE(REORG04 路径改写, 850f49da→006c6cc5/400bcedc→75af082a, git diff 证实语义等价; 重跑须先重钉); G1 过渡带 λ 单调性预期被证伪(worst_dip_rel=1.0790% @ μ=0.5141, 亚分辨率, $.gates.X2)须如实并置",SUPPORTED_WITHIN_FROZEN_SCOPE
C3,局部冲量改善可能恶化全局角动量/资源: B_anchor 中 S2 使接触冲量模 |J| 下降(0.194 vs S1 0.338 N·s)但使系统质心惯性系 |H| 标量上升(+0.873); 外部矢量角冲量 |ΔH_vec|=1.43508 N·m·s 与 |H| 标量变化不得混用,CORE,30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json + 10_research/sim_12/momentum_ledger.md + 30_simulation/sim_12_strategy_feasibility/docs/strategy_comparison_report.md,"gate $.gates.GS3_claim_audit.allowed[1](B_anchor S2 impulse 0.194 vs S1 0.338 while H increases) + forbidden[0](momentum shaping always improves capture 禁写); momentum_ledger.md L30(|ΔH_vec|=1.43508 矢量, dv=0.037475 m/s, 推进剂 1.69 g; |H| 标量净变 +0.873「勿混用」); strategy_comparison_report.md L13/L20(S3a θ=0 名义省 13x: 3.0 g vs ~40 g; B/D 瓶颈为速率门→ABORT)",a416c1348111 ; 77e34aff3e28 ; 5bb7c6a71677,已入账 16 例+名义 θ=0 预置; GS1 s2_vector_closure_max=2.2e-16 机器分账,矢量 |ΔH_vec| 与标量 |H| 严格分行列; θ≥60° 预置收益归零甚至劣化; 单指标改善不构成任务可行; S3a 为候选策略类不得包装成新抓捕方法(查新 §2 row1),SUPPORTED_WITHIN_FROZEN_SCOPE
C4,候选—物理评价—SAFE—传统控制的分层架构成立(架构贡献口径): L4 候选→L0/L3 物理求值→L1 安全授权→L2 实时控制; EXECUTE/MODIFY/ABORT 均为离线解释标签,CORE,10_research/on_orbit_assembly/dual_mission_literature_synthesis.md + 30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json + 30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json + 30_simulation/control_02_base_attitude/results/control_02_gate_check.json + 10_research/competition_convergence/competition_gate_check.json,"synthesis §2 合法执行链 + §5.4(execution_authority=false, command_emitted=false); SAFE-00 gate $.verdict=PASS(行3) + $.review_status=PENDING_REVIEW(行9) + $.next_stage_authorized=false(行8) + $.metrics.unknown_allow_count=0 + GS-B 12 绕过案例 0 成功; CTRL-01 gate $.verdict=REPEAT(行6, 「冻结增益与预注册轨迹下」限定); CTRL-02 gate $.verdict=PASS(行1100) + $.review_status=PENDING_REVIEW(行1078) + 7/16 STABILIZED 仅 R5 PROVISIONAL 模型; competition_gate $.final_verdict=COMPETITION_DEMO_READY 17/17(行218/212-213) + $.scenario_actions(行241-245)",88118670c35d ; ff56929dd835 ; ab1fd26978f4 ; 240fa708b536 ; 8b3cdbdaa09e,架构/合同/离线回放口径; 冻结合同与 16 预注册案例下的 SAFE 机器证据,"L4 具身层 PLANNING ONLY(PROJECT_CURRENT_STATUS.md EMBODIED_AI 行, cce6517b4cd5); SAFE PASS≠执行授权(合同 §6, bd3b362aa440); 真实闭环轨迹证据不存在(全部 sim/synthetic, 执行器 152/152 实测 null); CTRL-02 L0=NOT_EVALUATED_NO_ACTUATOR_DYNAMICS",SUPPORTED_AS_ARCHITECTURE_OFFLINE_ONLY
C5,"负结果与 UNKNOWN 的机器可审计治理链完整: 覆盖/科学/认证/授权四分离; e15 REPEAT, CTRL-01 REPEAT, WAVE1_REPEAT, sim_12 B/D ABORT 等硬负结果全部保留且 IMMUTABLE",CORE,10_research/contribution_map/paper1_contribution_map.md + 30_simulation/e15_ancf_certification/results/gate_summary.json + 10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json + 30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json + 30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json,"contribution_map C4 段 L48-59; e15 gate $.overall=REPEAT_ANCF_CERTIFICATION + $.cross_solver_diagnostic.max_relative_difference=0.05637349419858036; wave1 gate $.verdict=WAVE1_REPEAT(行15) + CP6 治理关闭不改写机器 verdict(wave1_cp6_ruling.md 行16-17, 1eeea3ccffb1); SAFE-00 $.metrics.unknown_allow_count=0; sim_12 gate $.gates.GS2 B_anchor/D_extreme→ABORT(REPEAT_CORE 策略空间复现)",3453adfe30e7 ; aab4d609e219 ; ef49240d9047 ; ff56929dd835 ; a416c1348111,证据治理与审计链口径(项目内机器登记),治理本身学术新颖性未系统检索(C4 remaining_gap 自声明); 治理证据≠任何执行/发布授权,SUPPORTED_WITHIN_FROZEN_SCOPE
S1,"支撑性物理证据(服务 C2/C4 物理链): B601 6R 自由漂浮臂致基座姿态扰动峰值 19.199852° @ t=8.00 s, 全程动量守恒 7.3e-17",CORE,30_simulation/sim_05_free_floating_arm/results/sim_05_base_attitude.csv + 30_simulation/sim_05_free_floating_arm/README_sim_05.md,CSV base_dev_angle_deg 列 601 行 max=19.199852 @ t=8.00 s; README L113(19.20° at t=8.0s) + L96 dyn2 worst residual 7.3e-17<1e-10,d543fff76f13 ; 181eba2721e7,刚体动量级运动学反作用; 无关节力矩/柔性/接触,"URDF 惯量为厂商值(实物称量 pending); headline q2=+60° 超 URDF 限位, 仅动力学基准; 不得外推柔性帆板或捕获接触",VERIFIED_SOURCE_FROZEN
S2,"支撑性物理证据(服务 C2/C4): ANCF 帆板点捕获激振 vs 刚性锁定约 92×(92.1–92.4×), 振铃 5% 衰减 37.03–75.17 s",CORE,30_simulation/sim_07_ancf_flexible/results/task_response_summary.csv,"CSV 6 行: 6dof_rigid_lock tip 5.235789/3.674004/2.827378 mm vs 3dof_point 0.056821/0.039768/0.030597 mm; t5pct_s 列 37.03–75.17(t5_method=fit_extrapolated 窗外推, 与单模态理论偏差 <4%)",df29073bdb6c,组件级阶段 A 单向耦合(假设 A1 基座不接收柔性反馈); 3DOF 面外数值仅下界(假设 A3),帆板质量 0.348 kg 为 SSOT 占位(真实 2–5 kg/m² 差 5–10 倍); 整星双向耦合结论归 sim_11; 引用须注明组件级单向口径,VERIFIED_COMPONENT_ONE_WAY
S3,"支撑性物理证据(服务 C2/C4): 柔性耦合捕获有限接触窗路径闭合: 窗内组合动量守恒 2.7346e-14, 能量审计 8.4597e-11, A2 守恒 |H_O|=3.6782586304198084/|L_C|=3.7213991753489832 N·m·s, 帆板振铃约 2.07 mm @ 1.0009 Hz",CORE,30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json,"$.verdict=SIM11_GATES_PASS_WITH_PROVISIONAL_PARAMS; $.gates.G1 A2_bw20_window_drift=2.7346180875298387e-14; $.gates.G2 A2_bw20_window_audit_rel=8.459748222451578e-11; $.gates.G4.values.A2_ideal.m3; $.provisional_fields=[n_modes,mode_shape,stiffness_case,zeta_modal,contact_T_c]",9309f5325271,路线 A 浮动基座树形多体+FFR(m=3)+B601 6R+有限接触窗; 占位参数口径,"T_c=20 ms 名义与帆板模态全占位(scene_A2_capture.yaml L25, 4b979a1dfd18); A1「柔性反馈可忽略」结论在真实帆板面密度下可能翻转(AGENTS.md 待办3); 引用必须带 PROVISIONAL 声明",SUPPORTED_WITH_PROVISIONAL_PARAMS
S4,"支撑性物理证据(服务 C2/C4 可信度): R2 全柔耦合重认证 18/18: HF→ROM 七模态 0.271439%≤1%(精确复现 ROM5 falsifier 预言), Radau/BDF 交叉 1.8137e-05≤5%, 刚化退化 0.0, 独立重算 33/33",CORE,30_simulation/e23_r2_full_flex_coupled_recert/results/E23_R2_FULL_FLEX_COUPLED_GATE_V1.json + 30_simulation/e23_r2_full_flex_coupled_recert/results/E23_INDEPENDENT_RECOMPUTE_V1.json,gate $.technical_verdict=PASS_WITH_DECLARED_PROVISIONAL_PHYSICS + $.summary 18/18 + $.key_metrics.hf_to_rom_seven_mode_max_relative=0.0027143911284986865 + cross_solver_max_relative=1.8136532292893113e-05 + rigid_degeneration=0.0; recompute $.summary passed 33/33,1ad4993fd9df ; 93951e31f20e,声明临时物理参数(EI/GJ/k_theta/zeta 为 PROVISIONAL_DERIVED)下的诊断检查点级证据,"review_status=PENDING_OWNER_REVIEW 且 next_stage_authorized=false, release_credit=false; 不授予任务/发布放行; e15 legacy 维持 REPEAT; sim10 权威 NOT_INHERITED; 引用带 PENDING_OWNER_REVIEW+PROVISIONAL 双标签",PENDING_REVIEW_DIAGNOSTIC_LEVEL
B1,spin matching(自旋匹配)类捕获前对准技术,BASELINE_ONLY,30_simulation/sim_12_strategy_feasibility/results/strategy_results.csv + 01_project/competition/文献查新裁决_claim边界_20260823.md,"strategy_results.csv 16 例内 S 系列候选行; 查新裁决 §1/§2 表(momentum feedforward/整形类红线, Wang 2026)",f538676005ce ; 3be39f02c15a,仅作 baseline/候选策略类引用(冻结 16 例内),"禁作核心创新声称; 禁止泛化为「momentum shaping 总是改善捕获」(GS3 forbidden[0], a416c1348111)",BASELINE_ONLY
