domain,item,current_status,verdict,authority_path,json_key_or_row_locator,sha256,last_verified,what_it_proves,what_it_does_not_prove,open_blocker,blocker_owner,internally_closable,external_input_required,competition_relevance,claim_ceiling,next_minimum_action
"mech","RELEASE_GATE_A_TERMINAL_CLOSURE","HOLD","TERMINAL_CLOSURE_EXECUTED__GATE_A_NOT_PASSED__TMG4_TM6_INTERNAL_BLOCKERS_REGISTERED__NO_RELEASE_CREDIT","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json","verdict; gate_a_pass=false; review_status=PENDING_OWNER_REVIEW; next_stage_authorized=false; release_credit=false","14d30fd40ac60253c0716a71ba46950e1df6b8e69dce3f12690319b970a48674","2026-08-27","机械终局收口已于2026-08-25执行且TMG-4/TMG-6内部阻断如实登记，无发布信用","不证明机械Release成立；不授权任何下一阶段","TMG-4线束任务包络FAIL + TMG-6 15/20","Owner+内部设计","partially","yes(as-built/资格类EXTERNAL hold)","高：提交只能引用其诚实否定与证据完整性","至多声明"终端收口已执行且未获Release"","Owner审签；TMG-4/TMG-6闭环后重发Gate"
"mech","TMG-1 Product Definition","VERIFIED","PASS","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json","tmg[0].state=PASS","14d30fd40ac60253c0716a71ba46950e1df6b8e69dce3f12690319b970a48674","2026-08-27","产品定义lineage与发布包01-16文件齐备","不证明任务级或飞行级放行","无内部阻断","-","yes","no","中","PASS(设计lineage级)","-"
"mech","TMG-2 Frames/Mass","VERIFIED","PASS (as-built metrology EXTERNAL hold)","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json","tmg[1].state/basis","14d30fd40ac60253c0716a71ba46950e1df6b8e69dce3f12690319b970a48674","2026-08-27","坐标树V2冻结、设计质量V3 R2与桥接质量被消费、发射URDF总质量精确","不证明as-built质量/质心/惯量","as-built计量EXTERNAL","外部计量","no","yes","中","PASS_WITH_EXTERNAL_AS_BUILT_HOLD","外部实测后升级"
"mech","TMG-3 Mechanisms","VERIFIED","PASS (gripper R1 physical limits null)","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json","tmg[2].state/basis","14d30fd40ac60253c0716a71ba46950e1df6b8e69dce3f12690319b970a48674","2026-08-27","Solar R2机构/HDRM/部署ledger现行；夹爪R1候选在案","夹爪物理极限为null，不证明实物性能","夹爪物理极限null","硬件实测","no","yes","中","PASS_WITH_NULL_PHYSICAL_LIMITS","硬件实测后替换null"
"mech","TMG-4 Harness Mission Envelope","HOLD","HOLD: E_HRN 0/75 SAFE, 11/11 key states UNSAFE, mission coverage FAIL_AT_MANDATORY_KEY_STATES; Route-B REJECTED; ODR-42 APPROVE_BOUNDED_DETAILED_DESIGN; full-range DEFERRED_HOLD","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json","tmg[3].state/basis","14d30fd40ac60253c0716a71ba46950e1df6b8e69dce3f12690319b970a48674","2026-08-27","固定外线束在已评包络/关键态全部UNSAFE，物理Route-C任务优先设计为剩余内部阻断","不证明任何线束方案通过任务包络；不证明所有架构不可能","Route-C物理任务包络设计(现V9F被拒,M01轨迹权威MISSING)","内部设计+Owner决策","partially","no(设计内部可做；Owner决策需外部输入)","高：主线叙事依赖线束可行性的诚实证据","HOLD；禁止宣称线束任务包络通过","ODR-60 Option A预搜索绑定闭合后评估M01路径"
"mech","TMG-5 R2 Full-Flex","PROVISIONAL","PASS_WITH_DECLARED_PROVISIONAL_PHYSICS (Round4 V3 17/17 + E23 18/18; HF-ROM 0.2714%<=1%; cross-solver 1.81e-05<=5%; recompute 33/33; pytest 7/7)","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/13_R2_FLEX_MODEL.yaml","e23_recertification.verdict + provisional_physics","8cadf790cf6a94af9dea73915f134a88e3ad720be72d37235b1b91f9deb2e1ca","2026-08-27","七模态ROM与全柔耦合重认证在声明临时物理参数下通过","EI/GJ/k_theta/zeta为PROVISIONAL_DERIVED非实测；latch刚度null","模态参数实测","外部试验","no","yes","高：论文核心物理证据线","限"声明临时物理参数下"引用","保持provisional声明；硬件实测后升级"
"mech","TMG-6 Mechanical-to-Embodied","HOLD","FAIL_15_OF_20 (parent frozen) + CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED (backend NC 20/20 append-only, FULL_TMG6 NOT_REISSUED)","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json","tmg[5].state/basis; 另见 addendum lineage.post_terminal_backend_nc_score","14d30fd40ac60253c0716a71ba46950e1df6b8e69dce3f12690319b970a48674","2026-08-27","父Gate 15/20与G12失败为冻结真值；后端负控20/20仅子域证据","不证明handoff通过、不证明Sim13可生产运行","G12线束包络 + 完整TMG-6未重签","内部","yes","no","高","至多声明"后端负控20/20、ABORT_ONLY"","G12闭合后重发完整TMG-6"
"mech","TMG-7 Adversarial Integrity","VERIFIED","HIGH_0","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/20_RED_TEAM.json","verdict=HIGH_0; findings 16项全pass; high_findings=[]","f3981655c383ebdc22aec3b936c28b86d41647363a50361a4bb31d14dfe85e2f","2026-08-27","红队+证伪两轮16项检查全过、无HIGH未决","不免除Owner审签；20与21两文件逐字节相同(同一合并内容)","无","-","yes","no","中","HIGH_0","-"
"mech","HANDOFF_V2_G12","HOLD","MECHANICAL_TO_EMBODIED_HANDOFF_FAIL (11/12; failing_checks=[G12 HARNESS_RATED_OPERATIONAL_ENVELOPE])","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json","checks_total=12; checks_passed=11; checks_failed=1; checks[11].id=G12 pass=false (mission_coverage_pass=false, map SAFE 0/75)","13722965d5c558d3439a7cb1e77abbf3c2094b88e9d62f80d664d0c4c90d4e21","2026-08-27","handoff 11/12通过、唯一失败项G12线束额定运行包络","不证明12/12；统一接口重跑仍因G12失败(17号终端gate)","TMG-4线束任务包络","内部","yes","no","高","11/12为当前上限","TMG-4闭合后按统一合同重跑handoff V2"
"mech","CHECKPOINT_A_FULL_FLEX","SUPERSEDED","historical HOLD 6/12 preserved (E22 16/18 G11/G17 fail; e15 REPEAT); closure credited via TMG-5 Round4 V3+E23","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/terminal_decision_pack/TERMINAL_DECISION_PACK_GATE_V1.json","checkpoint_state.A_R2_FULL_FLEX (outcome HOLD, criteria 6/12)","0c9dc0353630a402745b3ce5235dc75a2fc51a65b189e2580a7fa5484a5f3325","2026-08-27","Checkpoint-A历史6/12冻结不可改；现行线由Round4 V3 17/17+E23 18/18交付并在TMG-5入账","不把E22/e15历史改写为PASS；e15 legacy线仍REPEAT","无(现行线已闭环至provisional)","-","yes","no","中","历史HOLD + 现行PROVISIONAL PASS","-"
