"source_id","title","year","source_type","authority","url","verification_status","usable_for","not_usable_for","local_action"
"NASA_ISAM_CURRENT","In-Space Servicing Assembly and Manufacturing current portal","2026","official_current_portal","NASA","https://www.nasa.gov/isam/","ONLINE_PRIMARY_VERIFIED_2026-07-23","servicing assembly manufacturing definitions and current program navigation","project scientific evidence or flight proof","RECHECK_BEFORE_FINAL_SUBMISSION"
"NASA_ISAM_SOP_2025","In-Space Servicing Assembly and Manufacturing State of Play 2025 Edition","2025","government_white_paper","NASA NTRS","https://ntrs.nasa.gov/citations/20250008988","ONLINE_PRIMARY_VERIFIED_2026-07-23","current taxonomy capability landscape architecture framing","project Gate replacement or proof of readiness","SOURCE_VERIFY_THEN_DECIDE_MANIFEST"
"NASA_ISAM_SOP_2024","In-Space Servicing Assembly and Manufacturing State of Play 2024","2024","government_white_paper","NASA NTRS","https://ntrs.nasa.gov/citations/20240012414","ONLINE_PRIMARY_FULLTEXT_VERIFIED_2026-07-23","ARMADAS ground demonstration details interface and standards landscape","claiming an on-orbit ARMADAS demonstration","KEEP_AS_LOCATOR_SOURCE"
"NASA_OSAM1_STATUS","On-orbit Servicing Assembly and Manufacturing 1","2024","official_mission_status","NASA","https://www.nasa.gov/mission/on-orbit-servicing-assembly-and-manufacturing-1/","ONLINE_PRIMARY_VERIFIED_CANCELLED","historical program lessons and cancellation status","describing OSAM-1 as an active or completed flight demonstration","USE_STATUS_CORRECTION_ONLY"
"NASA_OSAM2_STATUS","On-Orbit Servicing Assembly and Manufacturing 2","2023","official_mission_status","NASA","https://www.nasa.gov/mission/on-orbit-servicing-assembly-and-manufacturing-2-osam-2/","ONLINE_PRIMARY_VERIFIED_CONCLUDED_BEFORE_FLIGHT","historical manufacturing and ground-test lessons","describing OSAM-2 as a completed on-orbit demonstration","USE_STATUS_CORRECTION_ONLY"
"NASA_ARMADAS","Automated Reconfigurable Mission Adaptive Digital Assembly Systems","2023","government_technical_report","NASA NTRS","https://ntrs.nasa.gov/citations/20230001316","ONLINE_PRIMARY_ABSTRACT_VERIFIED_2026-07-23","modular building-block assembly and reconfiguration background","proof of this project or free-floating flight validation","SOURCE_VERIFY_THEN_DECIDE_MANIFEST"
"NASA_TRITRUSS_TEST","Test Results for Autonomous Assembly of Modular Space Structures","2023","conference_paper_government_archive","NASA NTRS","https://ntrs.nasa.gov/citations/20230013537","ONLINE_PRIMARY_ABSTRACT_VERIFIED_2026-07-23","prepared modules grasp tool sequencing and fixed-test-stand validation design","free-floating or on-orbit evidence","DEEP_READ_CANDIDATE_Q6_L2"
"NASA_TRITRUSS_CHARACTERIZATION","Structural Characterization of a TriTruss Module","2024","thesis_government_archive","NASA NTRS","https://ntrs.nasa.gov/citations/20240002700","ONLINE_PRIMARY_ABSTRACT_VERIFIED_2026-07-23","structural test-analysis correlation and future truss evidence design","current 1U or 2U interface parameter transfer","Q6_L2_ONLY"
"WHITEHOUSE_ISAM_STRATEGY","National In-Space Servicing Assembly and Manufacturing Strategy","2022","government_strategy","US OSTP","https://www.whitehouse.gov/wp-content/uploads/2022/04/04-2022-ISAM-National-Strategy-Final.pdf","ONLINE_PRIMARY_VERIFIED_2026-07-23","policy motivation and ecosystem framing","technical model validation","OPTIONAL_BACKGROUND"
"li2022assemblysurvey","A Survey of Space Robotic Technologies for On-Orbit Assembly","2022","peer_reviewed_review","Science Partner Journal","https://doi.org/10.34133/2022/9849170","LOCAL_PDF_CARD_COMPLETE","technology chain compliant assembly vibration and ground validation taxonomy","project Gate replacement","REUSE_EXISTING_CARD_RECHECK_LOCATORS"
"hu2025ultralarge","Dynamics and control of on-orbit assembly of ultra-large space structures","2025","peer_reviewed_review","Chinese Journal of Theoretical and Applied Mechanics","https://doi.org/10.6052/1000-0992-24-044","LOCAL_PDF_CARD_COMPLETE","Q6-L2 time-varying topology dense modes and rigid-flexible coupling gaps","direct scale transfer to Q6-L1","REUSE_EXISTING_CARD_Q6_L2_ONLY"
"lee2016modulartelescope","Architecture for in-space robotic assembly of a modular space telescope","2016","peer_reviewed_article","JATIS","https://doi.org/10.1117/1.JATIS.2.4.041207","LOCAL_PDF_READY_CARD_MISSING","candidate module interface sequence and architecture evidence","specific claims before full reading card","P0_DEEP_READ_AND_CREATE_CARD"
"wang2025ooareview","Review of On-Orbit Assembly Technology with Space Robots","2025","peer_reviewed_review","Aerospace","https://doi.org/10.3390/aerospace12050375","ONLINE_FULLTEXT_VERIFIED_NOT_IN_MANIFEST","recent classification fixed semi-fixed floating systems and key technology mapping","project evidence or novelty clearance","SOURCE_VERIFY_THEN_DECIDE_MANIFEST"
"popov2024fueless_truss","Fuelless On-Orbit Assembly of a Large Space Truss Structure Using Repulsion of the Service Spacecraft by Robotic Manipulators","2024","peer_reviewed_article","Aerospace","https://doi.org/10.3390/aerospace11080635","ONLINE_METADATA_ABSTRACT_VERIFIED","future free-floating truss control candidate for Q6-L2","current Q6-L1 claim or validated project method","DEFER_Q6_L2_DEEP_READ"
