ecr_id,loop_id,decision,trigger,geometry_effect,mass_effect,tolerance_effect,simulation_effect,verification,status
M4-ECR-001,M4-L01,Enter M4 spacecraft mechanical digital-prototype release,Owner autonomous loop-engineering request,Create new isolated M4 workspace,None,None,Prepare isolated Sim14 successor,Authority inspection,ACCEPTED
M4-ECR-002,M4-L01,Use explicit low-memory Owner Override while retaining memory gate FAIL,Available physical memory below 6 GiB,Use lightweight serial FreeCAD master only,None,None,No formal FEA and no parallel heavy CAD,Build receipt and override register,ACCEPTED_THIS_LOOP_ONLY
M4-ECR-003,M4-L01,Distinguish M_DYNAMICS x=185.25 mm from physical installation face x=208.0 mm,Frozen physical-stack audit,Place M3R and B601 physical frame at x=208 mm,None,Keep root-to-load-bridge fit on HOLD,Prevent downstream frame aliasing,Frame-tree inspection,ACCEPTED_WORKING
M4-ECR-004,M4-L01,Retain the source-bound legacy flange primitive only as tagged geometry,Master composition audit,Legacy primitive may remain visual but is not an accepted load bridge,Branch B subtracts its provisional diagnostic allocation,No structural continuity credit,No collision or mass inference credit,ADR and architecture cross-check,ACCEPTED_WORKING
M4-ECR-005,M4-L01,Expose missing spacecraft load bridge sensor HDRM target pose and gripper fingers as unresolved slots,Master assembly build,Five explicit HOLD slots,Unknown component properties remain excluded,Associated fit chains remain HOLD,Actions requiring the slots are masked,Cold-reopen and slot-set audit,ACCEPTED_WORKING
M4-ECR-006,M4-L01,Create exact nine-configuration library with released physical fields null,Configuration contract,No false configuration geometry completion,Branch A and Branch B remain diagnostic only,No tolerance zero-fill,Production simulation remains HOLD,Mass-package audit,ACCEPTED_WORKING
M4-ECR-007,M4-L01,Create candidate-only materials tolerance and mechanism closure packages,M3 unresolved physical authorities,None,No measured-mass promotion,Formal tolerances remain HOLD,No physical contact or life claims,Package parse and release-count audit,ACCEPTED_WORKING
M4-ECR-008,M4-L01,Keep structural entry closed and formal FEA run count zero,Missing loads BC contact fasteners allowables and mass authority,None,None,None,No structural results exported,Structural gate inspection,ACCEPTED
M4-ECR-009,M4-L01,Create hash-bound MECH_RL V2 and isolated bounded Sim14 kernel,Need downstream dynamics research without false physics claims,None,Diagnostic fixture values remain non-authoritative,None,Ideal momentum closure and event-state logic only,Pytest and runtime hash validation,ACCEPTED_DIAGNOSTIC_ONLY
M4-ECR-010,M4-L01,Issue independent scoped release tokens rather than one global pass,Mixed PASS and HOLD domains,None,None,None,Digital prototype and diagnostic bridge pass while structural and production remain HOLD,Final M4 gate,ACCEPTED_SCOPED_GATE_ISSUED
M4-ECR-011,M4-L01,Correct the Stage B nominal net hole-edge ligament from 11.7 mm to 6.7 mm and harden reviewed data contracts,Independent adversarial review found one arithmetic contradiction and schema ambiguities,No master solid change and four physical x stations are now explicitly source-bound,Add S identity alias and inertia reference points without releasing mass properties,Use the footprint-center-hole-radius model and retain every fit chain HOLD,Rebind downstream hashes only with no production-physics promotion,Cross-domain audit plus independent validator and Sim14 regression,ACCEPTED_FAIL_CLOSED_CORRECTION
