case_id,load_family,source_status,m5_disposition,m5_status,coordinate_frame,claim_limit,note
LC-001,launch_quasi_static,HOLD_NO_LAUNCHER_ICD,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_LAUNCHER_ICD,LAUNCHER_INTERFACE_FRAME_UNKNOWN,NO_STRENGTH_OR_MOS_CONCLUSION,Source case retained with original claim limit.
LC-002,launch_sine_vibration,HOLD_NO_SINE_INPUT,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_SINE_INPUT,LAUNCHER_INTERFACE_FRAME_UNKNOWN,NO_SINE_QUALIFICATION_CONCLUSION,Source case retained with original claim limit.
LC-003,launch_random_vibration,HOLD_NO_PSD,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_PSD,LAUNCHER_INTERFACE_FRAME_UNKNOWN,NO_RANDOM_VIBRATION_CONCLUSION,Source case retained with original claim limit.
LC-004,launch_acoustic,HOLD_NO_ACOUSTIC_SPECTRUM,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_ACOUSTIC_SPECTRUM,SPACECRAFT_EXTERNAL_FIELD,NO_ACOUSTIC_QUALIFICATION_CONCLUSION,Source case retained with original claim limit.
LC-005,separation,HOLD_NO_SEPARATION_SYSTEM_ICD,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_SEPARATION_SYSTEM_ICD,SEPARATION_INTERFACE_FRAME_UNKNOWN,NO_SHOCK_OR_SEPARATION_CONCLUSION,Source case retained with original claim limit.
LC-006,separation,HOLD_NO_SEPARATION_SYSTEM_ICD,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_SEPARATION_SYSTEM_ICD,SPACECRAFT_ASSEMBLY_FRAME,NO_POST_SEPARATION_SAFETY_CONCLUSION,Source case retained with original claim limit.
LC-007,hdrm_release,HOLD_FUNCTIONAL_ENVELOPE_NOT_HARDWARE,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_FUNCTIONAL_ENVELOPE_NOT_HARDWARE,ARM_HDRM_LOCAL_FRAME,NO_HDRM_RELIABILITY_OR_SHOCK_CONCLUSION,Source case retained with original claim limit.
LC-008,solar_array_deployment,HOLD_NO_HINGE_TORQUE_OR_STOP_AUTHORITY,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,HOLD_NO_HINGE_TORQUE_OR_STOP_AUTHORITY,SOLAR_HINGE_LOCAL_FRAME,NO_DEPLOYMENT_MARGIN_OR_LIFE_CONCLUSION,Source case retained with original claim limit.
LC-009,panel_failure_cases,CONFIGURATION_ENUM_ONLY_LOADS_UNKNOWN,RETAINED_HOLD_NO_NEW_PHYSICAL_AUTHORITY,CONFIGURATION_ENUM_ONLY_LOADS_UNKNOWN,SPACECRAFT_ASSEMBLY_FRAME,NO_FAILURE_LOAD_OR_SAFE_STATE_CONCLUSION,Source case retained with original claim limit.
LC-010,arm_nominal_slew,DERIVED_SIMULATION_NOT_DESIGN_LOAD,REJECTED_AS_NUMERICAL_LOAD_INPUT,REJECTED_JOINT2_PLUS_60_DEG_VIOLATES_ACCEPTED_UPPER_LIMIT_ZERO,ARM_BASE_FRAME,NO_MECHANICAL_STRENGTH_CONCLUSION,A coordinate-sign reconciliation or a new controlled trajectory is required.
