measurement_id,subject,source_or_occurrence,quantity,method,expected_or_current_value,status,gate_credit,exit_condition
D-01,legacy longeron,Space_Embodied_Robot_CAD_V2_2/automation/sw_v22_builder.py:center,center_abs_yz_mm,SOURCE_FIELD_PARSE,105.65,CONFIRMED_NONCANONICAL,NONE,retain as provenance only
D-02,legacy longeron,Space_Embodied_Robot_CAD_V2_2/automation/sw_v22_builder.py:section,section_mm,SOURCE_FIELD_PARSE,15.0,CONFIRMED_NONCANONICAL,NONE,retain as provenance only
D-03,canonical longeron,V2_2_NATIVE_CANONICAL_108_FILE_COPY/automation/native_spec.py:LONG_C,center_abs_yz_mm,SOURCE_FIELD_PARSE,101.65,CONFIRMED_CANONICAL,PHASE0,hash-bound source remains unchanged
D-04,canonical longeron,V2_2_NATIVE_CANONICAL_108_FILE_COPY/automation/native_spec.py:LONG_H,section_mm,SOURCE_FIELD_PARSE,17.0,CONFIRMED_CANONICAL,PHASE0,hash-bound source remains unchanged
D-05,canonical primary,V2_2_NATIVE_CANONICAL_108_FILE_COPY/automation/native_spec.py:SKIN_IN,outer_surface_abs_yz_mm,SOURCE_FIELD_PARSE,110.15,CONFIRMED_CANONICAL,PHASE0,hash-bound source remains unchanged
D-06,canonical panel,V2_2_NATIVE_CANONICAL_108_FILE_COPY/automation/native_spec.py:ENV,outer_surface_abs_yz_mm,SOURCE_FIELD_PARSE,113.15,CONFIRMED_CANONICAL,PHASE0,hash-bound source remains unchanged
D-07,G07 saddle shoes,B51_CANONICAL_INTERFACE_BREP_AUDIT.json,minimum_distance_to_primary_mm,EXACT_BREP_MINIMUM_DISTANCE,3.000000000000014,CONFIRMED_DIAGNOSTIC,PHASE0_DIAGNOSTIC_ONLY,recompute from named faces in R1 geometry
D-08,G08 saddle shoes,B51_CANONICAL_INTERFACE_BREP_AUDIT.json,minimum_distance_to_primary_mm,EXACT_BREP_MINIMUM_DISTANCE,3.000000000000014,CONFIRMED_DIAGNOSTIC,PHASE0_DIAGNOSTIC_ONLY,recompute from named faces in R1 geometry
D-09,G07 saddle shoes,B51_CANONICAL_INTERFACE_BREP_AUDIT.json,minimum_distance_to_panel_mm,EXACT_BREP_MINIMUM_DISTANCE,0.0,CONFIRMED_DIAGNOSTIC,NONE_ATTACHMENT,do not infer attachment
D-10,G08 saddle shoes,B51_CANONICAL_INTERFACE_BREP_AUDIT.json,minimum_distance_to_panel_mm,EXACT_BREP_MINIMUM_DISTANCE,0.0,CONFIRMED_DIAGNOSTIC,NONE_ATTACHMENT,do not infer attachment
D-11,G07 four named occurrences,TBD_R1_CONFIGURATION,CS_S_to_occurrence_4x4,READ_ONLY_OCCURRENCE_TRANSFORM_AND_UNIT_AUDIT,UNKNOWN,HOLD_NOT_DURABLY_RECORDED,NONE,record matrix rotation error determinant units and configuration
D-12,G08 four named occurrences,TBD_R1_CONFIGURATION,CS_S_to_occurrence_4x4,READ_ONLY_OCCURRENCE_TRANSFORM_AND_UNIT_AUDIT,UNKNOWN,HOLD_NOT_DURABLY_RECORDED,NONE,record matrix rotation error determinant units and configuration
D-13,G07 primary interface,TBD_NAMED_PRIMARY_FACE,signed_distance_normal_contact_area_edge_margin,NAMED_FACE_BREP_AUDIT,UNKNOWN,HOLD_NOT_RUN,NONE,source-bound face selectors and complete metric set
D-14,G08 primary interface,TBD_NAMED_PRIMARY_FACE,signed_distance_normal_contact_area_edge_margin,NAMED_FACE_BREP_AUDIT,UNKNOWN,HOLD_NOT_RUN,NONE,source-bound face selectors and complete metric set
D-15,obsolete mount support,TBD_CONFIGURATION,occurrence_suppression_or_replacement_state,OCCURRENCE_PATH_AND_CONFIGURATION_READBACK,UNKNOWN,HOLD_NOT_RECONCILED,NONE,explicit old-to-new occurrence map
D-16,mount coordinate authorities,task_face_183_dynamics_185.25_display_198,datum_authority_decision,HUMAN_GATE,UNKNOWN,H9_HUMAN_DECISION_REQUIRED,NONE,separate signed adjudication without hidden offset

