case_id,load_family,applicable_configuration,event,source_class,status,coordinate_frame,known_inputs,missing_inputs,analysis_use,claim_limit,verification_method,owner,evidence
LC-001,launch_quasi_static,LAUNCH_STOWED,ascent_limit_load,UNKNOWN,HOLD_NO_LAUNCHER_ICD,LAUNCHER_INTERFACE_FRAME_UNKNOWN,none,"launcher/deployer selection;ICD;axes;positive/negative factors;duration;uncertainty;CoG envelope",PARAMETRIC_CASE_DEFINITION_ONLY,NO_STRENGTH_OR_MOS_CONCLUSION,A,Mechanical_Lead,20_engineering/F3_P5_structural_closure_candidate/00_audit/F3_P5_LAUNCH_LOAD_AUTHORITY.md
LC-002,launch_sine_vibration,LAUNCH_STOWED,low_frequency_vibration,UNKNOWN,HOLD_NO_SINE_INPUT,LAUNCHER_INTERFACE_FRAME_UNKNOWN,none,"frequency breakpoints;amplitudes;sweep rate;axes;notching;damping;duration;tolerance",TEST_PLAN_PLACEHOLDER,NO_SINE_QUALIFICATION_CONCLUSION,A_T,Structural_Verification_Lead,
LC-003,launch_random_vibration,LAUNCH_STOWED,broadband_vibration,UNKNOWN,HOLD_NO_PSD,LAUNCHER_INTERFACE_FRAME_UNKNOWN,none,"PSD bands;overall_grms;axes;duration;notching;damping;input tolerance",TEST_PLAN_PLACEHOLDER,NO_RANDOM_VIBRATION_CONCLUSION,A_T,Structural_Verification_Lead,
LC-004,launch_acoustic,LAUNCH_STOWED,acoustic_environment,UNKNOWN,HOLD_NO_ACOUSTIC_SPECTRUM,SPACECRAFT_EXTERNAL_FIELD,none,"OASPL;octave_or_one_third_octave_spectrum;duration;spatial_field;uncertainty",TEST_PLAN_PLACEHOLDER,NO_ACOUSTIC_QUALIFICATION_CONCLUSION,A_T,Structural_Verification_Lead,
LC-005,separation,SEPARATION,separation_event,UNKNOWN,HOLD_NO_SEPARATION_SYSTEM_ICD,SEPARATION_INTERFACE_FRAME_UNKNOWN,none,"system_ID;impulse;SRS;damping;directions;duration;interface_stiffness;uncertainty",PARAMETRIC_CASE_DEFINITION_ONLY,NO_SHOCK_OR_SEPARATION_CONCLUSION,A_T,Mechanism_Lead,
LC-006,separation,POST_SEPARATION_SAFE,post_release_initial_conditions,UNKNOWN,HOLD_NO_SEPARATION_SYSTEM_ICD,SPACECRAFT_ASSEMBLY_FRAME,none,"linear_velocity;angular_velocity;dispersions;separation_tipoff;release_timing",SIMULATION_INPUT_PLACEHOLDER,NO_POST_SEPARATION_SAFETY_CONCLUSION,A_D,GNC_and_Mechanical_Leads,
LC-007,hdrm_release,ARM_RELEASE,arm_hold_down_release,PROVISIONAL,HOLD_FUNCTIONAL_ENVELOPE_NOT_HARDWARE,ARM_HDRM_LOCAL_FRAME,"6mm candidate stroke;50N candidate preload","selected HDRM;release force/time;SRS;friction;temperature;life;redundancy",TRADE_AND_TEST_DEFINITION_ONLY,NO_HDRM_RELIABILITY_OR_SHOCK_CONCLUSION,A_T,Mechanism_Lead,20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/00_authority/V5_HDRM_AUTHORITY.yaml
LC-008,solar_array_deployment,SOLAR_ARRAY_DEPLOYMENT,nominal_deployment,UNKNOWN,HOLD_NO_HINGE_TORQUE_OR_STOP_AUTHORITY,SOLAR_HINGE_LOCAL_FRAME,"left/right hinge geometry exists","spring torque;friction;damping;stop stiffness;deployment time;gravity offload;temperature",PARAMETRIC_MECHANISM_MODEL_ONLY,NO_DEPLOYMENT_MARGIN_OR_LIFE_CONCLUSION,A_T_D,Solar_Mechanism_Lead,
LC-009,panel_failure_cases,PANEL_FAILURE_CASES,single_or_dual_panel_failure,DERIVED,CONFIGURATION_ENUM_ONLY_LOADS_UNKNOWN,SPACECRAFT_ASSEMBLY_FRAME,"LEFT_PANEL_FAIL;RIGHT_PANEL_FAIL;BOTH_PANEL_FAIL enums","panel mass/inertia;hinge state;HDRM state;asymmetric reactions;thermal state",CONFIGURATION_BRANCH_DEFINITION,NO_FAILURE_LOAD_OR_SAFE_STATE_CONCLUSION,A_D,Solar_Mechanism_Lead,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/CONFIGURATION_MATRIX.csv
LC-010,arm_nominal_slew,ARM_MANEUVER,task_ready_to_pregrasp,DERIVED,DERIVED_SIMULATION_NOT_DESIGN_LOAD,ARM_BASE_FRAME,"quintic trajectory;8s maneuver;q2 +60deg;q3 -40deg;B601 mass 4.695555949342986kg","approved mission trajectory;actuator torque curves;joint friction;gear stiffness;payload;thermal state",DYNAMICS_CORRELATION_AND_LOAD_DERIVATION_INPUT,NO_MECHANICAL_STRENGTH_CONCLUSION,A_D,Robotics_Dynamics_Lead,20_engineering/config/coupled_scene/scene_A1_arm_slew.yaml
LC-011,arm_emergency_stop,ARM_MANEUVER,maximum_deceleration_stop,UNKNOWN,HOLD_NO_STOP_LAW_OR_ACTUATOR_AUTHORITY,ARM_BASE_FRAME,"accepted URDF topology and mass","initial joint rates;stop time;deceleration profile;actuator/gear torque;backlash;brake behavior;controller latency",PARAMETRIC_CASE_DEFINITION_ONLY,NO_EMERGENCY_STOP_STRENGTH_CONCLUSION,A_T,Robotics_and_Mechanism_Leads,
LC-012,arm_joint_lock,SAFE_MODE,single_joint_lock_or_overtravel,UNKNOWN,HOLD_NO_FAULT_LOAD_AUTHORITY,JOINT_LOCAL_FRAMES,"joint topology and limits from accepted URDF","lock stiffness;impact rate;hard-stop geometry;control response;load redistribution",FAULT_CASE_DEFINITION_ONLY,NO_JOINT_LOCK_OR_SAFE_MODE_CONCLUSION,A_T,Robotics_and_Product_Assurance_Leads,
LC-013,capture_22kg_anchor,PREGRASP_CAPTURE_22KG,22kg_0p5dps_anchor,DERIVED,DERIVED_SIMULATION_NOT_STRUCTURAL_AUTHORITY,GRIPPER_CONTACT_FRAME_PROVISIONAL,"22kg;0.5deg/s;v_app 0.005-0.03m/s;impulse 0.0601233-0.360622Ns;couple 0.00151536-0.00152744Nms","contact compliance;force-time history;friction;contact normal authority;target inertia uncertainty;load path distribution",RESEARCH_ENVELOPE_AND_MODEL_CORRELATION,NO_GRIPPER_M3R_OR_BUS_STRENGTH_CONCLUSION,A_T,Grasp_Dynamics_and_Structures_Leads,30_simulation/sim_06_capture_impulse/results/capture_impulse_matrix_v0.csv
LC-014,capture_150kg_anchor,PREGRASP_CAPTURE_150KG,150kg_3dps_anchor,DERIVED,DERIVED_SIMULATION_NOT_STRUCTURAL_AUTHORITY,GRIPPER_CONTACT_FRAME_PROVISIONAL,"150kg;3deg/s;v_app 0.005-0.03m/s;impulse 0.274973-0.677633Ns;couple 0.111944-0.130197Nms","contact compliance;force-time history;friction;contact normal authority;target inertia uncertainty;load path distribution",RESEARCH_ENVELOPE_AND_MODEL_CORRELATION,NO_GRIPPER_M3R_OR_BUS_STRENGTH_CONCLUSION,A_T,Grasp_Dynamics_and_Structures_Leads,30_simulation/sim_06_capture_impulse/results/capture_impulse_matrix_v0.csv
LC-015,capture_eccentricity,CAPTURE,off_axis_grasp_dispersion,UNKNOWN,HOLD_NO_CAPTURE_DISPERSION_AUTHORITY,GRIPPER_CONTACT_FRAME_PROVISIONAL,"two provisional contact frames","grasp point distribution;normal error;lever arm tolerance;friction;compliance;target shape uncertainty",PARAMETRIC_CASE_DEFINITION_ONLY,NO_CAPTURE_ROBUSTNESS_CONCLUSION,A_T,Grasp_Dynamics_Lead,
LC-016,gripper_closure,PREGRASP,rail_motion_and_contact,UNKNOWN,HOLD_NO_CONTACT_FORCE_OR_FRICTION_AUTHORITY,GRIPPER_LINK_FRAME,"0-71.5mm stroke;neutral R1 zero rail-palm overlap;URDF model effort limit 100N","actuator model;force limit;friction;lubrication;manufacturing clearance;contact material;life cycles",CONTACT_AND_LIFE_TEST_DEFINITION,NO_CONTACT_FORCE_LIFE_OR_STRENGTH_CONCLUSION,A_T,Gripper_Lead,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json
LC-017,post_capture_stabilization,POST_CAPTURE_STABILIZATION_22KG,22kg_stabilization,DERIVED,HOLD_NO_INTERFACE_REACTION_HISTORY,SPACECRAFT_ASSEMBLY_FRAME,"22kg anchor;derived capture state","controller authority;actuator saturation;panel flexible modes;M3R reactions;duration;damping",COUPLED_DYNAMICS_LOAD_DERIVATION_INPUT,NO_POST_CAPTURE_STRUCTURAL_CONCLUSION,A_D,Dynamics_and_Structures_Leads,
LC-018,post_capture_stabilization,POST_CAPTURE_STABILIZATION_150KG,150kg_stabilization,DERIVED,HOLD_NO_INTERFACE_REACTION_HISTORY,SPACECRAFT_ASSEMBLY_FRAME,"150kg anchor;derived capture state exceeds existing 2deg/s research budget","controller authority;actuator saturation;panel flexible modes;M3R reactions;duration;damping",COUPLED_DYNAMICS_LOAD_DERIVATION_INPUT,NO_POST_CAPTURE_STRUCTURAL_CONCLUSION,A_D,Dynamics_and_Structures_Leads,
LC-019,thermal_gradient,ALL_OPERATIONAL_CONFIGURATIONS,hot_cold_gradient_and_soak,UNKNOWN,HOLD_NO_MISSION_THERMAL_ENVIRONMENT,SPACECRAFT_ASSEMBLY_FRAME,none,"temperature maps;reference temperature;material CTE;contact conductance;preload thermal response;cycle count",THERMOMECHANICAL_MODEL_DEFINITION_ONLY,NO_THERMAL_ALIGNMENT_OR_PRELOAD_CONCLUSION,A_T,Thermal_and_Structures_Leads,
LC-020,safe_mode,SAFE_MODE,minimum_energy_retraction_or_hold,UNKNOWN,HOLD_SAFE_MODE_MECHANICAL_STATE_UNDEFINED,SPACECRAFT_ASSEMBLY_FRAME,"Sim13 UNKNOWN fail-closed and ABORT behavior","mechanical safe pose;hold torque;brake state;panel state;HDRM state;power-off loads",REQUIREMENTS_AND_FAULT_MODEL_ONLY,NO_SAFE_MODE_MECHANICAL_CONCLUSION,A_D,Systems_and_Mechanical_Leads,30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_ENVIRONMENT_BOOTSTRAP_GATE.json
LC-021,m3r_unit_load,ARM_BASE_INTERFACE,plus_minus_6dof_unit_characterization,DERIVED,AUTHORIZED_MODEL_CHARACTERIZATION_ONLY,B601_AS_BUILT_PATTERN_DATUM,"+/-1N Fx Fy Fz;+/-1Nm Mx My Mz;known M3R pattern geometry","material;contact;bolt preload;bus boundary stiffness for physical interpretation",STIFFNESS_COMPLIANCE_REACTION_BALANCE_MESH_CONVERGENCE,NO_FLIGHT_STRENGTH_OR_MOS_CONCLUSION,A,Structural_Analysis_Lead,20_engineering/F3_P5_structural_closure_candidate/00_audit/F3_P5_LAUNCH_LOAD_AUTHORITY.md
