id,domain,description,verdict_or_status,authority_path,locator,sha256,retained_as,notes
"NEG-MECH-01","mech","E_HRN固定外置线束已评包络75样本中0 SAFE(75 UNSAFE,0 UNKNOWN),保守盒为空","0/75 SAFE; NOT_RELEASED","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/03_envelope/B601_HARNESS_RATED_ENVELOPE_V1.yaml","E_HRN.sample_counts (SAFE 0/UNSAFE 75/UNKNOWN 0); conservative_box_status EMPTY_NO_OBSERVED_SAFE_SAMPLE","a63a93de5b6b3bee37819379757abe5b9f7fc457641f852e06676b686bc416c6","HARD_NEGATIVE_CURRENT","运行时完整性36/36 PASS；分母为75 map样本，勿与11 probe/10 mandatory混用"
"NEG-MECH-02","mech","11个强制关键态探针全部UNSAFE","states_safe=0 states_unsafe=11 states_unknown=0","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/03_envelope/B601_HARNESS_RATED_ENVELOPE_V1.yaml","mandatory_key_state_probe","a63a93de5b6b3bee37819379757abe5b9f7fc457641f852e06676b686bc416c6","HARD_NEGATIVE_CURRENT","AGENTS.md所述"11/11 UNSAFE"经核实属实(探针态口径)"
"NEG-MECH-03","mech","Route-B时代任务覆盖：10/10强制关键态UNSAFE(间隙约-10.41 mm/弯折0.100 mm/夹挤负)、0/8轨迹段获权","FAIL_AT_MANDATORY_KEY_STATES; mission_coverage FAIL","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_HARNESS_MISSION_COVERAGE_GATE.json","key_state_checks[10] pass全false; trajectory_segments_with_released_authority=0","f3b444222e87509b66f712e623a4903748c7309c6396708ec02a0c1a54cdaa5c","HARD_NEGATIVE_CURRENT","150kg锚点正确要求ABORT/RECOVERY；外部任务门UNKNOWN fail-closed"
"NEG-MECH-04","mech","机械→具身handoff V2为11/12，唯一失败G12线束额定运行包络","MECHANICAL_TO_EMBODIED_HANDOFF_FAIL","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json","checks_failed=[G12]; G12 evidence terms (mission_coverage_pass=false, map_contains_safe_sample=false)","13722965d5c558d3439a7cb1e77abbf3c2094b88e9d62f80d664d0c4c90d4e21","CURRENT_BLOCKER","统一接口重跑仍失败(17号终端gate: rerun ... still fails G12)"
"NEG-MECH-05","mech","Sim13父Gate冻结于15/20(NC15/16/18/19/20 dependency_hold),最大运行态ABORT_ONLY","15/20 (parent gate, historical snapshot)","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/18_SIM13_PREEXECUTION_GATE.json","nc_state; maximum_current_operational_state","af24635327dc96d0daaaba6a074c9440c0bd0f984e1418af6c6677c3d4cf77de","FROZEN_PARENT_TRUTH","后续后端20/20为append-only子域证据，父Gate未重发(CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED)"
"NEG-MECH-06","route_c","Route-C RC-4任务覆盖V1:1/10关键态UNSAFE(ARM_STOWED_ONORBIT_C05 gated -13.687 mm),M01段最差gated -13.846 mm,弯曲半径R50零裕度FAIL","FAIL_DOCUMENTED","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_MISSION_COVERAGE_GATE_V1.json","verdict; documented_failures; predicates.clearance/bend_radius pass=false","14cd127a2c6a10cf7995af9180b8f84fc565624476db3fb0ef9fc775ebdf766a","HARD_NEGATIVE_CURRENT","外部任务门UNKNOWN逐字携带不消费；轨迹时间权威为minimum-jerk种子"
"NEG-MECH-07","route_c","V9F在当前M01直线q路径中点(s=0.5)发生原始实体穿透:SEG04_SECTION6_LINK4_DOWNSTREAM_CONDUIT vs vendor:link3,raw -10.729480331980062 mm,gated -17.313396996697108 mm","V9F_REJECTED_BY_EXACT_EQUIVALENT_RAW_PENETRATION_WITNESS_ON_CURRENT_M01_PATH__GEOMETRY_BUDGET_EXHAUSTED__NO_RELEASE_CREDIT","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_V9F_MANDATORY_M01_FALSIFIER_GATE.json","witness (fraction 0.5; q_bytes_sha256 CBAA4849...; result_fingerprint 607BEF54...; strict_equivalence 43 nodes/19 binary64 mismatch 0)","09c3199bd9824dfdbb9782c20be200f31760f44a89ef68d16f32d0e213f191a0","HARD_NEGATIVE_CURRENT","穿透为raw物理穿透非仅降额；不在65 mm注册导向接口窗内(距接口起点292.03 mm,registered_interface_contact=false)"
"NEG-MECH-08","mech","Route-B固定外置线束终局否决并冻结,禁止重开/继承其种子尺寸与0.684 kg诊断质量","REJECTED (route_b)","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/12_HARNESS_MISSION_ENVELOPE.yaml","route_b: REJECTED (full-range negative result frozen; reopening prohibited)","6d5405e40c317e5b96734554d41a2d5169396ba0bcf7cc158dec2908b9d71a22","FROZEN_HARD_NEGATIVE","ODR-42 acknowledgements逐项确认"
"NEG-MECH-09","mech","e15 legacy ANCF线认证未过(交叉求解最大差5.64%>5%),保留为硬负结果","REPEAT_ANCF_CERTIFICATION (preserved)","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/19_OPEN_QUALIFICATION_HOLDS.csv","HOLD-14","29ee63d5e723db33ecb61f2d1cebdcbfa06966328a6f4843aed4eacd1285132c","PRESERVED_HARD_NEGATIVE","现行线交叉求解重认证由E23 G07/G11交付；legacy线不改写"
"NEG-MECH-10","mech","E22全柔耦合16/18 HOLD(G11/G17 fail)为不可变历史","HOLD_16_OF_18 (historical)","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/15_UNIFIED_R2_SYSTEM_INTERFACE.yaml","bindings.e22_coupled_gate.status","19822080e540de1e46a383b49c60cd0fb4f40db9dd4fd5edddd4f9c31ddd1e3a","HISTORICAL_IMMUTABLE","由E23重认证取代(13_R2_FLEX_MODEL.yaml)"
"NEG-MECH-11","mech","TMC-F01:gen_urdf在有效授权下8次执行均被fail-closed终检拒绝(CPython 3.13/3.14 marshal运行码指纹不稳)","documented defect; Red Team adjudicated; owner review pending","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/generated_v2/UNIFIED_R2_URDF_EXECUTION_RECEIPT_V2.json","authority_execution_history (gen_urdf_attempts=8, all DENIED); documented_defect.id=TMC-F01","957ca67d7bcc2cb591df2442f24532ca3dae24f358fc69bf390ac1a20f6f021e","DOCUMENTED_DEFECT","URDF XML输出确定不受影响；source-only路径发射并完整披露"
"NEG-MECH-12","route_c","RC-5九构型绑定权威Gate FAIL:C05 FAIL、C06-C09 HOLD;V9F增量+3.040266861665941 kg","COMPLETE_NON_AUTHORIZING__NINE_CONFIGURATION_BINDING_GATE_FAIL","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_TERMINAL_CURRENT_FRONTIER_V3.json","verified_positive_evidence.mass_inertia_numerical_propagation.binding_states","5c73438c86a6f217e9b5eac30f875759f265acf3c33944203151a6906db3a86a","CURRENT_BLOCKER","ODR-59数值规则缺失,TMG-2重开未评估"
