task,owner,owned_paths,forbidden_paths,wave,status
state_truth_scope,PI(Fable),10_research/on_orbit_assembly/state_truth_and_scope.md,30_simulation/* 70_tools/project_visualization/src/* 20_engineering/config/*,plan,DONE
interface_plan,B,10_research/on_orbit_assembly/interface_mechanics_plan.md + interface_ssot_draft.yaml注释,30_simulation/* 70_tools/project_visualization/src/*,plan,RUNNING
phased_control_plan,C,10_research/on_orbit_assembly/phased_control_plan.md,30_simulation/* 70_tools/project_visualization/src/*,plan,RUNNING
contact_dynamics_plan,D,10_research/on_orbit_assembly/contact_flexible_dynamics_plan.md,30_simulation/* 70_tools/project_visualization/src/*,plan,RUNNING
rom_safety_plan,E,10_research/on_orbit_assembly/rom_safety_plan.md,30_simulation/* 70_tools/project_visualization/src/*,plan,RUNNING
vla_sequence_plan,F,10_research/on_orbit_assembly/vla_sequence_plan.md,30_simulation/* 70_tools/project_visualization/src/*,plan,RUNNING
red_teams,R1+R2,10_research/on_orbit_assembly/red_team_*.md,全部其他,plan,PENDING
synthesis,PI(Fable),10_research/on_orbit_assembly/{master_plan.md;dependency_dag.md;*.csv;*.yaml;waveA_task_cards/},30_simulation/*,plan,IN_PROGRESS
ASM-00_impl,待指派,30_simulation/asm_00_interface_preflight/(新建)+20_engineering/config/assembly/(新建),全部冻结区+Wave1模块,A,AWAITING_APPROVAL
ASM-01_impl,待指派,30_simulation/asm_01_contact_dynamics/(新建),冻结区+他人目录,A,AWAITING_APPROVAL
ASM-02_impl,待指派,30_simulation/asm_02_phased_control/(新建),冻结区+他人目录,A,AWAITING_APPROVAL
ASM-integrator,唯一集成,40_evidence/artifacts/on_orbit_assembly/waveA_results/,功能目录只读,A,AWAITING_APPROVAL
ASM-03/04/05,待指派,30_simulation/ASM-0{3,4,5}_*/,冻结区,B,PLANNED
ASM-06+H0,硬件组,30_simulation/asm_06_ground_validation/+hardware/,仿真冻结区,C,NOT_STARTED
