"id","scope","priority","work_package","current_evidence","required_inputs","deliverables","acceptance","dependencies","suggested_owner","source_ids","status"
"G01","地面样机","P0","版本与身份统一","WP03=487结构/497全态；WP10原生宿主873/源计划974未统一；HANDOFF working_revision失配。","选择实际装配宿主、机械臂修订、V35/V36电气来源及接受的改件清单。","基线清单、497↔873/974差异映射、受控HANDOFF新绑定。","每个实物/设计件有唯一身份、版本与来源；所有选定输入哈希匹配；旧裁决保留。","无","总体/配置管理","S01;S04;S05;S06","OPEN"
"G02","地面样机","P0","实物机械臂与驱动参数","accepted臂惯性4.695555949342986kg、公开DM URDF2.744480913kg、整臂参考4.5kg为不同来源，不能混填。","实际B601修订、各关节DM型号/驱动版本、实物组成、质量和厂家数据。","实物BOM与运动树映射、质量/COM/惯量区间、额定/峰值电流和停止回生参数卡。","逐关节型号/零位/方向/限位绑定；差额质量有归属；未测项保留未知且不支撑真实动态结论。","G01","机械/驱动/硬件组","S03;S04;S10;S11","OPEN"
"G03","地面样机","P1","同版本整机数字回装","R01及R07-E1–E4局部闭环；后续电气/热模块未证明已全部回装统一整机。","G01基线、三板实际包络、端子及线束、热路、推进地面代表件。","统一三维装配与配置、安装顺序、干涉/工具通道/拆盖检查。","源计划和实际装配差异为0或逐件处置；真实零件不新增碰撞；关键装配可执行并经独立复核。","G01;G02","机械集成","S01;S04;S05;S11","OPEN"
"G04","地面样机","P1","采购与加工级机械设计","497行BOM是几何/质量账；加工图、公差、材料、紧固与连接承载尚非完整发布。","实际载荷包线、加工能力、连接预紧/防松要求、选材来源。","定制件图号/修订/材料/表处/尺寸公差；标准件规格等级长度数量；装配工艺。","每个待加工件能据图制造；每个采购件可唯一订购；连接与强度计算绑定地面实际工况。","G02;G03;G05","机械/工艺","S01;S02;S11","OPEN"
"G05","地面样机","P0","地面固定卸载与保持器","R07第6边A/B接触刚度、装配误差、预紧为输入阻塞；现有GSE不等于完整机械臂卸载工装。","地面姿态、重力载荷、台面固定条件、保持器接触/预紧测量与失电状态。","固定或卸载工装、反力/防倾覆/失电防落分析、A/B保持器参数与检验记录。","工装及支承承担声明姿态载荷；断电不形成未控制坠落；释放/保持不损伤臂，未知接触参数不零填。","G01;G02","机械/试验","S01;S10;S11","OPEN"
"G06","地面样机","P1","线束端接与受控动作路径","静态线束与有限姿态检查存在；完整端接和连续运动未闭合。","连接器正反视图针号、压接端子、线规长度屏蔽、最小弯曲半径和拟测试路径。","from-to线束表、配对BOM、压接/导通检查、运动余量与禁入区域。","针脚逐端匹配且导通/极性正确；试验路径中无拉紧、缠绕或夹线；尚未检查的路径不纳入演示。","G02;G03;G08;G09","电气/机械","S01;S11;S19","OPEN"
"G07","地面样机","P1","电气器件著录缺口","rating/substitution尚45行；登记source61/footprint53/model40，类别重叠不能相加。","38行占位的真实MPN、5种已指明IC的原厂手册、U304结构化MPN及对应封装/额定。","45行逐条清单闭环、其他缺项逐行核销、符号引脚与焊盘对照及替代限制。","224真实器件行逐行具备型号/数量/封装/来源/额定/替代限制或有受控例外；模块边界另绑定ICD。","G01;G08;G09","电气/采购","S07;S08;S09","OPEN"
"G08","地面样机","P0","地面供电与实际负载预算","360W为筛查需求；真实DM谱/启动峰值未完全绑定，参考任务有实际轨迹空值。","可用24V实验电源型号/限流/瞬态能力、线损、臂/保持器/算力/风扇等负载及占空比。","地面源到负载电源树、最坏电压/电流/能量账、保险与限流选型。","最坏负载下端电压和峰值持续电流满足器件边界；保护配合有依据；不把外部供电结论当成在轨能源闭合。","G01;G02","电源/驱动","S10;S11;S12","OPEN"
"G09","地面样机","P0","停止回生与失电行为","STOP已布线；K1/Q101实际线圈数据、停止回生边界与联合时域/实物行为仍开放。","K1线圈电流/反电动势、真实驱动再生能量与时窗、电源反灌限制和地面制动需求。；手动/遥操作控制链的通信超时、陈旧命令、越限和失联状态","设计准备：停止/回生/故障矩阵、保护配合和测试限值；上电验证：掉电/短掉电/失联/陈旧命令/越限及人工再启动试验","设计先审阅，再在G15分板/代表负载阶段验证；任何首次动作前必须通过独立停止和失联/陈旧命令/越限响应检查；最坏回生与温升/电气额定受控，不会非指令重启。","G02;G05;G08","电气/驱动/试验","S05;S10;S11;S13","OPEN"
"G10","地面样机","P1","三板电气与制造资料闭环","STOP/MAIN/AUX均有设计与DRC证据；规则忽略/属性差异有范围，Q201颈部偏差仍需载流与温升证据。","G07实选、板厂叠层铜厚工艺、板间接口和热约束。","同版ERC/DRC、原理图/PCB/网表一致性、Gerber钻孔装配图、贴装与板级检查表。","制造包同源；忽略规则逐项处置；关键电流/SOA/温升具备依据；DRC通过不替代功能试验。","G07;G08;G09","电气/PCB/制造","S06;S13;S11","OPEN"
