name,proposed_value,unit,role,source,freeze_status,dependency
JOINT_HOUSING_MATERIAL,AL7075-T6,na,joint housing structural material,F3 directive,PROPOSED_FREEZE_CANDIDATE,D1
JOINT_FLANGE_PCD_J1,TBD,mm,J1 output flange bolt circle,vendor drawing required,PROPOSED_FREEZE_CANDIDATE,D1+vendor
JOINT_FLANGE_PCD_J2,TBD,mm,J2 output flange bolt circle,vendor drawing required,PROPOSED_FREEZE_CANDIDATE,D1+vendor
JOINT_FLANGE_PCD_J3,TBD,mm,J3 output flange bolt circle,vendor drawing required,PROPOSED_FREEZE_CANDIDATE,D1+vendor
JOINT_FLANGE_PCD_J4,TBD,mm,J4 output flange bolt circle,vendor drawing required,PROPOSED_FREEZE_CANDIDATE,D1+vendor
JOINT_FLANGE_PCD_J5,TBD,mm,J5 output flange bolt circle,vendor drawing required,PROPOSED_FREEZE_CANDIDATE,D1+vendor
JOINT_FLANGE_PCD_J6,TBD,mm,J6 output flange bolt circle,vendor drawing required,PROPOSED_FREEZE_CANDIDATE,D1+vendor
JOINT_BOLT_SPEC,M5,na,joint flange bolt grade candidate,F3 directive,PROPOSED_FREEZE_CANDIDATE,PCD confirmation
JOINT_DOWEL_SPEC,Ø5,na,joint locating dowel candidate,F3 directive,PROPOSED_FREEZE_CANDIDATE,
LINK_SHELL_MATERIAL,CFRP,na,link shell material candidate (VENDOR core kept; covers only),F3 directive,PROPOSED_FREEZE_CANDIDATE,D8
LINK_SHELL_WALL,1.5,mm,link cover wall thickness candidate,F3 directive,PROPOSED_FREEZE_CANDIDATE,D8
HARNESS_MIN_BEND_RADIUS,10,mm,harness minimum bend radius (x cable OD),F3 directive,PROPOSED_FREEZE_CANDIDATE,cable spec
G07_GUIDE_CONE_ANGLE,30,deg,G07 guide cone half-angle candidate,F3 directive,PROPOSED_FREEZE_CANDIDATE,D4
G07_CONTACT_PAD_AREA,TBD,mm2,G07 contact pad area,F3 directive,PROPOSED_FREEZE_CANDIDATE,D4
G08_PRELOAD,TBD,N,G08 wrist support preload,F3 directive,PROPOSED_FREEZE_CANDIDATE,load case
G08_DAMPING_RATE,TBD,Ns/mm,G08 damping element rate,F3 directive,PROPOSED_FREEZE_CANDIDATE,load case
HDRM_PRELOAD,TBD,N,HDRM preload spring force,F3 directive,PROPOSED_FREEZE_CANDIDATE,load case
HDRM_RELEASE_FORCE_MARGIN,1.5,na,HDRM release actuator force margin candidate,F3 directive,PROPOSED_FREEZE_CANDIDATE,
EE_W6_FLANGE_PCD,TBD,mm,EE wrist flange PCD (J6 output),F3 directive,PROPOSED_FREEZE_CANDIDATE,JOINT_FLANGE_PCD_J6
EE_CAPTURE_CENTER_DIA,TBD,mm,capture center datum diameter,F3 directive,PROPOSED_FREEZE_CANDIDATE,target spec
EE_COMPLIANT_STIFFNESS,TBD,N/mm,EE V2 compliant joint stiffness,F3 directive,PROPOSED_FREEZE_CANDIDATE,V2 only
