"path","size_bytes","sha256","mtime","role"
"AGENTS.md","13629","3d2269562678641108bcf68b8cda2a4e8359039b44c6d76cc0b668cde71abe84","2026-08-25 17:53:37 +0900","项目记忆/真值入口/已验证核心证据"
"PROJECT_MAP.md","7421","4dcdad08bd7490056a0b0c895d31290df286eb4975e772eddba277fd31df5f80","2026-08-23 17:11:08 +0900","路径导航与资产所有权"
"01_project/current/README_CURRENT.md","1065","38925c4c7df1f5f3cca13b91e355b5b34b447a581c89b513b5ace2bd5892b35d","2026-08-27 02:35:46 +0900","当前权威来源导航（控制边界声明）"
"01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md","10084","3eed50dd728ea55ce40cd4a2e46d4343d1f17a4c532baca4c469c8b406c08dce","2026-08-27 02:35:11 +0900","最新父级裁决（本域最高权威）"
"10_research/partner_requirement_closure/wave1_repeat/wave1_cp6_ruling.md","1828","1eeea3ccffb1e4c379dac829da5555fe24d2af58a339202e030a1be5d754ae92","2026-08-04 02:57:07 +0900","CP6 PI 终裁（方案 B 负结果收口）"
"10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json","22560","ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf","2026-08-07 23:55:26 +0900","WAVE1_REPEAT 集成父 Gate"
"10_research/competition_convergence/competition_gate_check.json","7672","8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200","2026-08-04 02:57:07 +0900","COMPETITION_DEMO_READY 17/17 离线演示 Gate"
"30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json","16768","ab1fd26978f4250e32e3090a3cd6dc7d41dc1f1b0182861c41ba9af44d0d8f96","2026-08-07 23:55:26 +0900","CTRL-01 机器 Gate（REPEAT）"
"30_simulation/control_02_base_attitude/results/control_02_gate_check.json","50527","240fa708b53646a024bb0fd2d67085188dd7c81685515b69c4cdc5dc50edfc5e","2026-08-27 00:57:12 +0900","CTRL-02 机器 Gate（PASS 限定域；哈希与父裁决 §8 受保护值一致）"
"30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json","8384","ff56929dd8352e447afdb8b7d17c5ef0b248883c66bc4f00c16c50c6f4c46eee","2026-08-07 23:55:26 +0900","SAFE-00 机器 Gate（PASS，PENDING_REVIEW）"
"30_simulation/safety_00_runtime_gate/docs/safety_gate_contract.md","3845","bd3b362aa440e49b0ad8a249e554cafe519c9a82051fd8761f7469dd321fe524","2026-08-07 23:55:26 +0900","SAFE-00 冻结合同（决策枚举/HMAC/边界）"
"30_simulation/safety_00_runtime_gate/docs/safety_gate_design.md","2636","9e1c6f63c7c8286c4de5447ed7b20e15d023967856bd37c68200ccf40a875ca4","2026-08-07 23:55:26 +0900","SAFE-00 设计文档（12 绕过案例）"
"30_simulation/safety_00_runtime_gate/results/evidence_manifest.json","10465","056778011c4bc5be35e8c908850c887176f986a73cde876adad69d0f824d68eb","2026-08-07 23:55:26 +0900","SAFE-00 47/47 证据清单"
"30_simulation/r2_control_engineering_closure/results/R2_CONTROL_ENGINEERING_GATE_V1.json","3966","2740b33e7958b4af2232ed0a2a51cea830470d1c98d5ba46c39c43279a02adce","2026-08-27 02:35:25 +0900","R2 控制工程总 Gate（HOLD）"
"30_simulation/r2_control_engineering_closure/results/CTRL_R2_SUPERVISOR_ASSESSMENT_V1.json","1250","1779ece775a153e4f85c44cdf87141192a83415a3f73912451f087c4c418e9df","2026-08-27 02:35:25 +0900","supervisor 运行状态评估（operational=false）"
"30_simulation/r2_control_engineering_closure/results/CTRL01_R2_FAILURE_CAUSAL_LEDGER.json","4163","ac6bf75561db74ea19dcfc7eb782e0874f35a5d39073e6517edbc4eb88e0fdd1","2026-08-27 02:35:24 +0900","CTRL-01 负结果因果账本"
"30_simulation/r2_control_engineering_closure/contracts/CTRL_R2_SUPERVISOR_INTERFACE_V1.json","2717","5bfd8ab0672d4d6d10a01f26b90cea143bacba0962c5bc3b22ebcfd7c03d222a","2026-08-27 01:48:58 +0900","supervisor 接口合同（状态枚举）"
"30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json","4465","55490805d934a8806e58cda25c398bd15aef49f4624f1f8cc08fcb75f2634b03","2026-08-27 02:35:45 +0900","R2 动力学-控制联合 Gate（4/13，HOLD）"
"30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json","9552","ed4d8b7774c61317576df03b8dda1591ba1178b895ddc5fa7544ead9a7e59abe","2026-08-27 01:26:42 +0900","CTRL R2 预开发候选 Gate（含三模块当前 replay 记录）"
"30_simulation/control_r2_integrated_candidate/results/CURRENT_FRONTIER_ODR60_CTRL_V1.json","2049","f1495589bac0b47b0265765fa89ea0977b4a280660dc6786309b973dde8cc566","2026-08-27 01:26:42 +0900","ODR60 控制前沿快照"
"30_simulation/dynamics_control_prebind_r1/00_authority/PREBIND_AUTHORITY.json","3442","e1157532605bec48cb5cb007c1aa1491a302a6a2e2df6f113ecdd471cf044324","2026-08-26 03:26:21 +0900","prebind 授权与权威充分性"
"30_simulation/dynamics_control_prebind_r1/00_authority/CURRENT_GATE_SNAPSHOT.json","5563","bdbd17db679ec3c16fff94ba6b2bdd62c14a74fdab3f22876f54de74148eacc4","2026-08-26 03:26:21 +0900","prebind 当前 Gate 快照（含三模块哈希复核）"
"30_simulation/dynamics_control_prebind_r1/10_verification/PB_G0_GATE.json","2448","da2bbe1381a08b21cfdb648a658f3092b8e888c6106723abab10f96d4c260c74","2026-08-26 03:26:46 +0900","PB_G0 权威框架 Gate（3 PASS/6 HOLD）"
"30_simulation/dynamics_control_prebind_r1/10_verification/PB_G1_GATE.json","2364","7ad34fcf94825e6b3b8df860bafbf7726243655461e10c4f83258b39f9a6ecc0","2026-08-26 03:26:46 +0900","PB_G1 交接连续性 Gate（状态迁移 NOT_EVALUATED）"
"40_evidence/artifacts/competition_convergence/evidence_asset_manifest.json","8967","33b7bfbf86828372dbe1f702c8b86c2e0b7ed7e1d83c848b3a4410598e97f891","2026-08-04 02:57:17 +0900","比赛演示证据资产清单"
"40_evidence/artifacts/competition_convergence/replay/replay_manifest.json","1854","255eddafcbd662d3a8e8dd6dfddb0d50f300de3486ca3cd58e388ab6c30d6236","2026-08-04 02:57:17 +0900","离线演示重放清单（当前哈希与 Gate 记录值存在 REORG04 漂移）"
"40_evidence/artifacts/competition_convergence/replay/scenario_A_low.json","11587","d8f2dfe3fef49a218fc6dd1883ba92c4a8dafc8b0f141a219574144d9b38c45f","2026-08-04 02:57:17 +0900","离线演示场景 A_low（EXECUTE）"
"40_evidence/artifacts/competition_convergence/replay/scenario_B_anchor.json","8923","f07431b5b2b89fb0ff11a68a65929e135fa879f58bab2bfaf2df1281fe5cc890","2026-08-04 02:57:17 +0900","离线演示场景 B_anchor（ABORT）"
"40_evidence/artifacts/competition_convergence/replay/scenario_C_transition.json","17977","f9f1cb71231084f7deb4d9e16ff4c636659c1d8c49ad92ef8a259bf27431d05d","2026-08-04 02:57:17 +0900","离线演示场景 C_transition（MODIFY）"
"40_evidence/artifacts/competition_convergence/competition_mission_intelligence_demo.mp4","1572615","","2026-08-04 02:57:17 +0900","not_hashed_binary（Gate 记录 raw_sha256=7043d026…，字节数 1572615 与当前一致）"
"40_evidence/artifacts/competition_convergence/competition_mission_intelligence_demo.pptx","177259","","2026-08-04 02:57:17 +0900","not_hashed_binary（Gate 记录 raw_sha256=9deff92b…，字节数 177259 与当前一致）"
