interface_id,from_component,to_component,frame_contract,design_requirement,required_geometry_or_record,input_class,missing_input_and_completion_method,verification_id,verification_method,next_part_or_deliverable,responsible_work_package,status,source_basis
IF-001,BUS_PRIMARY_FRAME,SEPARATION_OR_GROUND_FIXTURE,S后端接口面坐标与法向登记T_S_SEP,主框梁与后端接口具有可追踪连续载荷路径并保留安装工具空间,接口面及孔型/定位/材料/标准件/夹具空间,NEW_DESIGN_REQUIREMENT,指定部署器接口和发射载荷TBD；先完成地面工装对偶图再按实际任务重定接口,V01+V04,实体连接检查+装配路径+明确载荷下计算/试验,后端框与工装转接件图,WP02,DESIGN_REQUIREMENT_UNVERIFIED,上一轮实施规划§2/4/6
IF-002,BUS_LONGERONS,BUS_END_FRAMES_AND_CROSSMEMBERS,S框梁端点及梁截面统一参数,端框/框梁连接不依赖外壳包络块且不能封死设备装入面,每段梁和端框独立实体及紧固/定位对偶,NEW_DESIGN_REQUIREMENT,材料截面及紧固数量TBD；按根部/支承/翼根载荷组合计算并结合加工方案确定,V01+V04+V07,逐级实体连接检查+结构/刚度计算+装入样件,端框/纵梁/横梁制造件,WP02,DESIGN_REQUIREMENT_UNVERIFIED,只读审计BUS_PRIMARY_STRUCTURE_R2和BUS_NATIVE_STRUCTURE_V2_2
IF-003,ARM_LOAD_BRIDGE,BUS_PRIMARY_FRAME,T_S_BRIDGE及框梁锚固面对偶变换,桥/角撑将操作臂反力传入至少明确的实体框架连接并可拧紧所有紧固件,桥与框梁孔/定位面/接触面积/工具方向,NEW_DESIGN_REQUIREMENT,根部6分量载荷与刚度目标TBD；由任务姿态接触和停机工况推导后定桥截面,V01+V04,对偶孔与紧固可达检查+连接滑移/强度/挠度计算,承载桥和框梁锚固件,WP02,DESIGN_REQUIREMENT_UNVERIFIED,只读审计LOAD_BRIDGE；既有M3R ICD V2
IF-004,ARM_MOUNT_ADAPTER,ARM_LOAD_BRIDGE,屋顶z113.15且Stage A/B和B601 frame局部原点z125.15；不可混作接触面,Stage A环嵌Stage B槽5.595mm且名义BRep承载接触面z127.555；接触定位和预紧共同定义实际安装,两侧对偶面/定位孔/螺栓孔/螺纹深度/环槽/安装方向,NEW_DESIGN_REQUIREMENT,原M3R孔位槽环与真实对偶TBD；读回源CAD并量测/分析，禁止按两整片叠加20mm,V01+V04,实体嵌套+公差链+工具插入+预紧/接触载荷分析,臂根转接板与定位/紧固表,WP02,DESIGN_REQUIREMENT_UNVERIFIED,results/INTERFACE_GEOMETRY.json同原点对偶；design_parameters.json；既有M3R ICD V2与审计
IF-005,B601_BASE,ARM_MOUNT_ADAPTER,WP01根部frame平移x90/y0/z125.15mm且旋转I；名义BRep接触面z127.555独立登记,实物根部安装模式须与对偶板相符且各状态沿用同一根部变换,根部孔坐标/孔型/基准面/法向/实际连接器,INHERITED_DIGITAL_PLUS_MEASUREMENT_TBD,名义BRep底面局部z2.405与accepted STL bbox局部z0不同；实物/供应商图注册孔基准并记录误差，不能宣称已一致,V01+V04+V09,根部量测+装配试装+BRep/STL/实物注册+安装矩阵复核,根部ICD和实配检验表,WP02,DESIGN_REQUIREMENT_UNVERIFIED,results/INTERFACE_GEOMETRY.json同原点对偶；design_parameters.json；accepted URDF及既有M3R ICD V2
IF-006,B601_KINEMATIC_CHAIN,WP01_ASSEMBLY,T_S_A0固定且每个姿态有q1至q6与夹爪开度,沿用accepted源运动范围并显式保留关节限位余量,六轴坐标和关节方向/限位/配置表,INHERITED_DIGITAL,实物零位软限位和制动距离TBD；编码器标定及低速边界试验补齐,V03+V09+V12,全链姿态回放+边界/停止距离核查,可追溯机器人配置与标定记录,WP04,DESIGN_REQUIREMENT_UNVERIFIED,accepted URDF与05_ACCEPTED_B601_URDF_REF.yaml
IF-007,STOW_SADDLE_A,B601_SUPPORTED_LINK_A,T_S_SUPPORT_A与被支承link接触区局部frame同时记录,支承接触实际允许承载壳体且不压电机线头/薄盖/运动副,真实对偶曲面/可换垫/调节方向/紧固面,NEW_DESIGN_REQUIREMENT,支承允许区/面压/公差TBD；实物检查和载荷分流计算补齐,V02+V04+V05,对偶面接触检查+压痕/接触反力试验,鞍座A底座/载体/垫片图,WP03,DESIGN_REQUIREMENT_UNVERIFIED,只读审计STOW_SADDLE_A；上一轮实施规划§4
IF-008,STOW_SADDLE_B,B601_SUPPORTED_LINK_B,T_S_SUPPORT_B与被支承link接触区局部frame同时记录,第二支承不引入无法调节的过约束且释放后不挡运动,接触垫/间隙/调节行程/退出方向,NEW_DESIGN_REQUIREMENT,实际自由度分配和预紧TBD；与A支承及保持器共同做公差/接触模型,V02+V04+V05,公差叠加+保持/释放试装,鞍座B及调节结构图,WP03,DESIGN_REQUIREMENT_UNVERIFIED,只读审计STOW_SADDLE_B和MID_BACKUP_SUPPORT
IF-009,STOW_SUPPORTS,BUS_PRIMARY_FRAME,T_S_SUPPORT固定锚点区别于可调接触面,收拢承载经支承锚点传入主框架并允许接触位置调节,锚固件/孔槽/定位止挡/紧固可达实体,NEW_DESIGN_REQUIREMENT,收拢载荷谱和支承分流TBD；实际保持点刚度与框架计算后确定,V01+V04,连通载荷路径+接触/紧固分析,支承框架锚固件,WP02+WP03,DESIGN_REQUIREMENT_UNVERIFIED,上一轮实施规划§4；审计支承和主结构条目
IF-010,ARM_RESTRAINT_LATCH,B601_RESTRAINT_FEATURE,T_S_HDRM与臂侧保持特征frame成对记录,锁扣约束方向和预紧明确且与支承共同承载而非默认由关节减速器承载,臂侧对偶件/锁扣/硬止挡/预紧调节及拆装空间,NEW_DESIGN_REQUIREMENT,锁扣位置预紧及承载要求TBD；根据同姿态支承刚度/载荷推导并实测,V04+V05,保持加载+预紧和接触反力量测,保持对偶件与锁扣制造图,WP03,DESIGN_REQUIREMENT_UNVERIFIED,既有HDRM_ENGINEERING_PACK_V1仅功能参考；上一轮实施规划§4
