pair_id,edge,group,A_part,B_part,hole_diameter_mm,datum,fastener_candidate,material,fit,preload,locking,load,self_retention,verification_level
E3P-J01-0,edge1_clamp 保持横梁→上纵梁 (R07 connection_edges[3]),J01,RB_longeron_1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER; 本 run +4 Y 向贯穿孔),hold_crossbeam_0 (WP03 原生; 本 run +4 端面盲孔 +2 竖孔),3.4,"横梁端面与纵梁内腹面 y=+101.15 贴合，贴合带 z∈[101.15,106.15]（5mm；栓位 z=103.65 居中）",M3_UNSELECTED; shank Ø3 in Ø3.4 hole (隙 0.2/边); NO_ANTI_CRUSH_SLEEVE_REGISTERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（星外头+垫圈 / 盲孔啮合）,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合/压溃 NOT_RUN
E3P-J01-1,edge1_clamp 保持横梁→上纵梁 (R07 connection_edges[3]),J01,RB_longeron_1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER; 本 run +4 Y 向贯穿孔),hold_crossbeam_0 (WP03 原生; 本 run +4 端面盲孔 +2 竖孔),3.4,"横梁端面与纵梁内腹面 y=+101.15 贴合，贴合带 z∈[101.15,106.15]（5mm；栓位 z=103.65 居中）",M3_UNSELECTED; shank Ø3 in Ø3.4 hole (隙 0.2/边); NO_ANTI_CRUSH_SLEEVE_REGISTERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（星外头+垫圈 / 盲孔啮合）,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合/压溃 NOT_RUN
E3P-J02-0,edge1_clamp 保持横梁→上纵梁 (R07 connection_edges[3]),J02,RB_longeron_-1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER; 本 run +4 Y 向贯穿孔),hold_crossbeam_0 (WP03 原生; 本 run +4 端面盲孔 +2 竖孔),3.4,"横梁端面与纵梁内腹面 y=-101.15 贴合，贴合带 z∈[101.15,106.15]（5mm；栓位 z=103.65 居中）",M3_UNSELECTED; shank Ø3 in Ø3.4 hole (隙 0.2/边); NO_ANTI_CRUSH_SLEEVE_REGISTERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（星外头+垫圈 / 盲孔啮合）,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合/压溃 NOT_RUN
E3P-J02-1,edge1_clamp 保持横梁→上纵梁 (R07 connection_edges[3]),J02,RB_longeron_-1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER; 本 run +4 Y 向贯穿孔),hold_crossbeam_0 (WP03 原生; 本 run +4 端面盲孔 +2 竖孔),3.4,"横梁端面与纵梁内腹面 y=-101.15 贴合，贴合带 z∈[101.15,106.15]（5mm；栓位 z=103.65 居中）",M3_UNSELECTED; shank Ø3 in Ø3.4 hole (隙 0.2/边); NO_ANTI_CRUSH_SLEEVE_REGISTERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（星外头+垫圈 / 盲孔啮合）,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合/压溃 NOT_RUN
E3P-J03-0,edge1_clamp 保持横梁→上纵梁 (R07 connection_edges[3]),J03,RB_longeron_1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER; 本 run +4 Y 向贯穿孔),hold_crossbeam_1 (WP03 原生; 本 run +4 端面盲孔 +2 竖孔),3.4,"横梁端面与纵梁内腹面 y=+101.15 贴合，贴合带 z∈[101.15,106.15]（5mm；栓位 z=103.65 居中）",M3_UNSELECTED; shank Ø3 in Ø3.4 hole (隙 0.2/边); NO_ANTI_CRUSH_SLEEVE_REGISTERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（星外头+垫圈 / 盲孔啮合）,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合/压溃 NOT_RUN
E3P-J03-1,edge1_clamp 保持横梁→上纵梁 (R07 connection_edges[3]),J03,RB_longeron_1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER; 本 run +4 Y 向贯穿孔),hold_crossbeam_1 (WP03 原生; 本 run +4 端面盲孔 +2 竖孔),3.4,"横梁端面与纵梁内腹面 y=+101.15 贴合，贴合带 z∈[101.15,106.15]（5mm；栓位 z=103.65 居中）",M3_UNSELECTED; shank Ø3 in Ø3.4 hole (隙 0.2/边); NO_ANTI_CRUSH_SLEEVE_REGISTERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（星外头+垫圈 / 盲孔啮合）,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合/压溃 NOT_RUN
E3P-J04-0,edge1_clamp 保持横梁→上纵梁 (R07 connection_edges[3]),J04,RB_longeron_-1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER; 本 run +4 Y 向贯穿孔),hold_crossbeam_1 (WP03 原生; 本 run +4 端面盲孔 +2 竖孔),3.4,"横梁端面与纵梁内腹面 y=-101.15 贴合，贴合带 z∈[101.15,106.15]（5mm；栓位 z=103.65 居中）",M3_UNSELECTED; shank Ø3 in Ø3.4 hole (隙 0.2/边); NO_ANTI_CRUSH_SLEEVE_REGISTERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（星外头+垫圈 / 盲孔啮合）,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合/压溃 NOT_RUN
E3P-J04-1,edge1_clamp 保持横梁→上纵梁 (R07 connection_edges[3]),J04,RB_longeron_-1_1 (pn WP01-RB-LONGERON-R2_WP03_UPPER; 本 run +4 Y 向贯穿孔),hold_crossbeam_1 (WP03 原生; 本 run +4 端面盲孔 +2 竖孔),3.4,"横梁端面与纵梁内腹面 y=-101.15 贴合，贴合带 z∈[101.15,106.15]（5mm；栓位 z=103.65 居中）",M3_UNSELECTED; shank Ø3 in Ø3.4 hole (隙 0.2/边); NO_ANTI_CRUSH_SLEEVE_REGISTERED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（星外头+垫圈 / 盲孔啮合）,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合/压溃 NOT_RUN
E3P-C01-0,edge2_foot 保持足叉→屋顶耳座 (R07 connection_edges[4]),C01,hold_pivot_clevis_0 脚座 (WP03 原生; 本 run +2 盲孔打通至槽底),hold_roof_lug_0_-94.15 (本 run +2 竖孔) + hold_crossbeam_0 (本 run +2 竖孔)——栓链：横梁→耳座→脚座,4.5,脚座底面 z=118.15 与耳座顶面贴合；耳座底面 z=106.15 与横梁顶面贴合,M4_UNSELECTED; shank Ø4 in Ø4.5 hole (隙 0.25/边),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（舱内头+垫圈 / 脚座盲孔啮合）；释放互锁：栓链未拆则机构不可折 INTERLOCK_REGISTERED,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合 NOT_RUN; 释放互锁顺序实物验证 NOT_RUN
E3P-C01-1,edge2_foot 保持足叉→屋顶耳座 (R07 connection_edges[4]),C01,hold_pivot_clevis_0 脚座 (WP03 原生; 本 run +2 盲孔打通至槽底),hold_roof_lug_0_-94.15 (本 run +2 竖孔) + hold_crossbeam_0 (本 run +2 竖孔)——栓链：横梁→耳座→脚座,4.5,脚座底面 z=118.15 与耳座顶面贴合；耳座底面 z=106.15 与横梁顶面贴合,M4_UNSELECTED; shank Ø4 in Ø4.5 hole (隙 0.25/边),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN (design loads pending; 本登记不代表承载通过),单头正向保持（舱内头+垫圈 / 脚座盲孔啮合）；释放互锁：栓链未拆则机构不可折 INTERLOCK_REGISTERED,DIGITAL_GEOMETRY_CANDIDATE; 机器读回/布尔干涉见本 run acc 证据; 载荷/强度/配合 NOT_RUN; 释放互锁顺序实物验证 NOT_RUN
